,AIR FP Equity,AIR FP Equity,AIR FP Equity,AIR FP Equity,AIR FP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,11.575,11.8055,11.5666,11.8055,571403.0
2010-01-02,11.575,11.8055,11.5666,11.8055,571403.0
2010-01-03,11.575,11.8055,11.5666,11.8055,571403.0
2010-01-04,11.7342,11.7761,11.6504,11.7258,2496013.0
2010-01-05,11.6336,11.7552,11.487,11.6881,2700340.0
2010-01-06,11.7007,11.8097,11.6714,11.7929,1996970.0
2010-01-07,11.6588,11.9563,11.6169,11.9102,2316557.0
2010-01-08,11.9982,12.1365,11.906,12.0276,2289556.0
2010-01-09,11.9982,12.1365,11.906,12.0276,2289556.0
2010-01-10,11.9982,12.1365,11.906,12.0276,2289556.0
2010-01-11,12.1282,12.2287,12.036,12.1365,2884240.0
2010-01-12,12.1282,12.1659,11.5959,11.818,5160997.0
2010-01-13,11.8013,11.8809,11.7342,11.8222,2468904.0
2010-01-14,11.8893,12.1449,11.5834,11.927,5990022.0
2010-01-15,11.9773,12.3377,11.9186,12.0946,3583970.0
2010-01-16,11.9773,12.3377,11.9186,12.0946,3583970.0
2010-01-17,11.9773,12.3377,11.9186,12.0946,3583970.0
2010-01-18,12.1198,12.3293,11.9731,12.3293,2318878.0
2010-01-19,12.2958,12.4425,12.0779,12.4089,2073048.0
2010-01-20,12.4048,12.5305,12.3209,12.4173,2604593.0
2010-01-21,12.4718,12.4886,12.0695,12.0695,2262964.0
2010-01-22,12.0024,12.0276,11.7384,11.8893,2789368.0
2010-01-23,12.0024,12.0276,11.7384,11.8893,2789368.0
2010-01-24,12.0024,12.0276,11.7384,11.8893,2789368.0
2010-01-25,11.7678,11.8432,11.6881,11.6965,1961429.0
2010-01-26,11.6253,11.8683,11.554,11.7426,1860926.0
2010-01-27,11.575,11.7342,11.4618,11.5624,2691939.0
2010-01-28,11.6756,11.8809,11.5456,11.5456,3249197.0
2010-01-29,11.5834,11.9689,11.575,11.9019,2306668.0
2010-01-30,11.5834,11.9689,11.575,11.9019,2306668.0
2010-01-31,11.5834,11.9689,11.575,11.9019,2306668.0
2010-02-01,11.8264,12.1114,11.7761,11.9647,2068752.0
2010-02-02,11.9396,12.3,11.7929,12.2455,1948105.0
2010-02-03,12.2287,12.3964,12.0402,12.2581,2468129.0
2010-02-04,12.2204,12.3461,11.9396,11.9438,2732458.0
2010-02-05,11.8683,12.1198,11.7342,11.818,4673569.0
2010-02-06,11.8683,12.1198,11.7342,11.818,4673569.0
2010-02-07,11.8683,12.1198,11.7342,11.818,4673569.0
2010-02-08,11.8893,11.9019,11.6588,11.7426,3001302.0
2010-02-09,11.6923,11.7426,11.5121,11.5708,3168176.0
2010-02-10,11.6085,11.7342,11.5037,11.5624,2177198.0
2010-02-11,11.5624,11.6295,11.3822,11.5079,2007180.0
2010-02-12,11.642,11.7678,11.4493,11.5247,2290937.0
2010-02-13,11.642,11.7678,11.4493,11.5247,2290937.0
2010-02-14,11.642,11.7678,11.4493,11.5247,2290937.0
2010-02-15,11.5875,11.663,11.3277,11.3571,1692329.0
2010-02-16,11.4576,11.5834,11.3864,11.5624,1869954.0
2010-02-17,11.9857,12.3042,11.9857,12.1365,4296443.0
2010-02-18,12.1868,12.3167,12.1072,12.2874,2158668.0
2010-02-19,12.1282,12.4718,12.1282,12.4592,2347070.0
2010-02-20,12.1282,12.4718,12.1282,12.4592,2347070.0
2010-02-21,12.1282,12.4718,12.1282,12.4592,2347070.0
2010-02-22,12.4048,12.5305,12.3796,12.4634,2762829.0
2010-02-23,12.5682,12.7987,12.5137,12.6101,3089515.0
2010-02-24,12.6981,12.8071,12.1784,12.3503,4127928.0
2010-02-25,12.3419,12.4006,12.1659,12.1784,2412131.0
2010-02-26,12.3293,12.7023,12.2832,12.7023,2724588.0
2010-02-27,12.3293,12.7023,12.2832,12.7023,2724588.0
2010-02-28,12.3293,12.7023,12.2832,12.7023,2724588.0
2010-03-01,12.7819,12.8951,12.6436,12.8783,1744188.0
2010-03-02,12.8909,12.9454,12.7568,12.9454,1447372.0
2010-03-03,12.8867,13.0208,12.8322,12.9789,1620058.0
2010-03-04,13.0334,13.2722,13.0292,13.113,2614279.0
2010-03-05,13.1759,13.377,13.1591,13.3728,2202256.0
2010-03-06,13.1759,13.377,13.1591,13.3728,2202256.0
2010-03-07,13.1759,13.377,13.1591,13.3728,2202256.0
2010-03-08,13.3686,13.4902,13.0585,13.31,3641597.0
2010-03-09,12.5305,13.025,12.5095,12.937,8225292.0
2010-03-10,12.8574,12.9244,12.6646,12.8029,3765845.0
2010-03-11,12.6981,12.8154,12.3335,12.4467,5307266.0
2010-03-12,12.5179,12.5179,12.2329,12.3,2938718.0
2010-03-13,12.5179,12.5179,12.2329,12.3,2938718.0
2010-03-14,12.5179,12.5179,12.2329,12.3,2938718.0
2010-03-15,12.3545,12.4048,12.2665,12.2832,1629309.0
2010-03-16,12.3084,12.3712,12.2497,12.2706,2197552.0
2010-03-17,12.3,12.3,12.0653,12.1365,3653641.0
2010-03-18,12.1365,12.3335,12.0904,12.3042,6033569.0
2010-03-19,12.3922,12.5179,12.3209,12.4299,4974669.0
2010-03-20,12.3922,12.5179,12.3209,12.4299,4974669.0
2010-03-21,12.3922,12.5179,12.3209,12.4299,4974669.0
2010-03-22,12.4383,12.5891,12.3461,12.5724,2817656.0
2010-03-23,12.564,12.5975,12.1952,12.3126,4016853.0
2010-03-24,12.4215,12.7694,12.3964,12.7065,5387828.0
2010-03-25,12.7735,12.849,12.6981,12.7945,3346628.0
2010-03-26,12.7735,12.8699,12.7568,12.8448,1511485.0
2010-03-27,12.7735,12.8699,12.7568,12.8448,1511485.0
2010-03-28,12.7735,12.8699,12.7568,12.8448,1511485.0
2010-03-29,12.9035,12.9035,12.7903,12.828,1176440.0
2010-03-30,12.8322,12.8364,12.4509,12.4718,2453158.0
2010-03-31,12.5808,12.6688,12.4257,12.4844,1510262.0
2010-04-01,12.5933,12.7777,12.5598,12.7777,1678336.0
2010-04-02,12.5933,12.7777,12.5598,12.7777,1678336.0
2010-04-03,12.5933,12.7777,12.5598,12.7777,1678336.0
2010-04-04,12.5933,12.7777,12.5598,12.7777,1678336.0
2010-04-05,12.5933,12.7777,12.5598,12.7777,1678336.0
2010-04-06,12.4802,12.8448,12.4802,12.6939,1803174.0
2010-04-07,12.74,12.74,12.4718,12.564,2323951.0
2010-04-08,12.6352,12.6562,12.1617,12.1868,4213155.0
2010-04-09,12.3167,12.543,12.3042,12.4886,2442427.0
2010-04-10,12.3167,12.543,12.3042,12.4886,2442427.0
