,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,106.4,106.83,105.26,105.77,4786992.0
2010-01-02,106.4,106.83,105.26,105.77,4786992.0
2010-01-03,106.4,106.83,105.26,105.77,4786992.0
2010-01-04,104.24,107.13,104.24,106.62,2169414.0
2010-01-05,107.21,109.09,106.76,108.49,5445330.0
2010-01-06,108.91,110.17,108.39,109.86,5165934.0
2010-01-07,109.99,110.88,108.64,109.97,6988848.0
2010-01-08,110.44,111.21,108.64,109.15,6248184.0
2010-01-09,110.44,111.21,108.64,109.15,6248184.0
2010-01-10,110.44,111.21,108.64,109.15,6248184.0
2010-01-11,110.47,110.71,108.91,109.23,5446902.0
2010-01-12,108.24,109.28,106.5,106.93,4582278.0
2010-01-13,107.3,108.46,105.95,107.32,4900182.0
2010-01-14,109.48,111.94,107.48,110.6,10869228.0
2010-01-15,110.89,111.34,107.94,108.63,9150366.0
2010-01-16,110.89,111.34,107.94,108.63,9150366.0
2010-01-17,110.89,111.34,107.94,108.63,9150366.0
2010-01-18,109.99,109.99,107.85,108.87,3675102.0
2010-01-19,109.27,109.27,106.67,107.46,6355410.0
2010-01-20,107.92,109.08,103.97,104.26,9279108.0
2010-01-21,105.05,105.95,101.55,102.35,6701400.0
2010-01-22,101.01,101.41,98.68,100.07,12068274.0
2010-01-23,101.01,101.41,98.68,100.07,12068274.0
2010-01-24,101.01,101.41,98.68,100.07,12068274.0
2010-01-25,100.66,101.17,98.81,100.66,4094634.0
2010-01-26,100.66,101.17,98.81,100.66,4094634.0
2010-01-27,100.43,100.43,99.02,99.57,4206630.0
2010-01-28,100.47,101.78,96.52,98.98,10343586.0
2010-01-29,99.66,100.56,97.2,98.44,5849250.0
2010-01-30,99.66,100.56,97.2,98.44,5849250.0
2010-01-31,99.66,100.56,97.2,98.44,5849250.0
2010-02-01,97.51,100.56,97.51,98.91,3187566.0
2010-02-02,99.22,100.55,98.05,99.22,5434800.0
2010-02-03,99.75,102.54,99.39,101.8,3752148.0
2010-02-04,95.75,103.7,95.75,102.32,13631952.0
2010-02-05,100.31,101.35,97.07,97.66,7342278.0
2010-02-06,93.09,99.84,93.09,98.07,548460.0
2010-02-07,93.09,99.84,93.09,98.07,548460.0
2010-02-08,97.33,100.98,96.44,100.4,4578042.0
2010-02-09,100.4,101.36,98.91,99.33,3121038.0
2010-02-10,99.75,100.47,97.33,97.6,7030428.0
2010-02-11,102.09,102.09,97.96,98.79,4435584.0
2010-02-12,102.09,102.09,97.96,98.79,4435584.0
2010-02-13,102.09,102.09,97.96,98.79,4435584.0
2010-02-14,102.09,102.09,97.96,98.79,4435584.0
2010-02-15,99.66,99.66,96.8,97.72,2875578.0
2010-02-16,98.72,99.66,97.16,99.04,2704494.0
2010-02-17,99.84,100.47,98.33,98.74,4032564.0
2010-02-18,95.62,99.57,95.62,99.08,3669834.0
2010-02-19,98.31,100.11,97.67,99.65,4175328.0
2010-02-20,98.31,100.11,97.67,99.65,4175328.0
2010-02-21,98.31,100.11,97.67,99.65,4175328.0
2010-02-22,100.11,100.58,98.84,99.44,4609998.0
2010-02-23,99.04,99.39,98.05,98.9,4041960.0
2010-02-24,99.47,99.47,97.51,98.88,2265138.0
2010-02-25,99.39,100.16,97.87,99.65,2919258.0
2010-02-26,101.78,101.78,98.32,100.35,5684178.0
2010-02-27,101.78,101.78,98.32,100.35,5684178.0
2010-02-28,101.78,101.78,98.32,100.35,5684178.0
2010-03-01,101.78,101.78,98.32,100.35,5684178.0
2010-03-02,100.57,102.23,99.0,99.58,6917436.0
2010-03-03,99.93,100.23,97.7,98.84,7139202.0
2010-03-04,99.57,99.57,97.87,98.32,7425210.0
2010-03-05,99.66,99.66,97.96,98.27,10292526.0
2010-03-06,99.66,99.66,97.96,98.27,10292526.0
2010-03-07,99.66,99.66,97.96,98.27,10292526.0
2010-03-08,99.31,99.66,98.64,98.81,7690026.0
2010-03-09,98.99,99.22,97.96,98.43,4068420.0
2010-03-10,97.96,98.66,97.24,97.74,8686584.0
2010-03-11,98.14,98.14,96.68,97.31,5630808.0
2010-03-12,97.44,98.07,97.07,97.39,7426278.0
2010-03-13,97.44,98.07,97.07,97.39,7426278.0
2010-03-14,97.44,98.07,97.07,97.39,7426278.0
2010-03-15,97.39,97.65,95.67,96.05,3060462.0
2010-03-16,96.7,97.59,95.83,96.17,6525432.0
2010-03-17,96.88,97.33,96.07,96.39,5280114.0
2010-03-18,96.74,96.74,94.28,94.65,8141598.0
2010-03-19,95.0,95.71,93.84,94.89,6643806.0
2010-03-20,95.0,95.71,93.84,94.89,6643806.0
2010-03-21,95.0,95.71,93.84,94.89,6643806.0
2010-03-22,93.97,96.06,93.92,95.1,5313564.0
2010-03-23,95.38,96.49,95.01,96.01,5661624.0
2010-03-24,95.38,96.49,95.01,96.01,5661624.0
2010-03-25,95.98,96.23,94.33,94.87,7050498.0
2010-03-26,94.46,97.33,94.46,96.96,7852662.0
2010-03-27,94.46,97.33,94.46,96.96,7852662.0
2010-03-28,94.46,97.33,94.46,96.96,7852662.0
2010-03-29,97.56,98.67,96.62,98.14,3410862.0
2010-03-30,98.59,99.85,98.05,98.52,4170588.0
2010-03-31,98.6,99.75,97.7,98.65,6627780.0
2010-04-01,98.77,99.39,96.95,97.37,3264744.0
2010-04-02,98.77,99.39,96.95,97.37,3264744.0
2010-04-03,98.77,99.39,96.95,97.37,3264744.0
2010-04-04,98.77,99.39,96.95,97.37,3264744.0
2010-04-05,97.07,99.66,97.07,98.49,2729322.0
2010-04-06,98.77,98.77,96.79,97.41,3384696.0
2010-04-07,98.41,98.41,94.4,97.23,3805368.0
2010-04-08,97.57,97.57,94.85,95.32,5799162.0
2010-04-09,95.26,96.96,95.22,95.52,3337890.0
2010-04-10,95.26,96.96,95.22,95.52,3337890.0
2010-04-11,95.26,96.96,95.22,95.52,3337890.0
2010-04-12,96.27,96.51,93.83,94.54,3154266.0
2010-04-13,94.73,95.17,93.17,93.41,5022648.0
2010-04-14,94.73,95.17,93.17,93.41,5022648.0
2010-04-15,94.28,95.09,93.15,93.35,5974686.0
2010-04-16,93.47,93.55,92.3,92.61,3210066.0
2010-04-17,93.47,93.55,92.3,92.61,3210066.0
2010-04-18,93.47,93.55,92.3,92.61,3210066.0
2010-04-19,92.03,92.39,89.71,90.13,7985232.0
2010-04-20,91.04,91.94,89.85,90.01,6038316.0
2010-04-21,90.25,91.04,89.78,90.66,4900608.0
2010-04-22,90.24,92.32,89.43,91.14,7728120.0
2010-04-23,90.95,92.01,90.51,91.39,4691400.0
2010-04-24,90.95,92.01,90.51,91.39,4691400.0
2010-04-25,90.95,92.01,90.51,91.39,4691400.0
2010-04-26,89.97,92.37,89.97,91.38,3287118.0
2010-04-27,91.58,94.19,91.22,93.82,5717298.0
2010-04-28,93.38,94.1,92.13,93.39,3858684.0
2010-04-29,93.56,94.44,92.66,93.99,4468806.0
2010-04-30,94.28,95.28,92.84,94.71,15921852.0
2010-05-01,94.28,95.28,92.84,94.71,15921852.0
2010-05-02,94.28,95.28,92.84,94.71,15921852.0
2010-05-03,94.73,95.06,93.65,94.06,3452646.0
2010-05-04,94.12,94.95,93.34,93.72,3259896.0
2010-05-05,92.94,93.71,91.49,92.58,3186954.0
2010-05-06,92.12,94.23,91.68,93.64,5199816.0
2010-05-07,92.05,95.32,92.03,93.8,7490142.0
2010-05-08,92.05,95.32,92.03,93.8,7490142.0
2010-05-09,92.05,95.32,92.03,93.8,7490142.0
2010-05-10,94.64,95.17,93.02,94.36,4414014.0
2010-05-11,94.24,94.55,91.66,92.48,7475058.0
2010-05-12,92.91,94.05,91.83,92.3,6398508.0
2010-05-13,92.5,94.42,92.3,93.91,8036646.0
2010-05-14,93.91,94.77,92.94,93.79,5870688.0
2010-05-15,93.91,94.77,92.94,93.79,5870688.0
2010-05-16,93.91,94.77,92.94,93.79,5870688.0
2010-05-17,92.51,93.29,91.58,92.21,3802074.0
2010-05-18,93.99,94.9,91.59,94.4,3329514.0
2010-05-19,94.91,94.91,90.87,92.04,10200012.0
2010-05-20,96.61,102.54,95.17,100.44,35510262.0
2010-05-21,97.87,101.19,92.84,98.3,15860676.0
2010-05-22,97.87,101.19,92.84,98.3,15860676.0
2010-05-23,97.87,101.19,92.84,98.3,15860676.0
2010-05-24,99.78,101.46,96.54,97.15,5646996.0
2010-05-25,97.06,97.72,95.17,97.0,9114126.0
2010-05-26,98.32,99.66,95.17,96.07,23705664.0
2010-05-27,97.87,102.36,95.17,100.85,17070744.0
2010-05-28,101.01,102.81,96.53,101.64,7224870.0
2010-05-29,101.01,102.81,96.53,101.64,7224870.0
2010-05-30,101.01,102.81,96.53,101.64,7224870.0
2010-05-31,102.81,105.74,100.56,104.85,11989182.0
2010-06-01,107.21,107.21,102.36,102.87,4399008.0
