,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,2407.3,2416.2,2380.5,2380.5,2929000.0
2010-01-02,2407.3,2416.2,2380.5,2380.5,2929000.0
2010-01-03,2407.3,2416.2,2380.5,2380.5,2929000.0
2010-01-04,2407.3,2446.5,2401.9,2434.9,4004500.0
2010-01-05,2479.5,2480.4,2410.8,2424.2,4894300.0
2010-01-06,2424.2,2458.1,2406.4,2446.5,4270900.0
2010-01-07,2451.9,2464.3,2427.8,2445.6,2900900.0
2010-01-08,2483.1,2504.5,2468.8,2496.4,6986500.0
2010-01-09,2483.1,2504.5,2468.8,2496.4,6986500.0
2010-01-10,2483.1,2504.5,2468.8,2496.4,6986500.0
2010-01-11,2483.1,2504.5,2468.8,2496.4,6986500.0
2010-01-12,2492.9,2607.0,2488.4,2599.9,9375100.0
2010-01-13,2575.8,2697.0,2570.4,2673.0,18959000.0
2010-01-14,2732.7,2759.4,2714.9,2741.6,11860600.0
2010-01-15,2763.9,2817.4,2737.2,2737.2,11268700.0
2010-01-16,2763.9,2817.4,2737.2,2737.2,11268700.0
2010-01-17,2763.9,2817.4,2737.2,2737.2,11268700.0
2010-01-18,2706.0,2763.9,2706.0,2755.0,6808600.0
2010-01-19,2750.5,2755.0,2714.9,2732.7,5367100.0
2010-01-20,2750.5,2777.3,2714.9,2728.2,6318600.0
2010-01-21,2728.2,2862.0,2710.4,2839.7,11830100.0
2010-01-22,2768.4,2839.7,2759.4,2804.0,11756800.0
2010-01-23,2768.4,2839.7,2759.4,2804.0,11756800.0
2010-01-24,2768.4,2839.7,2759.4,2804.0,11756800.0
2010-01-25,2763.9,2830.8,2728.2,2808.5,7067900.0
2010-01-26,2777.3,2795.1,2674.7,2674.7,8920700.0
2010-01-27,2663.2,2664.9,2612.3,2621.3,8571700.0
2010-01-28,2674.7,2790.7,2674.7,2750.5,10879000.0
2010-01-29,2701.5,2732.7,2674.7,2683.7,7665400.0
2010-01-30,2701.5,2732.7,2674.7,2683.7,7665400.0
2010-01-31,2701.5,2732.7,2674.7,2683.7,7665400.0
2010-02-01,2697.0,2750.5,2654.2,2728.2,8875600.0
2010-02-02,2799.6,2839.7,2786.2,2812.9,8637900.0
2010-02-03,2862.0,2884.3,2795.1,2804.0,7382200.0
2010-02-04,2804.0,2817.4,2710.4,2741.6,8250500.0
2010-02-05,2692.6,2781.7,2662.3,2750.5,12548700.0
2010-02-06,2692.6,2781.7,2662.3,2750.5,12548700.0
2010-02-07,2692.6,2781.7,2662.3,2750.5,12548700.0
2010-02-08,2714.9,2732.7,2640.9,2650.7,11699200.0
2010-02-09,2639.1,2679.2,2621.3,2661.4,9684300.0
2010-02-10,2706.0,2737.2,2683.7,2692.6,7759900.0
2010-02-11,2706.0,2737.2,2683.7,2692.6,7759900.0
2010-02-12,2755.0,2772.8,2706.0,2732.7,5742700.0
2010-02-13,2755.0,2772.8,2706.0,2732.7,5742700.0
2010-02-14,2755.0,2772.8,2706.0,2732.7,5742700.0
2010-02-15,2763.9,2781.7,2706.0,2706.0,4531100.0
