,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,46.7127,47.2177,46.2267,46.6555,1540833.0
2019-01-02,45.9789,47.313,45.8455,46.8556,1822444.0
2019-01-03,46.4173,47.0557,45.8932,45.9503,2125542.0
2019-01-04,46.5888,47.799,46.4363,47.7133,2112696.0
2019-01-05,46.5888,47.799,46.4363,47.7133,2112696.0
2019-01-06,46.5888,47.799,46.4363,47.7133,2112696.0
2019-01-07,47.5036,48.1992,47.0748,48.1516,1833683.0
2019-01-08,48.6185,48.9521,47.942,48.8568,1612836.0
2019-01-09,49.0569,49.6953,48.7519,49.5333,1353783.0
2019-01-10,49.2094,49.4857,48.6757,49.1045,1659223.0
2019-01-11,48.7615,49.1712,48.2421,49.0759,1474333.0
2019-01-12,48.7615,49.1712,48.2421,49.0759,1474333.0
2019-01-13,48.7615,49.1712,48.2421,49.0759,1474333.0
2019-01-14,48.7138,49.6191,48.5291,48.9902,1483753.0
2019-01-15,48.8854,49.2856,48.5709,49.257,1072533.0
2019-01-16,50.067,52.0205,49.6858,51.8204,2638037.0
2019-01-17,51.6584,52.3731,51.5059,51.8013,1903213.0
2019-01-18,52.2873,52.7828,51.4773,52.7638,1998126.0
2019-01-19,52.2873,52.7828,51.4773,52.7638,1998126.0
2019-01-20,52.2873,52.7828,51.4773,52.7638,1998126.0
2019-01-21,52.2873,52.7828,51.4773,52.7638,1998126.0
2019-01-22,52.2492,53.0497,51.8013,52.335,2566843.0
2019-01-23,53.6119,53.6119,51.1819,52.4588,3070234.0
2019-01-24,52.4207,52.8781,52.2206,52.7257,1586085.0
2019-01-25,53.2117,53.974,52.8591,53.6119,2516329.0
2019-01-26,53.2117,53.974,52.8591,53.6119,2516329.0
2019-01-27,53.2117,53.974,52.8591,53.6119,2516329.0
2019-01-28,53.1164,53.5928,52.821,53.5738,1659339.0
2019-01-29,53.7358,53.9835,53.3832,53.7453,1965479.0
2019-01-30,53.7167,53.7167,51.9262,52.6971,2586974.0
2019-01-31,52.3636,53.3451,52.2492,53.3165,1982960.0
2019-02-01,53.4404,54.6696,53.2117,54.3552,1648824.0
2019-02-02,53.4404,54.6696,53.2117,54.3552,1648824.0
2019-02-03,53.4404,54.6696,53.2117,54.3552,1648824.0
2019-02-04,54.4031,54.9683,54.1348,54.9683,1787710.0
