,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,37.94,38.138,37.449,37.751,140013864.0
2019-01-02,37.069,38.016,36.911,37.794,148158948.0
2019-01-03,34.458,34.874,33.984,34.029,365248780.0
2019-01-04,34.589,35.551,34.415,35.482,234428280.0
2019-01-05,34.589,35.551,34.415,35.482,234428280.0
2019-01-06,34.589,35.551,34.415,35.482,234428280.0
2019-01-07,35.587,35.618,34.917,35.403,219111056.0
2019-01-08,35.793,36.334,35.544,36.078,164101256.0
2019-01-09,36.207,36.983,35.81,36.691,180396324.0
2019-01-10,36.497,36.849,36.104,36.808,143122680.0
2019-01-11,36.588,36.784,36.26,36.446,108092964.0
2019-01-12,36.588,36.784,36.26,36.446,108092964.0
2019-01-13,36.588,36.784,36.26,36.446,108092964.0
2019-01-14,36.102,36.202,35.712,35.898,129756744.0
2019-01-15,35.963,36.71,35.91,36.633,114841296.0
2019-01-16,36.636,37.306,36.616,37.081,122278824.0
2019-01-17,36.904,37.732,36.679,37.301,119284640.0
2019-01-18,37.693,37.784,37.33,37.531,135004092.0
2019-01-19,37.693,37.784,37.33,37.531,135004092.0
2019-01-20,37.693,37.784,37.33,37.531,135004092.0
2019-01-21,37.693,37.784,37.33,37.531,135004092.0
2019-01-22,37.432,37.509,36.525,36.688,121575880.0
2019-01-23,36.892,37.129,36.305,36.837,92522280.0
2019-01-24,36.882,36.971,36.315,36.545,101766196.0
2019-01-25,37.21,37.844,36.932,37.756,134191572.0
2019-01-26,37.21,37.844,36.932,37.756,134191572.0
2019-01-27,37.21,37.844,36.932,37.756,134191572.0
2019-01-28,37.284,37.413,36.774,37.406,104768232.0
2019-01-29,37.394,37.844,36.882,37.018,166348956.0
2019-01-30,39.069,39.763,38.347,39.548,244439120.0
2019-01-31,39.754,40.446,39.383,39.833,162958596.0
2019-02-01,39.957,40.441,39.711,39.852,130672552.0
2019-02-02,39.957,40.441,39.711,39.852,130672552.0
2019-02-03,39.957,40.441,39.711,39.852,130672552.0
2019-02-04,40.065,41.081,40.034,40.984,125982328.0
2019-02-05,41.369,41.901,41.247,41.685,144406512.0
2019-02-06,41.798,42.018,41.368,41.7,112958364.0
2019-02-07,41.259,41.628,40.766,40.91,126966760.0
2019-02-08,40.617,41.018,40.48,40.958,95279864.0
2019-02-09,40.617,41.018,40.48,40.958,95279864.0
2019-02-10,40.617,41.018,40.48,40.958,95279864.0
2019-02-11,41.112,41.15,40.679,40.722,83973700.0
2019-02-12,40.883,41.1,40.787,41.073,89134092.0
2019-02-13,41.193,41.455,40.84,40.903,89960932.0
2019-02-14,40.79,41.163,40.71,41.052,87342988.0
2019-02-15,41.16,41.268,40.799,40.96,98507256.0
2019-02-16,41.16,41.268,40.799,40.96,98507256.0
2019-02-17,41.16,41.268,40.799,40.96,98507256.0
2019-02-18,41.16,41.268,40.799,40.96,98507256.0
2019-02-19,40.79,41.205,40.737,41.083,75891304.0
2019-02-20,41.145,41.657,41.097,41.347,104457448.0
2019-02-21,41.292,41.429,40.931,41.114,68998680.0
2019-02-22,41.239,41.58,41.191,41.573,75652616.0
2019-02-23,41.239,41.58,41.191,41.573,75652616.0
2019-02-24,41.239,41.58,41.191,41.573,75652616.0
2019-02-25,41.859,42.27,41.809,41.876,87493432.0
2019-02-26,41.751,42.133,41.622,41.9,68280844.0
