,AJRD US Equity,AJRD US Equity,AJRD US Equity,AJRD US Equity,AJRD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,40.9103,41.7393,40.8382,41.1446,515611.0
2020-01-02,41.3969,42.2349,41.2347,42.2349,312299.0
2020-01-03,41.8655,44.0011,41.8655,43.9651,793658.0
2020-01-04,41.8655,44.0011,41.8655,43.9651,793658.0
2020-01-05,41.8655,44.0011,41.8655,43.9651,793658.0
2020-01-06,44.758,44.758,43.6857,44.0642,763425.0
2020-01-07,45.3347,47.3172,45.1906,47.0018,1228582.0
2020-01-08,46.7765,48.4346,46.6774,47.2541,1737131.0
2020-01-09,47.3262,47.7047,46.8531,47.4704,981433.0
2020-01-10,47.4704,48.0845,46.8846,47.0829,741935.0
2020-01-11,47.4704,48.0845,46.8846,47.0829,741935.0
2020-01-12,47.4704,48.0845,46.8846,47.0829,741935.0
2020-01-13,47.3262,48.4706,47.0468,48.1822,840888.0
2020-01-14,48.1372,48.3049,47.5875,47.6506,552032.0
2020-01-15,47.6506,48.1192,47.4253,47.9029,1832465.0
2020-01-16,48.2724,48.6508,47.7677,48.1192,381743.0
2020-01-17,48.3264,48.3715,47.6956,47.8759,856056.0
2020-01-18,48.3264,48.3715,47.6956,47.8759,856056.0
2020-01-19,48.3264,48.3715,47.6956,47.8759,856056.0
2020-01-20,48.3264,48.3715,47.6956,47.8759,856056.0
2020-01-21,47.8578,47.8939,46.1367,46.4431,737986.0
2020-01-22,46.5242,46.9297,46.1457,46.6504,535307.0
2020-01-23,46.7134,46.8846,46.3981,46.5873,602221.0
2020-01-24,46.8576,46.8576,46.0917,46.4792,345988.0
2020-01-25,46.8576,46.8576,46.0917,46.4792,345988.0
2020-01-26,46.8576,46.8576,46.0917,46.4792,345988.0
2020-01-27,45.8664,48.2989,45.7402,47.6326,818451.0
2020-01-28,47.8578,48.4526,47.6866,48.02,309671.0
2020-01-29,48.1913,48.2453,47.4073,47.5785,369385.0
2020-01-30,47.2271,47.9299,47.0919,47.6055,336907.0
2020-01-31,47.5334,47.7767,46.7585,46.9207,339842.0
2020-02-01,47.5334,47.7767,46.7585,46.9207,339842.0
2020-02-02,47.5334,47.7767,46.7585,46.9207,339842.0
2020-02-03,46.9477,47.2721,46.3079,46.4161,416178.0
2020-02-04,46.8756,47.8038,46.84,47.6596,239257.0
2020-02-05,47.957,48.4165,47.4704,48.3985,309897.0
2020-02-06,48.6598,49.2365,48.1011,48.4526,321878.0
2020-02-07,48.4796,49.0653,48.1193,48.6328,266257.0
2020-02-08,48.4796,49.0653,48.1193,48.6328,266257.0
2020-02-09,48.4796,49.0653,48.1193,48.6328,266257.0
2020-02-10,48.6959,49.0653,48.3147,48.6959,385329.0
2020-02-11,49.1374,49.5249,48.4886,48.795,659374.0
2020-02-12,49.1104,49.5159,48.5247,49.4708,1046349.0
2020-02-13,49.3807,50.3359,49.3807,50.0115,419427.0
2020-02-14,50.1917,50.8766,49.9664,50.426,460395.0
2020-02-15,50.1917,50.8766,49.9664,50.426,460395.0
2020-02-16,50.1917,50.8766,49.9664,50.426,460395.0
2020-02-17,50.1917,50.8766,49.9664,50.426,460395.0
2020-02-18,50.462,50.4801,47.948,48.2994,682767.0
2020-02-19,48.2994,48.8401,47.6416,47.8759,417980.0
2020-02-20,47.8759,51.6109,47.5785,48.9932,981593.0
2020-02-21,48.8401,49.1014,47.8488,48.831,387089.0
2020-02-22,48.8401,49.1014,47.8488,48.831,387089.0
2020-02-23,48.8401,49.1014,47.8488,48.831,387089.0
2020-02-24,47.5875,48.4976,47.2631,47.6416,761695.0
2020-02-25,47.5785,48.0471,45.7222,46.0827,858058.0
2020-02-26,46.4071,46.7405,45.6321,45.9475,357536.0
2020-02-27,45.2987,47.2361,44.8572,45.4339,797289.0
2020-02-28,44.3706,44.9743,43.4334,44.4066,781144.0
2020-02-29,44.3706,44.9743,43.4334,44.4066,781144.0
2020-03-01,44.3706,44.9743,43.4334,44.4066,781144.0
2020-03-02,44.722,46.0556,44.348,45.9475,607433.0
2020-03-03,46.0106,46.9748,44.8031,45.2897,2292809.0
2020-03-04,45.9205,47.5785,45.2266,47.5244,312639.0
2020-03-05,46.38,46.6954,44.3525,44.9383,484186.0
2020-03-06,43.5956,44.3976,42.1899,43.7308,421947.0
2020-03-07,43.5956,44.3976,42.1899,43.7308,421947.0
2020-03-08,43.5956,44.3976,42.1899,43.7308,421947.0
2020-03-09,40.5499,41.8745,39.9641,40.8202,1003709.0
2020-03-10,42.0367,42.1719,39.6848,40.8292,444478.0
2020-03-11,39.6938,40.2615,38.3151,38.9909,1075600.0
2020-03-12,36.2065,37.3689,33.7597,34.3412,1038182.0
2020-03-13,36.3597,39.063,35.1883,38.9729,781706.0
2020-03-14,36.3597,39.063,35.1883,38.9729,781706.0
2020-03-15,36.3597,39.063,35.1883,38.9729,781706.0
2020-03-16,35.4676,37.4843,31.8271,32.0704,940576.0
2020-03-17,32.4489,36.0083,31.9893,35.7289,956500.0
2020-03-18,33.1247,36.3597,32.2687,35.0982,1946107.0
2020-03-19,34.99,37.7384,32.4669,36.7382,1011329.0
2020-03-20,36.9544,37.8195,34.0709,34.8008,1665074.0
2020-03-21,36.9544,37.8195,34.0709,34.8008,1665074.0
2020-03-22,36.9544,37.8195,34.0709,34.8008,1665074.0
2020-03-23,34.4944,35.6478,30.6467,34.3232,2554527.0
2020-03-24,35.8461,36.8914,33.778,36.4408,644950.0
2020-03-25,36.5219,37.0175,33.4717,34.143,804056.0
2020-03-26,35.0531,38.9549,34.5305,38.7296,1175006.0
2020-03-27,37.5942,38.1799,36.3777,36.8373,773235.0
2020-03-28,37.5942,38.1799,36.3777,36.8373,773235.0
2020-03-29,37.5942,38.1799,36.3777,36.8373,773235.0
2020-03-30,37.378,39.063,36.0714,38.8738,539201.0
2020-03-31,38.6575,39.3424,37.0806,37.6933,591228.0
2020-04-01,36.1074,37.3509,35.7019,36.3687,416275.0
2020-04-02,35.9272,38.1619,35.5307,37.45,436743.0
2020-04-03,37.0355,38.0538,35.8776,36.7021,631652.0
2020-04-04,37.0355,38.0538,35.8776,36.7021,631652.0
2020-04-05,37.0355,38.0538,35.8776,36.7021,631652.0
2020-04-06,37.8736,39.865,37.8736,39.5857,483235.0
2020-04-07,40.7841,40.7841,37.6663,37.7474,504413.0
2020-04-08,38.4953,39.6397,37.4591,39.1982,440906.0
2020-04-09,39.9641,40.2165,38.9279,39.1892,533513.0
2020-04-10,39.9641,40.2165,38.9279,39.1892,533513.0
2020-04-11,39.9641,40.2165,38.9279,39.1892,533513.0
2020-04-12,39.9641,40.2165,38.9279,39.1892,533513.0
2020-04-13,38.6665,39.0811,37.7744,38.5134,460974.0
2020-04-14,39.3334,39.8019,38.8287,39.3153,587813.0
2020-04-15,38.3512,38.6215,37.0716,37.2158,1095805.0
2020-04-16,37.0626,38.0988,35.8551,37.7744,771619.0
2020-04-17,39.1892,39.5947,38.4593,39.2433,493525.0
2020-04-18,39.1892,39.5947,38.4593,39.2433,493525.0
2020-04-19,39.1892,39.5947,38.4593,39.2433,493525.0
2020-04-20,38.3782,39.2523,37.6122,38.0358,550449.0
2020-04-21,37.1437,38.0538,36.4498,36.6571,355800.0
2020-04-22,37.6393,37.6393,36.8103,37.1707,292835.0
2020-04-23,37.0265,37.5311,36.1885,36.4408,495338.0
2020-04-24,36.3687,37.7114,35.819,37.6303,938653.0
2020-04-25,36.3687,37.7114,35.819,37.6303,938653.0
2020-04-26,36.3687,37.7114,35.819,37.6303,938653.0
2020-04-27,37.9096,38.1709,37.0716,37.432,517006.0
2020-04-28,38.3241,38.7837,37.3239,38.0628,510686.0
