,ALXN US Equity,ALXN US Equity,ALXN US Equity,ALXN US Equity,ALXN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,98.06,99.81,96.39,97.36,1310388.0
2019-01-02,95.84,99.0542,95.16,98.05,1359749.0
2019-01-03,100.15,103.88,99.12,100.21,3296547.0
2019-01-04,101.88,107.3,101.8,106.0,2349942.0
2019-01-05,101.88,107.3,101.8,106.0,2349942.0
2019-01-06,101.88,107.3,101.8,106.0,2349942.0
2019-01-07,105.65,108.98,104.7,107.94,1983675.0
2019-01-08,108.65,110.49,105.2,108.61,1766466.0
2019-01-09,108.99,110.74,108.3201,109.96,1553265.0
2019-01-10,109.15,111.49,108.45,110.93,1467699.0
2019-01-11,110.68,111.53,108.75,111.13,1339548.0
2019-01-12,110.68,111.53,108.75,111.13,1339548.0
2019-01-13,110.68,111.53,108.75,111.13,1339548.0
2019-01-14,110.02,110.33,107.53,107.58,1681793.0
2019-01-15,108.17,111.77,107.76,111.73,1949308.0
2019-01-16,111.89,113.99,110.81,111.7,2158053.0
2019-01-17,111.62,115.65,111.1,114.62,1926632.0
2019-01-18,115.7,117.37,113.54,117.05,2528349.0
2019-01-19,115.7,117.37,113.54,117.05,2528349.0
2019-01-20,115.7,117.37,113.54,117.05,2528349.0
2019-01-21,115.7,117.37,113.54,117.05,2528349.0
2019-01-22,115.28,115.32,112.14,114.29,2841642.0
2019-01-23,115.14,117.98,114.8259,117.0,2480505.0
2019-01-24,117.25,117.98,116.38,117.91,1557372.0
2019-01-25,118.98,121.59,118.37,121.44,1501610.0
2019-01-26,118.98,121.59,118.37,121.44,1501610.0
2019-01-27,118.98,121.59,118.37,121.44,1501610.0
2019-01-28,119.87,120.005,117.0,119.21,2012087.0
2019-01-29,119.32,119.99,117.12,119.61,2276474.0
2019-01-30,119.62,121.645,117.66,121.32,1427945.0
2019-01-31,121.41,123.21,120.44,122.96,1678082.0
2019-02-01,124.44,126.5099,123.15,126.28,2470357.0
2019-02-02,124.44,126.5099,123.15,126.28,2470357.0
2019-02-03,124.44,126.5099,123.15,126.28,2470357.0
2019-02-04,128.67,129.0,121.43,123.75,3629816.0
2019-02-05,123.39,124.88,121.56,122.87,1889051.0
2019-02-06,122.72,123.095,120.94,121.03,1556601.0
2019-02-07,119.57,120.37,117.31,118.79,1479412.0
2019-02-08,118.03,120.19,117.8,120.14,1057608.0
2019-02-09,118.03,120.19,117.8,120.14,1057608.0
2019-02-10,118.03,120.19,117.8,120.14,1057608.0
2019-02-11,120.76,121.4,119.285,120.05,969076.0
2019-02-12,121.7,124.37,121.43,124.26,1701834.0
2019-02-13,125.0,125.3,123.21,125.18,1160511.0
2019-02-14,124.73,126.23,123.94,125.93,1017026.0
2019-02-15,125.435,129.49,125.435,129.42,1299915.0
2019-02-16,125.435,129.49,125.435,129.42,1299915.0
2019-02-17,125.435,129.49,125.435,129.42,1299915.0
2019-02-18,125.435,129.49,125.435,129.42,1299915.0
2019-02-19,128.48,129.78,128.05,128.93,1169679.0
2019-02-20,128.51,130.415,128.45,129.84,1758158.0
2019-02-21,129.63,130.09,126.3,127.55,1019720.0
2019-02-22,127.93,129.85,126.86,129.73,1221577.0
2019-02-23,127.93,129.85,126.86,129.73,1221577.0
2019-02-24,127.93,129.85,126.86,129.73,1221577.0
2019-02-25,130.5,133.37,130.5,133.17,1574532.0
2019-02-26,131.85,134.95,131.85,133.29,1396553.0
2019-02-27,132.49,136.19,132.0,136.01,1131456.0
2019-02-28,135.58,137.3,134.37,135.33,1556101.0
2019-03-01,132.89,137.8,132.66,137.75,1445884.0
2019-03-02,132.89,137.8,132.66,137.75,1445884.0
2019-03-03,132.89,137.8,132.66,137.75,1445884.0
2019-03-04,138.0,138.32,133.39,136.08,1502223.0
2019-03-05,136.15,136.5,134.26,134.77,1030273.0
2019-03-06,134.57,134.9,130.6,131.12,1241863.0
2019-03-07,131.18,131.2,126.71,128.17,1667303.0
2019-03-08,127.26,128.77,125.7,128.68,1194344.0
2019-03-09,127.26,128.77,125.7,128.68,1194344.0
2019-03-10,127.26,128.77,125.7,128.68,1194344.0
2019-03-11,128.97,132.2,128.3463,132.04,1306377.0
2019-03-12,132.55,134.87,131.79,134.3,1560978.0
2019-03-13,135.22,136.96,134.48,135.71,1066753.0
2019-03-14,135.87,136.38,133.48,134.88,1361377.0
2019-03-15,135.31,136.65,134.62,136.09,2070737.0
2019-03-16,135.31,136.65,134.62,136.09,2070737.0
2019-03-17,135.31,136.65,134.62,136.09,2070737.0
2019-03-18,136.04,136.39,132.86,133.51,1744496.0
2019-03-19,133.57,134.56,132.39,132.94,1005729.0
2019-03-20,133.2,133.56,130.85,131.66,1702945.0
2019-03-21,130.47,134.56,130.03,134.21,1729770.0
2019-03-22,133.86,134.9,130.1,130.21,1512041.0
2019-03-23,133.86,134.9,130.1,130.21,1512041.0
2019-03-24,133.86,134.9,130.1,130.21,1512041.0
2019-03-25,130.29,132.34,128.3,132.29,1684001.0
2019-03-26,133.15,136.95,132.61,136.79,1737728.0
2019-03-27,136.71,137.5,133.1,134.6,1106432.0
2019-03-28,134.65,135.78,131.73,133.26,1124939.0
2019-03-29,134.5,135.79,133.37,135.18,1240751.0
2019-03-30,134.5,135.79,133.37,135.18,1240751.0
2019-03-31,134.5,135.79,133.37,135.18,1240751.0
2019-04-01,136.58,137.62,135.2,135.32,869886.0
2019-04-02,135.58,139.65,135.09,138.92,1516299.0
2019-04-03,139.66,140.18,138.37,139.99,1699749.0
2019-04-04,140.07,141.8,139.01,139.93,1189250.0
2019-04-05,139.97,141.65,139.66,141.2,1208323.0
2019-04-06,139.97,141.65,139.66,141.2,1208323.0
2019-04-07,139.97,141.65,139.66,141.2,1208323.0
2019-04-08,141.21,141.21,138.58,139.75,929035.0
2019-04-09,139.17,140.3467,137.21,137.65,992084.0
2019-04-10,138.02,141.86,137.35,141.3,1148868.0
2019-04-11,141.38,141.59,137.24,137.42,947500.0
2019-04-12,138.4,139.39,135.83,136.2,990477.0
2019-04-13,138.4,139.39,135.83,136.2,990477.0
2019-04-14,138.4,139.39,135.83,136.2,990477.0
2019-04-15,136.87,137.93,135.39,137.49,855369.0
2019-04-16,138.15,139.95,136.58,136.94,1172902.0
2019-04-17,137.32,137.77,124.4,125.91,3078009.0
2019-04-18,126.66,128.22,122.68,126.01,2094946.0
2019-04-19,126.66,128.22,122.68,126.01,2094946.0
2019-04-20,126.66,128.22,122.68,126.01,2094946.0
2019-04-21,126.66,128.22,122.68,126.01,2094946.0
2019-04-22,126.48,129.29,126.1,128.96,1245585.0
2019-04-23,128.68,133.23,128.15,132.37,1488685.0
2019-04-24,132.0,133.89,127.7,130.09,1250750.0
2019-04-25,131.0,135.81,128.925,135.68,1739569.0
2019-04-26,136.0,137.16,132.61,134.57,1498480.0
2019-04-27,136.0,137.16,132.61,134.57,1498480.0
2019-04-28,136.0,137.16,132.61,134.57,1498480.0
2019-04-29,134.52,135.91,133.96,135.29,1163762.0
2019-04-30,135.19,136.31,132.59,136.13,1171917.0
2019-05-01,135.86,136.92,134.05,134.14,987366.0
2019-05-02,133.71,135.41,132.21,133.13,1347695.0
2019-05-03,134.0,136.83,133.4565,136.69,1042121.0
2019-05-04,134.0,136.83,133.4565,136.69,1042121.0
2019-05-05,134.0,136.83,133.4565,136.69,1042121.0
2019-05-06,134.23,137.52,132.64,136.96,752707.0
2019-05-07,135.43,136.515,133.03,134.52,996990.0
2019-05-08,134.42,135.49,133.1167,133.65,807657.0
2019-05-09,132.45,132.835,128.62,131.77,1297339.0
2019-05-10,131.42,131.96,127.46,131.69,1324078.0
2019-05-11,131.42,131.96,127.46,131.69,1324078.0
2019-05-12,131.42,131.96,127.46,131.69,1324078.0
2019-05-13,128.68,129.44,125.605,125.92,1647992.0
2019-05-14,126.97,129.14,126.22,127.93,1033665.0
2019-05-15,126.86,129.43,125.98,128.41,838465.0
2019-05-16,128.77,131.97,128.45,131.4,1303645.0
2019-05-17,130.6,131.99,129.86,130.9,1165938.0
2019-05-18,130.6,131.99,129.86,130.9,1165938.0
2019-05-19,130.6,131.99,129.86,130.9,1165938.0
2019-05-20,129.7,129.7,125.48,127.23,1129645.0
2019-05-21,128.0,129.57,127.44,128.8,1127965.0
2019-05-22,128.49,128.96,125.32,127.55,1170533.0
2019-05-23,125.86,126.69,123.12,125.33,1593589.0
2019-05-24,126.27,128.26,125.6981,127.15,973926.0
2019-05-25,126.27,128.26,125.6981,127.15,973926.0
2019-05-26,126.27,128.26,125.6981,127.15,973926.0
2019-05-27,126.27,128.26,125.6981,127.15,973926.0
2019-05-28,127.0,127.9,124.68,125.0,1237649.0
2019-05-29,124.17,124.49,121.03,121.3,1382949.0
2019-05-30,122.21,123.13,119.71,120.49,1547700.0
2019-05-31,118.56,118.58,112.86,113.68,2403343.0
2019-06-01,118.56,118.58,112.86,113.68,2403343.0
2019-06-02,118.56,118.58,112.86,113.68,2403343.0
2019-06-03,113.97,116.47,113.31,114.05,1815508.0
2019-06-04,115.21,117.62,114.69,117.54,2045747.0
2019-06-05,118.21,119.015,117.11,118.78,1339475.0
2019-06-06,119.19,120.28,118.52,118.81,2003727.0
2019-06-07,119.41,119.7,117.18,118.4,1439306.0
2019-06-08,119.41,119.7,117.18,118.4,1439306.0
2019-06-09,119.41,119.7,117.18,118.4,1439306.0
2019-06-10,118.61,119.52,116.35,116.42,1730018.0
