,ATO US Equity,ATO US Equity,ATO US Equity,ATO US Equity,ATO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,99.2096,100.5032,99.1557,100.4852,637865.0
2020-01-02,100.6469,100.6469,98.2934,99.1557,888555.0
2020-01-03,98.8683,100.0002,98.8683,99.8115,724241.0
2020-01-04,98.8683,100.0002,98.8683,99.8115,724241.0
2020-01-05,98.8683,100.0002,98.8683,99.8115,724241.0
2020-01-06,99.6768,100.3236,99.6139,99.6768,823264.0
2020-01-07,100.611,100.629,99.1962,100.3415,876723.0
2020-01-08,100.3505,100.3505,99.4066,99.4791,905124.0
2020-01-09,99.3354,100.1708,99.3085,99.8025,834648.0
2020-01-10,100.0541,100.42,99.8834,100.063,543350.0
2020-01-11,100.0541,100.42,99.8834,100.063,543350.0
2020-01-12,100.0541,100.42,99.8834,100.063,543350.0
2020-01-13,100.072,101.3476,100.072,101.0961,403395.0
2020-01-14,101.159,101.4015,100.6919,101.3386,601440.0
2020-01-15,101.5273,102.3807,101.4914,102.1831,561851.0
2020-01-16,102.4346,103.2655,102.1741,103.0454,784975.0
2020-01-17,103.1263,103.3868,102.4436,103.288,602061.0
2020-01-18,103.1263,103.3868,102.4436,103.288,602061.0
2020-01-19,103.1263,103.3868,102.4436,103.288,602061.0
2020-01-20,103.1263,103.3868,102.4436,103.288,602061.0
2020-01-21,103.4317,104.3031,102.9017,104.1324,925467.0
2020-01-22,104.7971,104.86,103.9527,104.2851,690900.0
2020-01-23,104.2402,105.0397,104.0977,104.9948,672311.0
2020-01-24,105.1565,105.6955,104.7343,105.4439,699424.0
2020-01-25,105.1565,105.6955,104.7343,105.4439,699424.0
2020-01-26,105.1565,105.6955,104.7343,105.4439,699424.0
2020-01-27,105.2553,105.9829,104.1414,104.5546,1026840.0
2020-01-28,104.6894,105.8572,104.2492,104.4827,598967.0
2020-01-29,104.4827,104.7747,103.8809,104.4827,607734.0
2020-01-30,104.4199,105.5697,104.1235,105.4439,577185.0
2020-01-31,105.0756,105.7583,104.0426,105.1295,3787721.0
2020-02-01,105.0756,105.7583,104.0426,105.1295,3787721.0
2020-02-02,105.0756,105.7583,104.0426,105.1295,3787721.0
2020-02-03,105.4619,106.6656,105.1026,106.6028,1290145.0
2020-02-04,106.45,107.0789,105.3002,105.3002,973987.0
2020-02-05,104.6714,106.8633,103.3059,106.2524,1167623.0
2020-02-06,106.5578,106.5578,105.2194,105.6955,1362927.0
2020-02-07,105.8302,106.1267,105.2373,105.6326,817281.0
2020-02-08,105.8302,106.1267,105.2373,105.6326,817281.0
2020-02-09,105.8302,106.1267,105.2373,105.6326,817281.0
2020-02-10,105.929,106.3153,105.7224,106.2794,656360.0
2020-02-11,106.5578,107.5101,106.4321,107.2226,502056.0
2020-02-12,106.7914,107.0968,105.7044,105.947,957246.0
2020-02-13,105.938,107.4023,105.8392,107.3484,618903.0
2020-02-14,106.7465,108.2736,105.2822,108.2018,1290784.0
2020-02-15,106.7465,108.2736,105.2822,108.2018,1290784.0
2020-02-16,106.7465,108.2736,105.2822,108.2018,1290784.0
2020-02-17,106.7465,108.2736,105.2822,108.2018,1290784.0
2020-02-18,108.3904,108.7677,108.0311,108.3096,939298.0
2020-02-19,108.2197,108.2287,107.4382,107.4382,693755.0
2020-02-20,107.564,107.5999,106.7555,107.1058,894529.0
2020-02-21,107.2548,107.995,106.993,107.1465,967021.0
2020-02-22,107.2548,107.995,106.993,107.1465,967021.0
2020-02-23,107.2548,107.995,106.993,107.1465,967021.0
2020-02-24,106.4514,106.7674,104.7905,104.9079,967112.0
2020-02-25,105.2689,105.7022,102.6241,102.6692,830160.0
2020-02-26,102.8859,104.0187,101.1437,101.1799,1023215.0
