,BKE US Equity,BKE US Equity,BKE US Equity,BKE US Equity,BKE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,10.5591,10.6971,10.2344,10.4671,359425.0
2019-01-02,10.3751,10.7215,10.2073,10.5104,623631.0
2019-01-03,10.3805,10.5537,10.1045,10.3589,447576.0
2019-01-04,10.5483,10.689,10.3913,10.6024,405644.0
2019-01-05,10.5483,10.689,10.3913,10.6024,405644.0
2019-01-06,10.5483,10.689,10.3913,10.6024,405644.0
2019-01-07,10.5862,11.0381,10.4238,10.7648,666030.0
2019-01-08,10.9488,11.1599,10.5591,10.9704,664071.0
2019-01-09,11.1166,11.2194,10.8514,11.0678,748939.0
2019-01-10,10.722,10.7508,9.9149,10.5318,1221341.0
2019-01-11,10.451,10.9353,10.4395,10.8257,498773.0
2019-01-12,10.451,10.9353,10.4395,10.8257,498773.0
2019-01-13,10.451,10.9353,10.4395,10.8257,498773.0
2019-01-14,10.7508,10.8719,10.451,10.4568,457104.0
2019-01-15,10.4338,10.4338,10.1282,10.1455,329540.0
2019-01-16,10.1398,10.1916,10.0072,10.1109,550272.0
2019-01-17,10.0591,10.3646,10.0533,10.3012,434161.0
2019-01-18,10.3761,10.647,10.3358,10.4453,430657.0
2019-01-19,10.3761,10.647,10.3358,10.4453,430657.0
2019-01-20,10.3761,10.647,10.3358,10.4453,430657.0
2019-01-21,10.3761,10.647,10.3358,10.4453,430657.0
2019-01-22,10.3646,10.3646,10.0216,10.0821,473585.0
2019-01-23,10.1052,10.2262,9.9726,10.0302,398074.0
2019-01-24,10.0418,10.1225,9.9668,10.0764,258853.0
2019-01-25,10.1686,10.5029,10.0648,10.3185,409078.0
2019-01-26,10.1686,10.5029,10.0648,10.3185,409078.0
2019-01-27,10.1686,10.5029,10.0648,10.3185,409078.0
2019-01-28,10.2608,10.3471,10.1109,10.1801,283797.0
2019-01-29,10.1628,10.1628,9.9207,10.0129,512722.0
2019-01-30,10.0879,10.1109,9.9149,10.0245,334351.0
2019-01-31,9.9726,10.0187,9.8227,10.0129,465145.0
2019-02-01,10.0302,10.0591,9.817,10.0187,381809.0
2019-02-02,10.0302,10.0591,9.817,10.0187,381809.0
2019-02-03,10.0302,10.0591,9.817,10.0187,381809.0
2019-02-04,10.0014,10.1398,9.8919,10.0879,508988.0
2019-02-05,10.1571,10.3703,10.0936,10.2781,388871.0
2019-02-06,10.2723,10.2924,9.8861,9.9726,354911.0
2019-02-07,9.8746,10.0475,9.7132,9.7824,494201.0
2019-02-08,9.8977,10.2089,9.7997,10.1167,399689.0
2019-02-09,9.8977,10.2089,9.7997,10.1167,399689.0
2019-02-10,9.8977,10.2089,9.7997,10.1167,399689.0
2019-02-11,10.1398,10.3588,10.0129,10.2781,330381.0
2019-02-12,10.3069,10.4395,10.2493,10.2551,264645.0
2019-02-13,10.2608,10.3358,9.9611,10.0994,320145.0
2019-02-14,9.9841,10.1052,9.8227,9.9553,341986.0
2019-02-15,10.0418,10.232,9.9322,10.1801,317217.0
2019-02-16,10.0418,10.232,9.9322,10.1801,317217.0
2019-02-17,10.0418,10.232,9.9322,10.1801,317217.0
2019-02-18,10.0418,10.232,9.9322,10.1801,317217.0
2019-02-19,10.1455,10.5145,10.1455,10.4856,567251.0
2019-02-20,10.5202,10.7508,10.4943,10.549,446717.0
2019-02-21,10.5087,10.6355,10.3819,10.4453,388577.0
2019-02-22,10.4453,10.5779,10.3069,10.5663,462999.0
2019-02-23,10.4453,10.5779,10.3069,10.5663,462999.0
2019-02-24,10.4453,10.5779,10.3069,10.5663,462999.0
2019-02-25,10.6182,10.7047,10.4395,10.4568,599423.0
2019-02-26,10.4453,10.6989,10.2666,10.6701,428206.0
2019-02-27,10.6816,10.9699,10.6413,10.8603,586208.0
2019-02-28,10.8084,11.1255,10.6413,11.0621,618500.0
2019-03-01,11.2408,11.4829,11.0967,11.2696,861408.0
2019-03-02,11.2408,11.4829,11.0967,11.2696,861408.0
2019-03-03,11.2408,11.4829,11.0967,11.2696,861408.0
2019-03-04,11.2638,11.3849,11.0678,11.235,1102089.0
2019-03-05,11.2754,11.3157,11.0217,11.1024,369502.0
2019-03-06,11.2004,11.3215,11.1024,11.2004,515304.0
2019-03-07,10.9583,11.0909,10.7566,10.9987,1182899.0
2019-03-08,10.6067,10.7796,10.3934,10.6413,1843582.0
2019-03-09,10.6067,10.7796,10.3934,10.6413,1843582.0
2019-03-10,10.6067,10.7796,10.3934,10.6413,1843582.0
2019-03-11,10.6297,11.1197,10.6297,10.9814,638573.0
2019-03-12,10.9295,10.9468,10.6989,10.82,405579.0
2019-03-13,10.8027,10.9237,10.7047,10.8373,463609.0
2019-03-14,10.7623,10.7623,10.3934,10.4222,690784.0
2019-03-15,10.0475,10.3012,9.84,10.1571,1625478.0
2019-03-16,10.0475,10.3012,9.84,10.1571,1625478.0
2019-03-17,10.0475,10.3012,9.84,10.1571,1625478.0
2019-03-18,10.2666,10.7364,10.1859,10.4972,1100805.0
2019-03-19,10.4914,10.7623,10.4049,10.722,597746.0
2019-03-20,10.722,10.8834,10.428,10.5721,741706.0
2019-03-21,10.526,10.6326,10.2205,10.3588,564690.0
2019-03-22,10.3242,10.4626,10.0418,10.1513,513987.0
2019-03-23,10.3242,10.4626,10.0418,10.1513,513987.0
2019-03-24,10.3242,10.4626,10.0418,10.1513,513987.0
2019-03-25,10.0936,10.4626,10.0936,10.2781,388214.0
2019-03-26,10.3185,10.5029,10.2954,10.3761,315295.0
2019-03-27,10.3876,10.7047,10.3185,10.647,441634.0
2019-03-28,10.6874,10.9756,10.6586,10.7162,269391.0
2019-03-29,10.7623,10.843,10.6528,10.7912,415363.0
2019-03-30,10.7623,10.843,10.6528,10.7912,415363.0
2019-03-31,10.7623,10.843,10.6528,10.7912,415363.0
2019-04-01,10.8488,11.0563,10.7508,11.0275,310712.0
2019-04-02,10.9929,11.0069,10.7162,10.7335,407857.0
2019-04-03,10.8027,10.8776,10.6586,10.6932,253772.0
2019-04-04,10.722,11.0275,10.7047,11.0275,535015.0
2019-04-05,11.0275,11.1197,10.8027,10.8719,599875.0
2019-04-06,11.0275,11.1197,10.8027,10.8719,599875.0
2019-04-07,11.0275,11.1197,10.8027,10.8719,599875.0
2019-04-08,10.8776,11.0275,10.745,10.8142,422978.0
2019-04-09,10.7912,10.843,10.4799,10.5202,672567.0
2019-04-10,10.5145,10.7854,10.5145,10.7739,604696.0
2019-04-11,10.7855,10.9024,10.4817,10.6044,629399.0
2019-04-12,10.6804,10.8673,10.6278,10.7622,616919.0
2019-04-13,10.6804,10.8673,10.6278,10.7622,616919.0
2019-04-14,10.6804,10.8673,10.6278,10.7622,616919.0
2019-04-15,10.7855,10.8586,10.5869,10.6687,415987.0
2019-04-16,10.7271,10.7855,10.6482,10.7154,467406.0
2019-04-17,10.7622,10.9842,10.7622,10.9433,370910.0
2019-04-18,10.9316,11.2354,10.8323,11.1478,513458.0
2019-04-19,10.9316,11.2354,10.8323,11.1478,513458.0
