,BLDR US Equity,BLDR US Equity,BLDR US Equity,BLDR US Equity,BLDR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,10.99,11.03,10.55,10.91,1061864.0
2019-01-02,10.66,11.56,10.56,11.51,1373925.0
2019-01-03,11.37,11.74,11.2,11.48,1038589.0
2019-01-04,11.72,12.145,11.68,12.1,771139.0
2019-01-05,11.72,12.145,11.68,12.1,771139.0
2019-01-06,11.72,12.145,11.68,12.1,771139.0
2019-01-07,12.04,12.53,11.8,12.5,1092923.0
2019-01-08,12.6,12.79,12.4,12.59,1138964.0
2019-01-09,12.65,12.94,12.4,12.93,752842.0
2019-01-10,12.53,12.7,12.28,12.4,1323385.0
2019-01-11,12.01,12.54,12.0,12.42,866668.0
2019-01-12,12.01,12.54,12.0,12.42,866668.0
2019-01-13,12.01,12.54,12.0,12.42,866668.0
2019-01-14,12.33,12.62,12.33,12.4,861405.0
2019-01-15,12.29,12.55,11.91,12.21,848186.0
2019-01-16,12.22,12.45,12.1,12.15,588166.0
2019-01-17,12.12,12.63,12.12,12.5,826334.0
2019-01-18,12.58,12.84,12.475,12.52,659606.0
2019-01-19,12.58,12.84,12.475,12.52,659606.0
2019-01-20,12.58,12.84,12.475,12.52,659606.0
2019-01-21,12.58,12.84,12.475,12.52,659606.0
2019-01-22,12.46,12.59,12.18,12.37,911244.0
2019-01-23,12.46,12.49,12.02,12.1,400564.0
2019-01-24,12.09,12.62,11.96,12.6,463203.0
2019-01-25,12.75,13.12,12.67,12.69,532564.0
2019-01-26,12.75,13.12,12.67,12.69,532564.0
2019-01-27,12.75,13.12,12.67,12.69,532564.0
2019-01-28,12.51,12.98,12.51,12.79,523148.0
2019-01-29,12.78,12.87,12.46,12.79,419639.0
2019-01-30,12.91,12.99,12.62,12.98,358204.0
2019-01-31,12.97,13.45,12.84,13.22,786992.0
2019-02-01,13.19,13.36,13.0962,13.31,748926.0
