,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,380.19,384.73,376.48,381.76,131859.0
2019-01-02,378.37,390.05,373.061,389.23,137048.0
2019-01-03,392.1,399.9,386.94,395.03,119266.0
2019-01-04,402.14,412.13,400.0,408.26,116279.0
2019-01-05,402.14,412.13,400.0,408.26,116279.0
2019-01-06,402.14,412.13,400.0,408.26,116279.0
2019-01-07,406.34,411.45,405.0,406.56,154733.0
2019-01-08,409.75,412.57,406.83,410.62,98188.0
2019-01-09,412.97,417.585,409.36,410.31,70815.0
2019-01-10,407.7,420.21,405.01,415.85,142388.0
2019-01-11,414.79,424.11,412.12,422.6,41369.0
2019-01-12,414.79,424.11,412.12,422.6,41369.0
2019-01-13,414.79,424.11,412.12,422.6,41369.0
2019-01-14,419.95,426.96,416.1699,420.93,93539.0
2019-01-15,421.9,421.905,407.52,413.36,101404.0
2019-01-16,414.98,421.09,413.0,416.31,81019.0
2019-01-17,414.61,427.13,410.0,421.74,138912.0
2019-01-18,423.05,437.11,418.2,429.12,116692.0
2019-01-19,423.05,437.11,418.2,429.12,116692.0
2019-01-20,423.05,437.11,418.2,429.12,116692.0
2019-01-21,423.05,437.11,418.2,429.12,116692.0
2019-01-22,427.66,427.66,415.2,424.96,142632.0
2019-01-23,425.0,427.15,417.2,420.95,55331.0
2019-01-24,414.0,415.47,399.375,405.57,161628.0
2019-01-25,408.68,413.72,407.89,409.93,68514.0
2019-01-26,408.68,413.72,407.89,409.93,68514.0
2019-01-27,408.68,413.72,407.89,409.93,68514.0
2019-01-28,405.02,413.54,404.83,411.89,83626.0
2019-01-29,411.0,412.62,408.13,408.67,116377.0
2019-01-30,410.21,415.48,402.485,414.37,129338.0
2019-01-31,387.68,407.97,387.68,398.02,289494.0
2019-02-01,394.87,419.1,394.87,417.45,126253.0
2019-02-02,394.87,419.1,394.87,417.45,126253.0
2019-02-03,394.87,419.1,394.87,417.45,126253.0
2019-02-04,417.3,427.725,417.3,426.7,110821.0
2019-02-05,428.8,434.14,421.9896,422.74,72103.0
2019-02-06,423.56,426.82,420.41,426.28,59274.0
2019-02-07,424.93,427.42,420.715,424.12,61445.0
2019-02-08,422.14,426.49,416.0816,425.87,120983.0
2019-02-09,422.14,426.49,416.0816,425.87,120983.0
2019-02-10,422.14,426.49,416.0816,425.87,120983.0
2019-02-11,429.65,437.44,427.03,435.99,83729.0
2019-02-12,440.29,449.53,431.53,434.71,134636.0
2019-02-13,437.01,443.7499,436.09,439.75,81457.0
2019-02-14,438.7,441.0,426.66,436.82,67241.0
2019-02-15,438.96,445.92,438.96,441.29,60972.0
2019-02-16,438.96,445.92,438.96,441.29,60972.0
2019-02-17,438.96,445.92,438.96,441.29,60972.0
2019-02-18,438.96,445.92,438.96,441.29,60972.0
2019-02-19,441.78,445.31,436.98,444.98,97461.0
2019-02-20,444.8,446.54,438.77,441.19,132223.0
2019-02-21,440.64,440.64,429.64,438.08,89478.0
2019-02-22,439.17,442.9,432.96,441.54,146283.0
2019-02-23,439.17,442.9,432.96,441.54,146283.0
2019-02-24,439.17,442.9,432.96,441.54,146283.0
2019-02-25,443.83,447.99,434.47,434.94,111733.0
2019-02-26,434.98,442.515,434.835,439.53,66481.0
2019-02-27,440.32,442.08,438.39,438.43,28240.0
2019-02-28,440.39,441.44,437.32,439.86,43590.0
2019-03-01,440.38,448.155,439.19,446.83,68669.0
2019-03-02,440.38,448.155,439.19,446.83,68669.0
2019-03-03,440.38,448.155,439.19,446.83,68669.0
2019-03-04,448.24,449.0,439.88,443.11,92980.0
2019-03-05,440.79,443.75,431.6556,443.18,49704.0
2019-03-06,442.83,443.41,440.07,440.51,65698.0
2019-03-07,437.69,440.56,432.575,436.41,28344.0
2019-03-08,432.04,442.32,430.16,440.8,68938.0
2019-03-09,432.04,442.32,430.16,440.8,68938.0
2019-03-10,432.04,442.32,430.16,440.8,68938.0
2019-03-11,441.32,447.41,437.76,444.01,61849.0
2019-03-12,445.43,449.71,443.75,446.86,47711.0
2019-03-13,448.06,454.92,444.7,449.39,97053.0
2019-03-14,449.52,454.795,447.19,454.74,67660.0
2019-03-15,455.0,456.65,450.84,454.08,114344.0
2019-03-16,455.0,456.65,450.84,454.08,114344.0
2019-03-17,455.0,456.65,450.84,454.08,114344.0
2019-03-18,454.52,460.37,450.22,452.72,109277.0
2019-03-19,453.3,454.5765,447.2,451.71,76444.0
2019-03-20,450.605,452.4,441.295,442.8,59070.0
2019-03-21,441.53,450.13,438.36,449.39,42416.0
2019-03-22,446.62,446.9286,429.01,431.86,86668.0
2019-03-23,446.62,446.9286,429.01,431.86,86668.0
