,DISCA US Equity,DISCA US Equity,DISCA US Equity,DISCA US Equity,DISCA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,24.92,24.93,24.09,24.74,4096249.0
2019-01-02,24.37,25.85,24.11,25.83,4595546.0
2019-01-03,25.47,25.95,24.97,25.68,4947926.0
2019-01-04,25.97,26.42,25.91,26.14,3856144.0
2019-01-05,25.97,26.42,25.91,26.14,3856144.0
2019-01-06,25.97,26.42,25.91,26.14,3856144.0
2019-01-07,26.09,26.83,25.8,26.53,4023104.0
2019-01-08,26.74,27.455,26.62,27.24,3448046.0
2019-01-09,27.38,27.7,27.2,27.28,3766404.0
2019-01-10,27.1,27.165,26.57,26.81,3311085.0
2019-01-11,26.63,27.28,26.5,27.12,2842131.0
2019-01-12,26.63,27.28,26.5,27.12,2842131.0
2019-01-13,26.63,27.28,26.5,27.12,2842131.0
2019-01-14,26.89,27.08,26.57,27.0,2963607.0
2019-01-15,27.11,27.39,26.98,27.1,1844948.0
2019-01-16,27.21,27.52,27.06,27.11,2475082.0
2019-01-17,27.05,27.475,26.95,27.3,2344623.0
2019-01-18,27.42,27.895,27.21,27.71,3268892.0
2019-01-19,27.42,27.895,27.21,27.71,3268892.0
2019-01-20,27.42,27.895,27.21,27.71,3268892.0
2019-01-21,27.42,27.895,27.21,27.71,3268892.0
2019-01-22,27.6,27.73,26.44,26.6,3788037.0
2019-01-23,26.8,27.13,26.245,26.56,2646916.0
2019-01-24,26.66,27.51,26.42,27.32,4545108.0
2019-01-25,27.52,27.75,27.3999,27.68,2697893.0
2019-01-26,27.52,27.75,27.3999,27.68,2697893.0
2019-01-27,27.52,27.75,27.3999,27.68,2697893.0
2019-01-28,27.4,27.84,27.23,27.79,2422267.0
2019-01-29,27.82,27.82,27.29,27.4,1671181.0
2019-01-30,27.0,27.25,25.08,26.74,10363531.0
2019-01-31,27.38,28.43,27.29,28.38,6690000.0
2019-02-01,28.5,28.78,28.02,28.56,3805591.0
2019-02-02,28.5,28.78,28.02,28.56,3805591.0
2019-02-03,28.5,28.78,28.02,28.56,3805591.0
