,EA US Equity,EA US Equity,EA US Equity,EA US Equity,EA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,78.4588,78.8315,76.7916,77.3898,2942411.0
2019-01-02,75.7324,79.0865,75.7128,78.8217,3176781.0
2019-01-03,77.9194,78.8021,76.1247,77.1937,3747137.0
2019-01-04,79.263,83.6077,78.4981,82.7937,7254381.0
2019-01-05,79.263,83.6077,78.4981,82.7937,7254381.0
2019-01-06,79.263,83.6077,78.4981,82.7937,7254381.0
2019-01-07,83.2546,86.4028,81.8326,85.9026,6611453.0
2019-01-08,86.7558,88.0112,86.0007,87.3051,6468299.0
2019-01-09,88.0798,89.2371,86.1968,87.1972,4178767.0
2019-01-10,87.0795,89.6784,86.8147,89.2567,4745577.0
2019-01-11,88.9233,89.8255,88.1779,88.9527,3757614.0
2019-01-12,88.9233,89.8255,88.1779,88.9527,3757614.0
2019-01-13,88.9233,89.8255,88.1779,88.9527,3757614.0
2019-01-14,87.8935,88.2466,86.7166,86.8735,3351586.0
2019-01-15,87.2462,87.8543,86.6676,87.766,2794651.0
2019-01-16,86.3047,88.3544,84.304,88.1877,6613145.0
2019-01-17,86.2557,88.1191,85.9615,87.5895,4283301.0
2019-01-18,88.5702,91.3653,88.4917,90.7376,5403618.0
2019-01-19,88.5702,91.3653,88.4917,90.7376,5403618.0
2019-01-20,88.5702,91.3653,88.4917,90.7376,5403618.0
2019-01-21,88.5702,91.3653,88.4917,90.7376,5403618.0
2019-01-22,89.9138,90.2178,88.276,89.5509,4474677.0
2019-01-23,90.159,90.2277,86.7362,87.4129,4085955.0
2019-01-24,87.6385,89.7863,86.8245,89.7177,3167912.0
2019-01-25,90.669,91.1888,89.1194,89.9727,4168627.0
2019-01-26,90.669,91.1888,89.1194,89.9727,4168627.0
2019-01-27,90.669,91.1888,89.1194,89.9727,4168627.0
2019-01-28,87.7268,88.9037,86.9422,88.7271,4339507.0
2019-01-29,88.1583,88.1583,85.1474,85.5594,3961361.0
2019-01-30,85.932,87.5502,85.1769,87.511,3797870.0
2019-01-31,88.2466,91.0122,87.8248,90.463,4148221.0
2019-02-01,90.4238,91.0122,89.0802,89.4627,2890254.0
2019-02-02,90.4238,91.0122,89.0802,89.4627,2890254.0
2019-02-03,90.4238,91.0122,89.0802,89.4627,2890254.0
2019-02-04,89.3058,89.3156,86.491,86.7264,5982459.0
2019-02-05,87.3443,91.0613,87.1776,90.7376,11931365.0
2019-02-06,77.6154,80.0182,76.4974,78.6648,30198566.0
2019-02-07,78.3608,83.9411,78.3608,82.4798,11391297.0
2019-02-08,84.8385,95.7688,83.3625,95.7198,26898538.0
2019-02-09,84.8385,95.7688,83.3625,95.7198,26898538.0
2019-02-10,84.8385,95.7688,83.3625,95.7198,26898538.0
2019-02-11,100.1919,104.8896,94.8665,95.3667,38704497.0
2019-02-12,104.262,104.6445,97.1124,100.3586,31161274.0
2019-02-13,102.5457,103.2126,98.7404,100.2802,15890024.0
2019-02-14,99.4564,103.8304,99.0543,103.2224,10547006.0
2019-02-15,105.331,106.704,102.7124,104.7818,11254941.0
2019-02-16,105.331,106.704,102.7124,104.7818,11254941.0
2019-02-17,105.331,106.704,102.7124,104.7818,11254941.0
2019-02-18,105.331,106.704,102.7124,104.7818,11254941.0
2019-02-19,103.7128,103.7128,99.3387,100.9765,10882724.0
2019-02-20,100.4567,100.9275,95.6707,96.7299,10649055.0
2019-02-21,96.8672,97.083,94.1506,94.994,8104311.0
2019-02-22,95.1902,95.4354,91.0613,94.0721,11616973.0
2019-02-23,95.1902,95.4354,91.0613,94.0721,11616973.0
2019-02-24,95.1902,95.4354,91.0613,94.0721,11616973.0
2019-02-25,94.4644,94.7685,91.8361,94.0133,7046593.0
2019-02-26,93.8073,97.691,92.9933,96.6024,8701117.0
2019-02-27,96.9163,98.8679,95.5236,95.9551,5207571.0
2019-02-28,96.0728,96.7397,93.822,93.9348,5695040.0
2019-03-01,94.9646,96.0532,93.4739,95.5334,4443555.0
2019-03-02,94.9646,96.0532,93.4739,95.5334,4443555.0
2019-03-03,94.9646,96.0532,93.4739,95.5334,4443555.0
2019-03-04,96.4161,97.5145,93.7289,95.4157,7187191.0
2019-03-05,94.4056,95.1902,93.3149,93.876,6041906.0
2019-03-06,93.4837,94.5233,92.3166,92.9443,3987900.0
2019-03-07,93.1699,97.642,92.6501,97.4459,8866789.0
2019-03-08,96.0728,97.8283,95.5972,96.4651,7357914.0
2019-03-09,96.0728,97.8283,95.5972,96.4651,7357914.0
2019-03-10,96.0728,97.8283,95.5972,96.4651,7357914.0
2019-03-11,96.7005,98.0343,96.0532,97.132,4623846.0
2019-03-12,97.4851,97.5832,96.2592,96.6907,3737617.0
2019-03-13,96.7888,99.1327,95.8865,98.201,6979996.0
2019-03-14,98.2893,98.407,95.6609,96.9261,5908938.0
2019-03-15,97.7401,98.2157,96.3474,97.0732,5140900.0
2019-03-16,97.7401,98.2157,96.3474,97.0732,5140900.0
2019-03-17,97.7401,98.2157,96.3474,97.0732,5140900.0
2019-03-18,97.2497,97.9657,94.8665,97.7401,5112965.0
2019-03-19,98.3972,98.608,95.1313,95.6315,6156778.0
2019-03-20,95.5629,96.4945,94.4938,95.1607,4824238.0
2019-03-21,94.6312,102.9772,94.6312,102.8595,9533430.0
2019-03-22,102.4182,102.4672,99.2063,100.3685,7159188.0
2019-03-23,102.4182,102.4672,99.2063,100.3685,7159188.0
2019-03-24,102.4182,102.4672,99.2063,100.3685,7159188.0
2019-03-25,100.4273,101.5481,98.9268,99.7702,3812422.0
2019-03-26,100.6823,102.5359,99.5446,100.3488,4059325.0
2019-03-27,100.7215,100.8784,98.3481,98.7306,2900802.0
2019-03-28,98.7699,100.4959,98.3481,100.2312,2347131.0
2019-03-29,100.6725,100.9839,99.2896,99.6721,3180841.0
2019-03-30,100.6725,100.9839,99.2896,99.6721,3180841.0
2019-03-31,100.6725,100.9839,99.2896,99.6721,3180841.0
2019-04-01,101.0452,101.9474,99.6623,100.6921,2879586.0
2019-04-02,101.0255,101.1138,98.2305,98.8974,3157478.0
2019-04-03,98.966,100.1919,98.1422,98.2206,3522844.0
2019-04-04,98.0637,98.3678,95.71,96.0532,4308700.0
2019-04-05,96.6024,97.9607,96.0728,97.5145,3737973.0
2019-04-06,96.6024,97.9607,96.0728,97.5145,3737973.0
2019-04-07,96.6024,97.9607,96.0728,97.5145,3737973.0
2019-04-08,97.1026,97.5047,93.8171,96.063,3951412.0
2019-04-09,95.6609,97.2399,95.5212,96.3572,2543247.0
2019-04-10,96.6809,98.4168,96.4847,97.7107,2199499.0
2019-04-11,98.0735,99.4466,97.7107,98.6424,2530518.0
2019-04-12,99.1818,100.4175,98.3874,99.8683,2375867.0
2019-04-13,99.1818,100.4175,98.3874,99.8683,2375867.0
2019-04-14,99.1818,100.4175,98.3874,99.8683,2375867.0
2019-04-15,98.6129,99.0445,95.249,95.965,3965643.0
2019-04-16,95.5334,95.6217,91.0122,92.0224,7638941.0
2019-04-17,92.6403,92.6403,89.2469,90.1786,9779037.0
2019-04-18,90.2963,91.7772,89.345,91.3457,4262167.0
2019-04-19,90.2963,91.7772,89.345,91.3457,4262167.0
2019-04-20,90.2963,91.7772,89.345,91.3457,4262167.0
2019-04-21,90.2963,91.7772,89.345,91.3457,4262167.0
2019-04-22,90.9632,91.2476,90.11,90.7376,3011254.0
2019-04-23,91.3065,93.1306,91.0515,92.807,3850762.0
2019-04-24,93.0718,93.4445,92.0616,92.3362,3041453.0
2019-04-25,92.3362,92.3853,90.8896,91.1888,2993048.0
2019-04-26,91.6595,92.7579,91.0319,92.6501,3496275.0
2019-04-27,91.6595,92.7579,91.0319,92.6501,3496275.0
2019-04-28,91.6595,92.7579,91.0319,92.6501,3496275.0
2019-04-29,93.062,93.7485,92.3362,92.9051,3122574.0
