,ETN US Equity,ETN US Equity,ETN US Equity,ETN US Equity,ETN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,86.2102,86.674,85.8736,86.1556,1461939.0
2020-01-02,86.6286,87.2107,85.719,87.2016,2203938.0
2020-01-03,85.7099,86.6286,85.2369,86.5558,1557897.0
2020-01-04,85.7099,86.6286,85.2369,86.5558,1557897.0
2020-01-05,85.7099,86.6286,85.2369,86.5558,1557897.0
2020-01-06,85.9919,86.8014,85.7463,86.7195,3665159.0
2020-01-07,85.6462,86.4057,85.5098,86.2647,2632362.0
2020-01-08,86.2647,86.9196,86.0919,86.5285,2480492.0
2020-01-09,86.9651,86.9924,86.2465,86.5831,2736940.0
2020-01-10,86.8832,86.9651,86.1374,86.3921,2213033.0
2020-01-11,86.8832,86.9651,86.1374,86.3921,2213033.0
2020-01-12,86.8832,86.9651,86.1374,86.3921,2213033.0
2020-01-13,86.0737,86.4376,85.7281,86.2829,1638280.0
2020-01-14,86.4557,86.5831,85.4916,85.5916,2349912.0
2020-01-15,85.0914,85.7645,84.9004,85.4097,2653192.0
2020-01-16,86.1465,86.2647,85.4825,86.2465,1677013.0
2020-01-17,86.2193,87.2744,86.0646,87.0288,2978620.0
2020-01-18,86.2193,87.2744,86.0646,87.0288,2978620.0
2020-01-19,86.2193,87.2744,86.0646,87.0288,2978620.0
2020-01-20,86.2193,87.2744,86.0646,87.0288,2978620.0
2020-01-21,86.7286,86.856,85.7918,85.9737,3505271.0
2020-01-22,89.4301,90.7945,87.8565,88.375,5604149.0
2020-01-23,87.62,89.1117,86.7832,89.0481,3081270.0
2020-01-24,89.3755,89.421,87.711,88.0839,2626023.0
2020-01-25,89.3755,89.421,87.711,88.0839,2626023.0
2020-01-26,89.3755,89.421,87.711,88.0839,2626023.0
2020-01-27,86.2829,86.5467,85.4643,86.0828,2194436.0
2020-01-28,86.2647,88.2476,86.1192,87.5654,3394249.0
2020-01-29,88.1112,88.666,87.429,88.1112,2108130.0
2020-01-30,86.9742,88.6024,86.856,88.4386,2680516.0
2020-01-31,87.6655,88.1021,85.5234,85.9282,4701832.0
2020-02-01,87.6655,88.1021,85.5234,85.9282,4701832.0
2020-02-02,87.6655,88.1021,85.5234,85.9282,4701832.0
2020-02-03,86.4648,88.0566,86.3648,86.856,2745651.0
2020-02-04,89.1117,92.3589,89.0117,91.7859,4735385.0
2020-02-05,93.0684,93.8734,92.4817,93.0866,3339436.0
2020-02-06,94.1417,94.1417,92.65,93.2139,2507867.0
2020-02-07,92.6864,93.6323,91.986,92.741,3063989.0
2020-02-08,92.6864,93.6323,91.986,92.741,3063989.0
2020-02-09,92.6864,93.6323,91.986,92.741,3063989.0
2020-02-10,92.6318,93.6233,92.3225,93.6051,2039630.0
2020-02-11,94.0689,94.9512,93.696,94.169,2481266.0
2020-02-12,95.0513,95.4788,94.4146,94.6238,2006249.0
2020-02-13,94.0598,94.5783,93.5232,93.5869,2059513.0
2020-02-14,93.6505,94.2327,93.2412,94.1872,1991932.0
2020-02-15,93.6505,94.2327,93.2412,94.1872,1991932.0
2020-02-16,93.6505,94.2327,93.2412,94.1872,1991932.0
2020-02-17,93.6505,94.2327,93.2412,94.1872,1991932.0
2020-02-18,94.6238,95.1786,94.1599,95.024,2298410.0
2020-02-19,95.0513,95.4879,94.742,94.8785,1873054.0
2020-02-20,94.833,96.2156,94.6829,95.597,1755692.0
2020-02-21,94.8057,95.6334,94.4201,95.4424,2465728.0
2020-02-22,94.8057,95.6334,94.4201,95.4424,2465728.0
2020-02-23,94.8057,95.6334,94.4201,95.4424,2465728.0
2020-02-24,92.4772,93.3686,91.9769,92.459,4178141.0
2020-02-25,92.7319,93.1957,89.23,89.33,4140859.0
2020-02-26,89.9485,90.7223,87.8474,87.8474,4108627.0
2020-02-27,85.8099,87.8929,84.2546,84.8094,5546358.0
2020-02-28,82.6082,83.7725,81.0255,82.5173,6790079.0
2020-02-29,82.6082,83.7725,81.0255,82.5173,6790079.0
2020-03-01,82.6082,83.7725,81.0255,82.5173,6790079.0
2020-03-02,83.2267,87.0925,82.781,87.0288,5188931.0
2020-03-03,87.5654,90.2851,84.1272,84.4547,5114596.0
2020-03-04,86.1465,89.3209,85.8873,89.2482,4268982.0
2020-03-05,86.3375,87.6791,84.8822,85.1914,3980361.0
2020-03-06,82.1443,85.437,81.9351,84.3819,4760047.0
2020-03-07,82.1443,85.437,81.9351,84.3819,4760047.0
2020-03-08,82.1443,85.437,81.9351,84.3819,4760047.0
2020-03-09,77.3963,78.6515,70.9474,75.6135,5205877.0
2020-03-10,78.4332,81.4258,76.9779,81.0074,4973962.0
2020-03-11,78.597,79.5884,75.5953,76.7414,4422864.0
2020-03-12,71.796,73.8512,68.8232,69.6581,5814852.0
2020-03-13,74.154,79.861,71.7409,78.503,5712266.0
2020-03-14,74.154,79.861,71.7409,78.503,5712266.0
2020-03-15,74.154,79.861,71.7409,78.503,5712266.0
2020-03-16,69.5572,74.576,68.6947,69.1076,4825509.0
2020-03-17,70.5573,71.5482,64.4833,67.6579,5774007.0
2020-03-18,62.5106,63.7126,53.8768,63.1437,5784857.0
2020-03-19,61.951,66.6854,56.978,66.4743,4599012.0
2020-03-20,67.768,67.768,59.1571,59.5746,4540884.0
2020-03-21,67.768,67.768,59.1571,59.5746,4540884.0
2020-03-22,67.768,67.768,59.1571,59.5746,4540884.0
