,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,190.346,192.117,189.232,190.565,278554.0
2019-01-02,187.671,191.898,187.671,189.87,323466.0
2019-01-03,189.337,189.937,184.566,184.728,336776.0
2019-01-04,187.547,191.641,186.08,190.48,276667.0
2019-01-05,187.547,191.641,186.08,190.48,276667.0
2019-01-06,187.547,191.641,186.08,190.48,276667.0
2019-01-07,189.061,191.451,188.794,190.68,398366.0
2019-01-08,191.699,193.155,189.975,193.032,222283.0
2019-01-09,194.098,196.731,193.17,195.479,215342.0
2019-01-10,194.727,195.812,193.46,195.269,175360.0
2019-01-11,194.574,195.117,192.822,193.974,277172.0
2019-01-12,194.574,195.117,192.822,193.974,277172.0
2019-01-13,194.574,195.117,192.822,193.974,277172.0
2019-01-14,192.508,196.079,191.898,194.031,245585.0
2019-01-15,193.651,198.183,193.241,197.945,249544.0
2019-01-16,198.773,200.373,198.212,199.469,261393.0
2019-01-17,198.402,201.782,198.373,200.916,327297.0
2019-01-18,202.125,204.353,200.259,204.201,293647.0
2019-01-19,202.125,204.353,200.259,204.201,293647.0
2019-01-20,202.125,204.353,200.259,204.201,293647.0
2019-01-21,202.125,204.353,200.259,204.201,293647.0
2019-01-22,201.992,205.258,201.116,202.239,260411.0
2019-01-23,203.715,204.877,202.601,204.277,299140.0
2019-01-24,204.439,205.867,201.725,203.639,339946.0
2019-01-25,205.429,205.815,204.011,204.011,230186.0
2019-01-26,205.429,205.815,204.011,204.011,230186.0
2019-01-27,205.429,205.815,204.011,204.011,230186.0
2019-01-28,202.811,204.363,202.239,203.944,175812.0
2019-01-29,203.534,204.658,202.363,202.811,167254.0
2019-01-30,203.373,204.544,200.259,204.42,209694.0
2019-01-31,204.115,208.61,203.296,208.181,244929.0
2019-02-01,208.172,211.162,208.172,209.295,243423.0
2019-02-02,208.172,211.162,208.172,209.295,243423.0
2019-02-03,208.172,211.162,208.172,209.295,243423.0
2019-02-04,208.581,209.362,206.896,209.191,125909.0
2019-02-05,209.486,211.771,208.143,211.333,252986.0
2019-02-06,210.962,213.495,207.267,208.162,185384.0
2019-02-07,207.239,210.057,207.191,210.038,228946.0
2019-02-08,208.867,210.762,208.515,210.762,167176.0
2019-02-09,208.867,210.762,208.515,210.762,167176.0
2019-02-10,208.867,210.762,208.515,210.762,167176.0
2019-02-11,210.438,211.295,208.914,210.029,181384.0
2019-02-12,210.438,213.095,209.438,211.285,205424.0
2019-02-13,211.733,212.78,210.371,211.247,191512.0
2019-02-14,209.286,212.857,203.944,211.114,205729.0
2019-02-15,212.533,213.809,211.419,213.723,211805.0
2019-02-16,212.533,213.809,211.419,213.723,211805.0
2019-02-17,212.533,213.809,211.419,213.723,211805.0
2019-02-18,212.533,213.809,211.419,213.723,211805.0
2019-02-19,212.79,215.832,212.638,215.047,201951.0
