,FE US Equity,FE US Equity,FE US Equity,FE US Equity,FE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,40.5726,40.673,40.3132,40.6646,2929936.0
2020-01-02,40.6312,40.6312,39.489,39.7693,4568962.0
2020-01-03,39.6606,39.8781,39.5936,39.7108,2970941.0
2020-01-04,39.6606,39.8781,39.5936,39.7108,2970941.0
2020-01-05,39.6606,39.8781,39.5936,39.7108,2970941.0
2020-01-06,39.7442,39.9161,39.602,39.7861,2474912.0
2020-01-07,39.5936,39.899,39.5267,39.761,2187744.0
2020-01-08,39.8697,40.0455,39.7526,39.8446,2699979.0
2020-01-09,39.7944,40.1459,39.7693,40.0538,2249050.0
2020-01-10,40.1626,40.3969,39.8237,39.8614,4093187.0
2020-01-11,40.1626,40.3969,39.8237,39.8614,4093187.0
2020-01-12,40.1626,40.3969,39.8237,39.8614,4093187.0
2020-01-13,39.9116,40.2223,39.9116,39.9701,2537229.0
2020-01-14,39.9283,40.2086,39.7024,40.1961,3167842.0
2020-01-15,40.3048,40.7148,40.2881,40.5391,2789373.0
2020-01-16,40.2965,40.9742,40.2965,40.8152,3425701.0
2020-01-17,40.8905,41.1165,40.581,41.0495,3251179.0
2020-01-18,40.8905,41.1165,40.581,41.0495,3251179.0
2020-01-19,40.8905,41.1165,40.581,41.0495,3251179.0
2020-01-20,40.8905,41.1165,40.581,41.0495,3251179.0
2020-01-21,40.924,41.2671,40.8654,41.2503,2854072.0
2020-01-22,41.4428,41.7607,41.3633,41.744,3359120.0
2020-01-23,41.7022,42.1456,41.6352,42.1289,3138595.0
2020-01-24,42.1038,42.4636,41.903,42.2293,2428705.0
2020-01-25,42.1038,42.4636,41.903,42.2293,2428705.0
2020-01-26,42.1038,42.4636,41.903,42.2293,2428705.0
2020-01-27,42.1875,42.4803,41.8611,42.0536,2646999.0
2020-01-28,42.1038,42.5263,42.0619,42.4134,2614697.0
2020-01-29,42.4385,42.7313,42.3046,42.6477,2948382.0
2020-01-30,42.5807,42.7062,42.2628,42.656,4560602.0
2020-01-31,42.6393,42.7146,42.154,42.497,5893276.0
2020-02-01,42.6393,42.7146,42.154,42.497,5893276.0
2020-02-02,42.6393,42.7146,42.154,42.497,5893276.0
2020-02-03,42.6393,43.1162,42.5389,43.0911,3455995.0
2020-02-04,43.0995,43.727,42.9656,43.0827,4569146.0
2020-02-05,43.0325,43.5555,43.0074,43.4342,3103421.0
2020-02-06,43.4426,43.5353,43.1897,43.2065,3346489.0
2020-02-07,43.0211,43.4342,42.8187,43.1897,2784843.0
2020-02-08,43.0211,43.4342,42.8187,43.1897,2784843.0
2020-02-09,43.0211,43.4342,42.8187,43.1897,2784843.0
2020-02-10,43.2065,43.3499,42.8904,43.2993,4385401.0
2020-02-11,43.4426,43.5775,43.2951,43.451,2588714.0
2020-02-12,43.4426,43.6281,43.2487,43.4004,2566092.0
2020-02-13,43.4848,43.8726,43.3246,43.822,2374389.0
2020-02-14,43.8557,44.0412,43.7208,44.0327,2453937.0
2020-02-15,43.8557,44.0412,43.7208,44.0327,2453937.0
2020-02-16,43.8557,44.0412,43.7208,44.0327,2453937.0
2020-02-17,43.8557,44.0412,43.7208,44.0327,2453937.0
2020-02-18,44.1676,44.273,43.9484,44.0665,2501924.0
2020-02-19,44.058,44.0833,43.8262,43.9653,2511889.0
2020-02-20,43.9484,44.0032,43.5901,43.6618,2594486.0
2020-02-21,43.5859,43.7377,43.3246,43.4763,5933281.0
2020-02-22,43.5859,43.7377,43.3246,43.4763,5933281.0
2020-02-23,43.5859,43.7377,43.3246,43.4763,5933281.0
2020-02-24,43.1813,43.3962,42.6754,42.6839,4427591.0
2020-02-25,42.7513,42.8862,41.1664,41.2169,4461062.0
2020-02-26,41.2422,41.63,40.7111,40.7195,4162553.0
2020-02-27,40.5172,40.7659,38.9744,38.9744,5322770.0
2020-02-28,38.1314,38.1314,36.7319,37.5412,9412792.0
2020-02-29,38.1314,38.1314,36.7319,37.5412,9412792.0
2020-03-01,38.1314,38.1314,36.7319,37.5412,9412792.0
2020-03-02,37.7604,39.9776,37.6592,39.8933,5894514.0
2020-03-03,39.7922,40.6099,38.6288,38.7131,7906685.0
2020-03-04,39.3369,40.8966,39.0081,40.8881,5367342.0
2020-03-05,40.062,40.6942,39.2526,39.7332,6141779.0
2020-03-06,38.5529,39.3622,37.7098,39.1852,5994924.0
2020-03-07,38.5529,39.3622,37.7098,39.1852,5994924.0
2020-03-08,38.5529,39.3622,37.7098,39.1852,5994924.0
2020-03-09,36.6897,37.3052,33.0899,36.1923,10151907.0
2020-03-10,37.0438,38.0808,36.1839,37.8953,7231891.0
2020-03-11,36.8331,37.3895,35.813,36.3609,8592221.0
2020-03-12,33.8486,35.0795,31.9939,32.4745,7357014.0
2020-03-13,34.3039,34.776,32.6431,34.7676,6070126.0
2020-03-14,34.3039,34.776,32.6431,34.7676,6070126.0
2020-03-15,34.3039,34.776,32.6431,34.7676,6070126.0
2020-03-16,31.7832,33.5198,28.55,28.9168,6701874.0
2020-03-17,29.7261,34.1353,27.7449,33.8149,9171895.0
2020-03-18,31.6061,32.6178,28.2887,31.3616,7253257.0
2020-03-19,31.4628,31.4965,28.2423,30.3415,5291344.0
2020-03-20,30.3247,30.9359,28.647,28.8999,5393464.0
2020-03-21,30.3247,30.9359,28.647,28.8999,5393464.0
2020-03-22,30.3247,30.9359,28.647,28.8999,5393464.0
2020-03-23,28.6807,30.1392,26.9777,27.981,6180733.0
2020-03-24,28.8409,30.3668,28.588,29.9116,5400329.0
2020-03-25,29.7851,31.4375,28.3056,29.9284,5194414.0
2020-03-26,29.9031,33.1068,29.861,32.6009,4915505.0
2020-03-27,31.4965,33.9962,31.2858,32.5419,5802985.0
2020-03-28,31.4965,33.9962,31.2858,32.5419,5802985.0
2020-03-29,31.4965,33.9962,31.2858,32.5419,5802985.0
2020-03-30,33.0393,34.4894,32.2974,34.1353,6295925.0
2020-03-31,33.7475,34.4219,32.9719,33.7812,7706748.0
2020-04-01,32.3143,33.1489,32.1541,32.7611,6979869.0
2020-04-02,32.23,34.1606,32.23,33.7222,4823647.0
2020-04-03,33.3681,33.9498,31.6651,31.9939,3445045.0
2020-04-04,33.3681,33.9498,31.6651,31.9939,3445045.0
2020-04-05,33.3681,33.9498,31.6651,31.9939,3445045.0
2020-04-06,33.1911,35.324,33.1911,34.8687,5157876.0
2020-04-07,35.7708,36.049,34.051,34.1184,6177622.0
2020-04-08,34.3292,36.7487,34.0594,36.4452,3674729.0
2020-04-09,36.9005,38.203,36.9005,37.7267,5735721.0
2020-04-10,36.9005,38.203,36.9005,37.7267,5735721.0
2020-04-11,36.9005,38.203,36.9005,37.7267,5735721.0
2020-04-12,36.9005,38.203,36.9005,37.7267,5735721.0
2020-04-13,37.1871,37.5159,36.3019,37.0354,3006153.0
2020-04-14,37.8194,38.5896,37.6002,38.3337,3512079.0
2020-04-15,37.3642,37.6424,36.7825,37.0522,2454160.0
2020-04-16,37.086,37.8995,36.5717,37.8194,2752881.0
2020-04-17,38.5529,39.0843,37.7688,38.9576,2451789.0
2020-04-18,38.5529,39.0843,37.7688,38.9576,2451789.0
2020-04-19,38.5529,39.0843,37.7688,38.9576,2451789.0
