,GABC US Equity,GABC US Equity,GABC US Equity,GABC US Equity,GABC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,31.8067,31.9588,31.6368,31.8514,55910.0
2020-01-02,31.8962,31.9453,31.3686,31.7441,48218.0
2020-01-03,31.3865,31.6592,31.2613,31.61,51871.0
2020-01-04,31.3865,31.6592,31.2613,31.61,51871.0
2020-01-05,31.3865,31.6592,31.2613,31.61,51871.0
2020-01-06,31.4222,31.5872,31.1003,31.4669,35359.0
2020-01-07,31.297,31.4491,31.0198,31.3328,65315.0
2020-01-08,31.3239,31.7889,31.3149,31.6905,47535.0
2020-01-09,31.7978,31.9051,31.4848,31.6994,62752.0
2020-01-10,31.6011,31.6771,31.3605,31.5385,53433.0
2020-01-11,31.6011,31.6771,31.3605,31.5385,53433.0
2020-01-12,31.6011,31.6771,31.3605,31.5385,53433.0
2020-01-13,31.5206,31.7531,31.3328,31.7084,50147.0
2020-01-14,31.6637,31.6994,31.4312,31.4848,39561.0
2020-01-15,31.3239,31.5564,31.2881,31.5385,69652.0
2020-01-16,31.6994,32.0303,31.5474,31.914,42625.0
2020-01-17,32.1018,32.1644,31.6055,31.7531,58024.0
2020-01-18,32.1018,32.1644,31.6055,31.7531,58024.0
2020-01-19,32.1018,32.1644,31.6055,31.7531,58024.0
2020-01-20,32.1018,32.1644,31.6055,31.7531,58024.0
2020-01-21,31.5027,31.6458,31.3686,31.4312,43158.0
2020-01-22,31.4133,31.6816,31.297,31.4133,35800.0
2020-01-23,31.2076,31.6458,31.0735,31.4714,66508.0
2020-01-24,31.4938,31.4938,31.0914,31.3507,30916.0
2020-01-25,31.4938,31.4938,31.0914,31.3507,30916.0
2020-01-26,31.4938,31.4938,31.0914,31.3507,30916.0
2020-01-27,30.9662,31.4312,29.1778,31.2613,34913.0
2020-01-28,32.0929,32.3433,31.3954,31.5921,78097.0
2020-01-29,31.7441,31.8738,31.1897,31.1897,66487.0
2020-01-30,30.8857,31.5385,30.8499,31.5385,42937.0
2020-01-31,31.306,31.458,30.4744,30.5727,59485.0
2020-02-01,31.306,31.458,30.4744,30.5727,59485.0
2020-02-02,31.306,31.458,30.4744,30.5727,59485.0
2020-02-03,30.689,30.9394,30.6353,30.841,41642.0
2020-02-04,31.0824,31.297,30.9125,31.0646,38528.0
2020-02-05,31.3507,31.7889,31.3507,31.6368,35869.0
2020-02-06,31.8336,31.8783,31.2434,31.2434,57191.0
2020-02-07,31.0366,31.1715,30.8838,30.9737,21153.0
2020-02-08,31.0366,31.1715,30.8838,30.9737,21153.0
2020-02-09,31.0366,31.1715,30.8838,30.9737,21153.0
2020-02-10,30.8118,31.0231,30.7399,30.9737,27872.0
2020-02-11,31.0186,31.3063,31.0096,31.0096,28790.0
2020-02-12,31.1085,31.1085,30.9107,31.0456,33322.0
2020-02-13,31.0006,31.2389,30.9647,31.1895,20294.0
2020-02-14,31.0096,31.2254,30.7669,30.8208,18022.0
2020-02-15,31.0096,31.2254,30.7669,30.8208,18022.0
2020-02-16,31.0096,31.2254,30.7669,30.8208,18022.0
2020-02-17,31.0096,31.2254,30.7669,30.8208,18022.0
2020-02-18,30.605,31.0816,30.605,30.695,29273.0
2020-02-19,30.7039,30.8298,30.5061,30.5511,25378.0
2020-02-20,30.3803,30.9827,30.2544,30.8118,45508.0
2020-02-21,30.8388,30.9377,30.4702,30.8028,39796.0
2020-02-22,30.8388,30.9377,30.4702,30.8028,39796.0
2020-02-23,30.8388,30.9377,30.4702,30.8028,39796.0
2020-02-24,30.2634,30.344,29.7644,29.9577,32067.0
2020-02-25,29.8408,30.0386,29.0451,29.3014,53573.0
2020-02-26,29.2744,29.7869,29.0137,29.1215,34532.0
2020-02-27,28.7709,29.2564,27.8448,27.8628,58153.0
2020-02-28,27.1975,27.5212,26.0736,26.8379,86706.0
2020-02-29,27.1975,27.5212,26.0736,26.8379,86706.0
2020-03-01,27.1975,27.5212,26.0736,26.8379,86706.0
2020-03-02,26.8468,27.9977,26.7659,27.9437,51251.0
2020-03-03,27.9797,28.1343,26.7929,27.0986,48623.0
2020-03-04,27.3054,27.4762,26.4243,27.3773,37728.0
2020-03-05,27.0177,27.0806,25.8133,26.2984,63464.0
2020-03-06,25.3633,26.527,25.3633,26.1905,75518.0
2020-03-07,25.3633,26.527,25.3633,26.1905,75518.0
2020-03-08,25.3633,26.527,25.3633,26.1905,75518.0
2020-03-09,24.9498,26.0735,23.6011,23.9248,138218.0
2020-03-10,24.3833,25.0577,23.4932,24.8688,77784.0
2020-03-11,24.3024,24.4643,23.4663,23.6731,58726.0
2020-03-12,22.4773,22.7919,21.4613,21.785,139220.0
2020-03-13,22.5312,24.0417,22.2165,23.9787,116967.0
2020-03-14,22.5312,24.0417,22.2165,23.9787,116967.0
2020-03-15,22.5312,24.0417,22.2165,23.9787,116967.0
2020-03-16,23.736,23.736,21.8119,22.4053,133243.0
2020-03-17,22.747,26.1276,22.0637,26.0197,217837.0
2020-03-18,24.6621,24.9677,23.5921,23.9877,149009.0
2020-03-19,23.8259,25.8399,23.8259,25.1386,176414.0
2020-03-20,24.9138,25.4982,22.4863,22.693,195438.0
2020-03-21,24.9138,25.4982,22.4863,22.693,195438.0
2020-03-22,24.9138,25.4982,22.4863,22.693,195438.0
2020-03-23,23.0527,23.2415,21.1646,21.9648,126758.0
2020-03-24,22.8189,23.1786,22.0412,23.1246,124420.0
2020-03-25,23.2685,23.718,22.4053,22.729,98092.0
2020-03-26,22.765,24.5002,22.6751,24.4643,114440.0
2020-03-27,23.8978,24.6351,23.4842,23.691,107528.0
2020-03-28,23.8978,24.6351,23.4842,23.691,107528.0
2020-03-29,23.8978,24.6351,23.4842,23.691,107528.0
2020-03-30,23.8619,24.689,23.4214,24.689,73441.0
2020-03-31,24.4643,24.7385,24.0237,24.68,105761.0
2020-04-01,23.754,24.2754,23.3044,23.7809,103749.0
2020-04-02,23.5022,24.5721,23.3853,24.2754,77099.0
2020-04-03,24.1046,24.4463,22.8369,23.1246,86095.0
2020-04-04,24.1046,24.4463,22.8369,23.1246,86095.0
2020-04-05,24.1046,24.4463,22.8369,23.1246,86095.0
2020-04-06,23.9787,24.68,23.772,24.3833,112640.0
2020-04-07,25.2465,25.3544,23.7899,23.9428,175393.0
2020-04-08,24.1496,24.7789,23.8888,24.6081,69588.0
2020-04-09,25.0127,26.4063,24.8509,26.2894,92745.0
2020-04-10,25.0127,26.4063,24.8509,26.2894,92745.0
2020-04-11,25.0127,26.4063,24.8509,26.2894,92745.0
2020-04-12,25.0127,26.4063,24.8509,26.2894,92745.0
2020-04-13,26.1186,26.1186,24.5227,25.1296,55440.0
2020-04-14,25.9118,25.9118,24.3564,24.6081,43102.0
2020-04-15,23.4213,23.7899,23.2325,23.4213,78285.0
2020-04-16,23.4663,23.6461,22.5492,23.1336,105862.0
2020-04-17,23.9158,24.9588,23.9158,24.8239,74048.0
2020-04-18,23.9158,24.9588,23.9158,24.8239,74048.0
2020-04-19,23.9158,24.9588,23.9158,24.8239,74048.0
2020-04-20,24.0866,25.2105,23.5682,24.8059,53620.0
2020-04-21,23.9158,24.8149,23.8888,24.5991,50272.0
2020-04-22,25.1206,25.1386,24.3294,24.4553,33523.0
