,HSY US Equity,HSY US Equity,HSY US Equity,HSY US Equity,HSY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,134.5951,134.8152,133.5129,134.7968,594814.0
2020-01-02,135.0261,135.558,131.646,132.0272,780033.0
2020-01-03,132.0363,133.7972,131.8483,133.2194,770922.0
2020-01-04,132.0363,133.7972,131.8483,133.2194,770922.0
2020-01-05,132.0363,133.7972,131.8483,133.2194,770922.0
2020-01-06,133.2286,133.2377,131.7429,132.5866,1032942.0
2020-01-07,132.2473,133.4579,132.0455,132.8434,859924.0
2020-01-08,133.4212,134.751,132.8526,133.9348,865210.0
2020-01-09,133.9531,134.9986,133.1277,134.4208,919092.0
2020-01-10,134.6593,136.1083,133.9898,135.8515,724091.0
2020-01-11,134.6593,136.1083,133.9898,135.8515,724091.0
2020-01-12,134.6593,136.1083,133.9898,135.8515,724091.0
2020-01-13,136.0441,137.5803,135.9157,137.2822,734891.0
2020-01-14,137.4198,137.8875,135.8148,136.4935,734678.0
2020-01-15,136.4476,137.539,136.0441,136.2,852769.0
2020-01-16,136.0533,137.0896,134.9711,136.6219,1016529.0
2020-01-17,136.9245,138.6946,136.9245,138.3461,879443.0
2020-01-18,136.9245,138.6946,136.9245,138.3461,879443.0
2020-01-19,136.9245,138.6946,136.9245,138.3461,879443.0
2020-01-20,136.9245,138.6946,136.9245,138.3461,879443.0
2020-01-21,138.5662,140.217,138.2727,140.1619,869839.0
2020-01-22,140.5013,140.8731,139.5383,139.8043,486601.0
2020-01-23,139.6759,141.6201,139.4374,141.079,603337.0
2020-01-24,141.29,141.9961,140.4462,141.8586,592626.0
2020-01-25,141.29,141.9961,140.4462,141.8586,592626.0
2020-01-26,141.29,141.9961,140.4462,141.8586,592626.0
2020-01-27,141.345,142.3538,140.0794,140.1803,1130586.0
2020-01-28,139.8043,140.5013,138.7954,139.575,821674.0
2020-01-29,139.6575,140.0244,138.4378,138.6212,795779.0
2020-01-30,138.8413,145.0776,138.6304,145.0318,1386389.0
2020-01-31,144.4448,146.5817,142.2896,142.308,1341567.0
2020-02-01,144.4448,146.5817,142.2896,142.308,1341567.0
2020-02-02,144.4448,146.5817,142.2896,142.308,1341567.0
2020-02-03,142.8582,143.5644,141.3725,141.8311,812952.0
2020-02-04,141.9044,142.4914,139.5108,139.8043,842753.0
2020-02-05,139.5658,140.8681,139.12,140.2078,802200.0
2020-02-06,139.7034,141.9778,139.5108,141.5468,676841.0
2020-02-07,141.9136,143.2892,141.5101,143.115,717298.0
2020-02-08,141.9136,143.2892,141.5101,143.115,717298.0
2020-02-09,141.9136,143.2892,141.5101,143.115,717298.0
2020-02-10,143.4452,145.1556,143.4452,143.9771,733646.0
2020-02-11,143.8579,145.1235,143.6142,144.5824,680625.0
2020-02-12,144.3348,145.2244,143.6653,144.775,673024.0
2020-02-13,144.5916,146.2607,144.3256,146.1231,774114.0
2020-02-14,145.8205,147.2787,145.6554,147.0494,687439.0
2020-02-15,145.8205,147.2787,145.6554,147.0494,687439.0
2020-02-16,145.8205,147.2787,145.6554,147.0494,687439.0
2020-02-17,145.8205,147.2787,145.6554,147.0494,687439.0
2020-02-18,146.6642,147.5813,146.3295,146.7926,1061579.0
2020-02-19,146.9302,148.4159,146.5634,147.187,806799.0
