,HUM US Equity,HUM US Equity,HUM US Equity,HUM US Equity,HUM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,356.894,358.204,352.255,355.652,557310.0
2020-01-02,356.273,356.991,349.839,352.469,637003.0
2020-01-03,355.923,360.969,353.575,354.041,891418.0
2020-01-04,355.923,360.969,353.575,354.041,891418.0
2020-01-05,355.923,360.969,353.575,354.041,891418.0
2020-01-06,353.449,359.65,352.721,359.562,956765.0
2020-01-07,358.058,358.058,352.323,355.991,669436.0
2020-01-08,357.262,365.234,356.496,363.88,1201693.0
2020-01-09,361.94,362.677,352.43,353.701,1760901.0
2020-01-10,355.225,358.136,351.877,353.323,1035828.0
2020-01-11,355.225,358.136,351.877,353.323,1035828.0
2020-01-12,355.225,358.136,351.877,353.323,1035828.0
2020-01-13,352.44,353.934,344.25,346.298,1732243.0
2020-01-14,345.696,350.713,344.668,346.657,1377131.0
2020-01-15,347.52,358.291,345.337,353.274,1126834.0
2020-01-16,355.254,356.923,352.974,356.244,529683.0
2020-01-17,353.692,357.151,351.266,355.681,882832.0
2020-01-18,353.692,357.151,351.266,355.681,882832.0
2020-01-19,353.692,357.151,351.266,355.681,882832.0
2020-01-20,353.692,357.151,351.266,355.681,882832.0
2020-01-21,352.488,358.961,351.208,354.051,849392.0
2020-01-22,356.215,357.185,350.223,354.875,560981.0
2020-01-23,354.798,356.775,351.091,352.799,709023.0
2020-01-24,353.643,353.643,343.687,346.317,973928.0
2020-01-25,353.643,353.643,343.687,346.317,973928.0
2020-01-26,353.643,353.643,343.687,346.317,973928.0
2020-01-27,341.97,342.397,333.921,336.623,1294997.0
2020-01-28,337.778,346.608,335.75,342.387,999587.0
2020-01-29,341.64,344.58,337.982,341.145,1581279.0
2020-01-30,338.02,340.116,329.937,333.062,1225098.0
2020-01-31,330.355,331.403,323.038,326.27,1519567.0
2020-02-01,330.355,331.403,323.038,326.27,1519567.0
2020-02-02,330.355,331.403,323.038,326.27,1519567.0
2020-02-03,329.093,331.16,322.408,323.213,1354734.0
2020-02-04,327.123,335.91,325.775,332.587,1410142.0
2020-02-05,339.068,357.02,339.068,353.983,1572921.0
2020-02-06,355.875,355.875,337.006,348.5,1193808.0
2020-02-07,348.5,350.47,342.144,342.785,938597.0
2020-02-08,348.5,350.47,342.144,342.785,938597.0
2020-02-09,348.5,350.47,342.144,342.785,938597.0
2020-02-10,341.232,345.628,340.679,342.533,748299.0
2020-02-11,343.387,346.909,341.368,346.579,648372.0
2020-02-12,350.771,364.065,350.771,362.774,1581145.0
2020-02-13,359.116,369.741,359.116,368.926,1344332.0
2020-02-14,368.421,368.732,359.805,364.705,837733.0
2020-02-15,368.421,368.732,359.805,364.705,837733.0
2020-02-16,368.421,368.732,359.805,364.705,837733.0
2020-02-17,368.421,368.732,359.805,364.705,837733.0
2020-02-18,365.782,373.579,359.029,361.086,1029785.0
2020-02-19,361.454,367.975,360.009,367.296,539264.0
2020-02-20,362.89,363.9,355.458,359.989,822264.0
2020-02-21,357.515,360.44,352.547,358.708,526270.0
2020-02-22,357.515,360.44,352.547,358.708,526270.0
2020-02-23,357.515,360.44,352.547,358.708,526270.0
2020-02-24,342.533,345.385,335.386,335.895,1213101.0
2020-02-25,339.272,339.272,319.914,322.175,1253618.0
2020-02-26,323.213,326.221,314.024,318.924,1250510.0
2020-02-27,312.704,316.314,303.185,305.009,1484780.0
2020-02-28,297.751,310.298,295.121,310.201,2130317.0
2020-02-29,297.751,310.298,295.121,310.201,2130317.0
2020-03-01,297.751,310.298,295.121,310.201,2130317.0
2020-03-02,311.967,336.681,304.359,335.119,1856195.0
2020-03-03,334.585,343.163,313.044,315.722,1914925.0
2020-03-04,347.976,363.579,346.909,361.299,3319399.0
2020-03-05,353.692,368.121,351.12,359.611,2270016.0
2020-03-06,347.87,357.36,340.995,356.127,2131886.0
2020-03-07,347.87,357.36,340.995,356.127,2131886.0
2020-03-08,347.87,357.36,340.995,356.127,2131886.0
2020-03-09,326.706,338.467,313.713,327.201,2166043.0
2020-03-10,336.06,346.715,331.986,338.942,1816892.0
2020-03-11,331.898,340.165,316.062,318.487,2243700.0
2020-03-12,296.47,307.678,282.594,284.36,1726079.0
2020-03-13,297.897,305.262,271.755,304.602,2184610.0
2020-03-14,297.897,305.262,271.755,304.602,2184610.0
2020-03-15,297.897,305.262,271.755,304.602,2184610.0
2020-03-16,253.309,283.633,243.683,262.198,2795303.0
2020-03-17,267.826,269.611,254.27,264.497,2568232.0
2020-03-18,250.165,251.621,223.18,239.268,3177922.0
2020-03-19,239.268,253.581,228.051,248.593,1912319.0
2020-03-20,253.27,265.691,223.452,223.772,3308915.0
2020-03-21,253.27,265.691,223.452,223.772,3308915.0
2020-03-22,253.27,265.691,223.452,223.772,3308915.0
2020-03-23,224.005,232.67,202.075,208.072,3564773.0
2020-03-24,220.803,236.692,211.633,227.119,3403243.0
2020-03-25,222.384,272.939,218.939,261.033,3035419.0
2020-03-26,264.264,297.858,262.033,295.451,2204292.0
2020-03-27,281.537,294.986,280.43,288.261,1918723.0
2020-03-28,281.537,294.986,280.43,288.261,1918723.0
2020-03-29,281.537,294.986,280.43,288.261,1918723.0
2020-03-30,291.057,310.164,289.841,302.638,1635968.0
2020-03-31,303.445,309.075,290.337,305.351,2504438.0
2020-04-01,291.718,294.12,280.059,290.502,1607667.0
2020-04-02,284.911,298.468,279.952,291.825,1068727.0
2020-04-03,285.572,290.746,277.609,283.579,1198739.0
2020-04-04,285.572,290.746,277.609,283.579,1198739.0
2020-04-05,285.572,290.746,277.609,283.579,1198739.0
2020-04-06,296.794,321.707,292.972,318.43,1559211.0
2020-04-07,330.701,335.476,309.279,311.214,1747286.0
2020-04-08,315.853,336.448,310.514,327.949,1619793.0
2020-04-09,327.463,335.709,323.301,332.461,2190138.0
2020-04-10,327.463,335.709,323.301,332.461,2190138.0
2020-04-11,327.463,335.709,323.301,332.461,2190138.0
2020-04-12,327.463,335.709,323.301,332.461,2190138.0
2020-04-13,334.202,339.394,328.222,338.646,1380324.0
2020-04-14,346.435,353.985,341.592,342.487,1497349.0
2020-04-15,339.365,349.41,335.427,343.78,1431441.0
2020-04-16,346.172,369.85,343.527,366.894,1451545.0
2020-04-17,371.085,373.078,355.575,363.276,1441292.0
2020-04-18,371.085,373.078,355.575,363.276,1441292.0
2020-04-19,371.085,373.078,355.575,363.276,1441292.0
2020-04-20,356.975,367.156,355.896,357.189,1172356.0
2020-04-21,350.548,353.202,346.182,348.953,980262.0
2020-04-22,355.099,365.834,354.233,357.034,1073053.0
2020-04-23,360.495,365.435,353.125,355.964,1233406.0
2020-04-24,359.61,359.61,353.295,358.901,941274.0
2020-04-25,359.61,359.61,353.295,358.901,941274.0
2020-04-26,359.61,359.61,353.295,358.901,941274.0
2020-04-27,362.119,364.531,356.654,363.208,704683.0
2020-04-28,368.372,368.659,349.536,352.852,1302432.0
2020-04-29,369.509,376.078,354.924,366.962,1760615.0
2020-04-30,363.977,381.737,362.591,371.279,1693818.0
2020-05-01,363.237,370.643,355.157,361.964,1089460.0
2020-05-02,363.237,370.643,355.157,361.964,1089460.0
2020-05-03,363.237,370.643,355.157,361.964,1089460.0
2020-05-04,362.061,367.74,354.7,367.409,778347.0
2020-05-05,368.197,377.998,365.163,373.457,876080.0
2020-05-06,376.015,377.882,363.374,364.638,735273.0
2020-05-07,369.509,372.407,359.999,361.166,645743.0
2020-05-08,366.68,369.383,363.918,367.078,926631.0
2020-05-09,366.68,369.383,363.918,367.078,926631.0
2020-05-10,366.68,369.383,363.918,367.078,926631.0
2020-05-11,365.873,372.106,365.203,369.548,736547.0
2020-05-12,372.427,381.307,372.427,373.117,1148512.0
2020-05-13,375.869,382.783,361.934,367.001,982950.0
2020-05-14,362.771,377.165,362.712,375.159,754104.0
2020-05-15,374.585,387.81,374.585,387.226,963717.0
2020-05-16,374.585,387.81,374.585,387.226,963717.0
2020-05-17,374.585,387.81,374.585,387.226,963717.0
2020-05-18,396.727,401.307,380.206,381.538,1063813.0
