,INDB US Equity,INDB US Equity,INDB US Equity,INDB US Equity,INDB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,73.4237,73.744,73.0376,73.0552,156706.0
2020-01-02,73.5378,73.6256,72.4529,73.2131,167529.0
2020-01-03,72.4497,73.1341,71.6511,72.9323,169190.0
2020-01-04,72.4497,73.1341,71.6511,72.9323,169190.0
2020-01-05,72.4497,73.1341,71.6511,72.9323,169190.0
2020-01-06,72.2742,72.7085,71.6511,72.2917,96812.0
2020-01-07,71.8793,71.8793,70.9491,71.265,77709.0
2020-01-08,71.2474,72.3619,71.2474,72.0723,195935.0
2020-01-09,72.6339,72.6339,71.4493,71.5282,165013.0
2020-01-10,71.695,71.8617,70.4225,71.2562,177505.0
2020-01-11,71.695,71.8617,70.4225,71.2562,177505.0
2020-01-12,71.695,71.8617,70.4225,71.2562,177505.0
2020-01-13,71.2123,71.7213,70.9361,71.4844,112389.0
2020-01-14,71.2562,71.8617,70.8613,71.4229,163361.0
2020-01-15,71.107,71.3374,70.0803,70.4313,139661.0
2020-01-16,70.6156,71.6327,70.2909,71.4931,128323.0
2020-01-17,72.1776,72.1776,68.6153,70.247,334190.0
2020-01-18,72.1776,72.1776,68.6153,70.247,334190.0
2020-01-19,72.1776,72.1776,68.6153,70.247,334190.0
2020-01-20,72.1776,72.1776,68.6153,70.247,334190.0
2020-01-21,69.9136,70.2032,68.8869,69.1764,180980.0
2020-01-22,69.1326,69.2993,67.7153,67.9567,104999.0
2020-01-23,67.6758,68.3516,67.1844,68.1146,133567.0
2020-01-24,68.0356,68.0356,66.1226,66.6755,108000.0
2020-01-25,68.0356,68.0356,66.1226,66.6755,108000.0
2020-01-26,68.0356,68.0356,66.1226,66.6755,108000.0
2020-01-27,65.3767,65.9295,65.1398,65.3679,107394.0
2020-01-28,66.4999,66.4999,64.8765,65.0345,123084.0
2020-01-29,65.0345,65.0608,63.4768,63.6304,158767.0
2020-01-30,63.1828,64.4816,62.4369,64.3939,109569.0
2020-01-31,63.9639,64.0384,63.1302,63.3584,139795.0
2020-02-01,63.9639,64.0384,63.1302,63.3584,139795.0
2020-02-02,63.9639,64.0384,63.1302,63.3584,139795.0
2020-02-03,63.4461,64.4202,63.4461,64.1394,175620.0
2020-02-04,65.2889,66.0173,64.894,65.482,102525.0
2020-02-05,66.3683,67.2546,66.2323,67.0967,120648.0
2020-02-06,67.2897,67.5091,65.482,65.6049,103005.0
2020-02-07,65.0959,66.2016,64.7098,65.3591,103487.0
2020-02-08,65.0959,66.2016,64.7098,65.3591,103487.0
2020-02-09,65.0959,66.2016,64.7098,65.3591,103487.0
2020-02-10,65.0169,65.9734,64.973,65.9734,159785.0
2020-02-11,66.3332,66.9914,66.2104,66.421,152664.0
2020-02-12,67.0177,67.0177,66.1884,66.7895,101087.0
2020-02-13,66.342,67.8865,66.1928,67.8075,97283.0
2020-02-14,67.5881,67.9654,67.0879,67.4477,104069.0
2020-02-15,67.5881,67.9654,67.0879,67.4477,104069.0
2020-02-16,67.5881,67.9654,67.0879,67.4477,104069.0
2020-02-17,67.5881,67.9654,67.0879,67.4477,104069.0
2020-02-18,67.1493,67.6144,66.2893,66.772,120143.0
2020-02-19,66.8422,67.7899,66.7544,67.395,145257.0
2020-02-20,67.1405,68.2638,67.1405,68.0181,105278.0
2020-02-21,67.8338,67.8338,66.6053,66.8948,110989.0
2020-02-22,67.8338,67.8338,66.6053,66.8948,110989.0
2020-02-23,67.8338,67.8338,66.6053,66.8948,110989.0
2020-02-24,64.6308,64.9994,63.5514,63.683,66833.0
2020-02-25,63.6479,63.9288,62.1298,62.5861,178180.0
2020-02-26,62.9986,63.5953,61.6121,61.77,119592.0
2020-02-27,60.3221,63.2267,60.0413,62.1561,267035.0
2020-02-28,59.7166,61.5506,58.2072,59.2602,226387.0
2020-02-29,59.7166,61.5506,58.2072,59.2602,226387.0
2020-03-01,59.7166,61.5506,58.2072,59.2602,226387.0
2020-03-02,59.2076,62.7353,58.8566,62.7353,203877.0
2020-03-03,62.4545,63.4373,60.6468,61.0504,164749.0
2020-03-04,60.1202,61.147,58.5802,60.9539,228365.0
2020-03-05,59.7604,60.5941,59.0014,59.4445,267047.0
