,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,27.2329,27.8078,27.1162,27.7718,93043.0
2019-01-02,27.2958,27.4305,26.4964,27.2688,213309.0
2019-01-03,27.0533,27.7539,26.3707,26.9365,139601.0
2019-01-04,26.9455,27.9425,26.7142,27.7988,117955.0
2019-01-05,26.9455,27.9425,26.7142,27.7988,117955.0
2019-01-06,26.9455,27.9425,26.7142,27.7988,117955.0
2019-01-07,27.7898,28.2119,27.709,28.1491,145521.0
2019-01-08,28.2299,29.0652,27.6191,29.0383,132859.0
2019-01-09,29.0383,29.2449,28.5398,28.9664,128277.0
2019-01-10,28.9664,29.1461,28.5982,29.0383,89365.0
2019-01-11,28.9574,29.4425,28.944,29.4065,85641.0
2019-01-12,28.9574,29.4425,28.944,29.4065,85641.0
2019-01-13,28.9574,29.4425,28.944,29.4065,85641.0
2019-01-14,29.2628,29.5633,28.7059,28.9125,110884.0
2019-01-15,28.9125,29.2617,28.661,29.1281,74593.0
2019-01-16,29.4245,29.4335,28.7958,28.9574,116441.0
2019-01-17,28.8497,29.6535,28.8497,29.4604,196274.0
2019-01-18,29.5053,29.7478,29.3616,29.4963,80541.0
2019-01-19,29.5053,29.7478,29.3616,29.4963,80541.0
2019-01-20,29.5053,29.7478,29.3616,29.4963,80541.0
2019-01-21,29.5053,29.7478,29.3616,29.4963,80541.0
2019-01-22,29.4963,29.5502,29.2628,29.4335,91654.0
2019-01-23,29.4335,29.5862,28.8047,29.1461,101308.0
2019-01-24,29.2089,29.4155,29.0742,29.2808,82483.0
2019-01-25,29.3886,29.8107,29.3257,29.4694,94101.0
2019-01-26,29.3886,29.8107,29.3257,29.4694,94101.0
2019-01-27,29.3886,29.8107,29.3257,29.4694,94101.0
2019-01-28,29.3975,29.3975,28.8227,29.0562,75237.0
2019-01-29,29.0562,29.2449,28.7149,28.9035,72234.0
2019-01-30,29.1371,29.2808,28.8946,29.173,120234.0
2019-01-31,29.182,29.5413,29.0181,29.4694,121270.0
2019-02-01,29.5143,29.685,29.4604,29.6131,176404.0
2019-02-02,29.5143,29.685,29.4604,29.6131,176404.0
2019-02-03,29.5143,29.685,29.4604,29.6131,176404.0
2019-02-04,29.6131,29.9724,29.5143,29.8377,156200.0
