,L US Equity,L US Equity,L US Equity,L US Equity,L US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,51.017,51.478,50.948,51.458,806138.0
2020-01-02,51.683,51.958,51.429,51.919,1081449.0
2020-01-03,51.419,51.772,51.252,51.723,829277.0
2020-01-04,51.419,51.772,51.252,51.723,829277.0
2020-01-05,51.419,51.772,51.252,51.723,829277.0
2020-01-06,51.35,51.507,50.992,51.056,786578.0
2020-01-07,50.948,51.272,50.791,50.821,766642.0
2020-01-08,51.027,51.546,50.781,50.831,904788.0
2020-01-09,51.174,51.683,51.007,51.674,699430.0
2020-01-10,51.674,51.893,50.948,51.046,656293.0
2020-01-11,51.674,51.893,50.948,51.046,656293.0
2020-01-12,51.674,51.893,50.948,51.046,656293.0
2020-01-13,51.046,51.223,50.796,51.076,742865.0
2020-01-14,50.968,51.262,50.821,51.007,888976.0
2020-01-15,50.86,51.134,50.595,50.664,892305.0
2020-01-16,50.889,51.321,50.801,51.115,688084.0
2020-01-17,51.262,51.634,51.183,51.36,1064038.0
2020-01-18,51.262,51.634,51.183,51.36,1064038.0
2020-01-19,51.262,51.634,51.183,51.36,1064038.0
2020-01-20,51.262,51.634,51.183,51.36,1064038.0
2020-01-21,51.193,51.326,50.458,50.487,1155183.0
2020-01-22,50.605,50.899,50.527,50.86,1085325.0
2020-01-23,50.458,50.723,49.801,50.448,1009075.0
2020-01-24,50.458,50.585,50.056,50.34,650496.0
2020-01-25,50.458,50.585,50.056,50.34,650496.0
2020-01-26,50.458,50.585,50.056,50.34,650496.0
2020-01-27,49.429,50.144,49.262,49.791,745246.0
2020-01-28,49.987,50.85,49.987,50.478,841541.0
2020-01-29,50.595,50.963,50.419,50.654,679457.0
2020-01-30,50.193,51.438,50.193,51.35,880916.0
2020-01-31,50.968,51.232,50.247,50.438,1024261.0
2020-02-01,50.968,51.232,50.247,50.438,1024261.0
2020-02-02,50.968,51.232,50.247,50.438,1024261.0
2020-02-03,50.693,51.723,50.625,51.37,824113.0
2020-02-04,51.958,52.487,51.644,51.693,773380.0
2020-02-05,52.468,52.811,52.203,52.526,1405181.0
2020-02-06,52.732,52.919,52.223,52.262,679327.0
2020-02-07,52.036,52.497,51.795,52.203,799956.0
2020-02-08,52.036,52.497,51.795,52.203,799956.0
2020-02-09,52.036,52.497,51.795,52.203,799956.0
2020-02-10,55.762,55.762,53.526,54.713,1263499.0
2020-02-11,54.781,55.017,53.566,53.644,917927.0
2020-02-12,53.742,53.867,52.821,52.87,767184.0
2020-02-13,52.723,53.061,52.536,52.997,838098.0
2020-02-14,52.948,53.164,52.6,53.124,930305.0
2020-02-15,52.948,53.164,52.6,53.124,930305.0
2020-02-16,52.948,53.164,52.6,53.124,930305.0
2020-02-17,52.948,53.164,52.6,53.124,930305.0
2020-02-18,52.899,52.997,52.291,52.644,681808.0
2020-02-19,52.781,53.036,52.644,52.654,704168.0
2020-02-20,52.477,53.056,52.477,52.83,750958.0
2020-02-21,52.595,52.801,52.095,52.576,1096162.0
2020-02-22,52.595,52.801,52.095,52.576,1096162.0
2020-02-23,52.595,52.801,52.095,52.576,1096162.0
2020-02-24,51.281,51.801,51.193,51.301,1106691.0
2020-02-25,51.362,51.362,49.35,49.429,1200439.0
2020-02-26,49.812,50.077,47.976,48.045,1616258.0
2020-02-27,47.23,47.436,45.356,45.356,1911748.0
2020-02-28,44.05,44.806,43.157,44.786,3377430.0
2020-02-29,44.05,44.806,43.157,44.786,3377430.0
2020-03-01,44.05,44.806,43.157,44.786,3377430.0
2020-03-02,44.826,47.809,44.708,47.79,1988913.0
2020-03-03,47.368,48.143,45.994,46.209,1682348.0
2020-03-04,47.014,47.682,45.954,47.603,1052090.0
2020-03-05,45.925,46.278,44.345,44.688,1604766.0
2020-03-06,42.921,43.834,42.411,43.363,1821346.0
2020-03-07,42.921,43.834,42.411,43.363,1821346.0
2020-03-08,42.921,43.834,42.411,43.363,1821346.0
2020-03-09,40.487,41.165,37.916,38.662,1965249.0
2020-03-10,40.114,42.439,39.516,42.382,1895634.0
2020-03-11,40.968,41.174,38.76,38.995,2214830.0
2020-03-12,35.845,36.62,32.566,32.576,2844014.0
2020-03-13,34.755,36.355,33.543,36.326,2900137.0
2020-03-14,34.755,36.355,33.543,36.326,2900137.0
2020-03-15,34.755,36.355,33.543,36.326,2900137.0
