,MSFT US Equity,MSFT US Equity,MSFT US Equity,MSFT US Equity,MSFT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,95.8345,96.8847,95.0303,96.0994,33173765.0
2019-01-02,94.1882,96.2697,93.6111,95.6736,35329345.0
2019-01-03,94.7086,94.789,91.9648,92.154,42578410.0
2019-01-04,94.3491,96.9888,93.6016,96.44,44060620.0
2019-01-05,94.3491,96.9888,93.6016,96.44,44060620.0
2019-01-06,94.3491,96.9888,93.6016,96.44,44060620.0
2019-01-07,96.1656,97.7061,95.5412,96.563,35656136.0
2019-01-08,97.4902,98.3701,96.2351,97.2632,31514415.0
2019-01-09,98.2661,99.2311,97.6837,98.654,32280840.0
2019-01-10,97.6605,98.162,96.8658,98.0201,30067556.0
2019-01-11,97.6322,97.8687,96.1656,97.2632,28314202.0
2019-01-12,97.6322,97.8687,96.1656,97.2632,28314202.0
2019-01-13,97.6322,97.8687,96.1656,97.2632,28314202.0
2019-01-14,96.4116,97.3309,95.8061,96.5536,28437079.0
2019-01-15,96.9888,99.392,96.3927,99.3541,31587616.0
2019-01-16,99.5907,100.5321,99.3068,99.7042,29853865.0
2019-01-17,99.3447,100.8821,99.1176,100.4043,28393015.0
2019-01-18,101.6722,102.0885,100.2057,101.9087,37427587.0
2019-01-19,101.6722,102.0885,100.2057,101.9087,37427587.0
2019-01-20,101.6722,102.0885,100.2057,101.9087,37427587.0
2019-01-21,101.6722,102.0885,100.2057,101.9087,37427587.0
2019-01-22,101.0004,101.3316,99.2122,99.988,32371253.0
2019-01-23,100.4043,101.2748,99.6664,100.9626,25874294.0
2019-01-24,101.1045,101.2369,99.6664,100.48,23164838.0
2019-01-25,101.464,102.0696,100.849,101.3978,31218193.0
2019-01-26,101.464,102.0696,100.849,101.3978,31218193.0
2019-01-27,101.464,102.0696,100.849,101.3978,31218193.0
2019-01-28,100.5368,100.745,99.023,99.4204,29476719.0
2019-01-29,99.2311,99.3163,96.6671,97.3956,31490547.0
2019-01-30,98.9851,100.6503,98.7108,100.6503,49471866.0
2019-01-31,98.2093,99.5528,97.6227,98.8054,55636391.0
2019-02-01,98.1856,98.493,96.8374,97.2442,35535690.0
2019-02-02,98.1856,98.493,96.8374,97.2442,35535690.0
2019-02-03,98.1856,98.493,96.8374,97.2442,35535690.0
2019-02-04,97.3294,100.1016,97.2348,100.0448,31315282.0
2019-02-05,100.3476,101.4924,100.253,101.4451,27325365.0
2019-02-06,101.2369,101.2369,99.8461,100.3192,20609759.0
2019-02-07,99.5197,99.9029,98.6729,99.6001,29760697.0
2019-02-08,98.7675,100.0827,98.6448,99.9786,21461093.0
2019-02-09,98.7675,100.0827,98.6448,99.9786,21461093.0
2019-02-10,98.7675,100.0827,98.6448,99.9786,21461093.0
2019-02-11,100.48,100.8396,99.3116,99.5812,18914123.0
2019-02-12,100.4233,101.3694,99.7988,101.1329,25056595.0
2019-02-13,101.71,101.9749,100.9626,101.0572,18394869.0
2019-02-14,100.5841,101.5113,99.9691,101.1423,21784703.0
2019-02-15,102.0979,102.4669,101.5798,102.3912,26606886.0
2019-02-16,102.0979,102.4669,101.5798,102.3912,26606886.0
2019-02-17,102.0979,102.4669,101.5798,102.3912,26606886.0
2019-02-18,102.0979,102.4669,101.5798,102.3912,26606886.0
2019-02-19,101.9844,102.8075,101.9749,102.3439,18038460.0
2019-02-20,102.4865,102.5625,100.9947,101.8119,21607671.0
2019-02-21,101.5743,104.0258,101.5458,103.9593,29063231.0
2019-02-22,104.5674,105.6601,104.3489,105.4416,27763218.0
2019-02-23,104.5674,105.6601,104.3489,105.4416,27763218.0
2019-02-24,104.5674,105.6601,104.3489,105.4416,27763218.0
2019-02-25,106.1922,106.5913,105.7171,106.0307,23750599.0
2019-02-26,105.7171,107.5985,105.6316,106.7623,21536733.0
2019-02-27,106.1257,106.7623,105.3561,106.5818,21487062.0
2019-02-28,106.4583,107.2564,106.1637,106.4488,29083934.0
2019-03-01,107.2659,107.3894,106.1019,106.9238,23501169.0
2019-03-02,107.2659,107.3894,106.1019,106.9238,23501169.0
2019-03-03,107.2659,107.3894,106.1019,106.9238,23501169.0
2019-03-04,107.3894,107.608,105.28,106.6673,26608014.0
2019-03-05,106.6578,106.7908,105.6886,106.1352,19538318.0
2019-03-06,106.2967,107.0474,105.8786,106.1827,17686996.0
2019-03-07,105.8501,105.9927,104.3916,104.8905,25338954.0
2019-03-08,103.7217,105.1945,103.3797,105.0045,22818430.0
2019-03-09,103.7217,105.1945,103.3797,105.0045,22818430.0
2019-03-10,103.7217,105.1945,103.3797,105.0045,22818430.0
2019-03-11,105.4606,107.3229,105.4511,107.2089,26491618.0
2019-03-12,107.1994,108.3111,107.0378,107.9595,26132717.0
2019-03-13,108.4441,109.2708,108.1116,108.7957,35513771.0
2019-03-14,108.8337,109.4608,108.6342,108.8812,30763367.0
2019-03-15,109.5939,111.4087,108.8812,110.1355,54630661.0
2019-03-16,109.5939,111.4087,108.8812,110.1355,54630661.0
2019-03-17,109.5939,111.4087,108.8812,110.1355,54630661.0
2019-03-18,110.3825,111.7508,110.2685,111.7128,31207596.0
2019-03-19,112.2069,112.5394,111.1617,111.7888,37588697.0
2019-03-20,111.5417,112.834,110.8956,111.6653,28113343.0
2019-03-21,111.2994,114.8008,111.2567,114.2307,29854446.0
2019-03-22,113.5466,113.6321,111.2092,111.2187,33624528.0
2019-03-23,113.5466,113.6321,111.2092,111.2187,33624528.0
2019-03-24,113.5466,113.6321,111.2092,111.2187,33624528.0
2019-03-25,110.7531,112.1308,110.5273,111.7983,27067117.0
2019-03-26,112.7104,112.7912,111.0286,112.0358,26097665.0
2019-03-27,112.0026,112.3209,109.7663,110.9526,22733427.0
2019-03-28,111.5892,111.7223,110.3445,111.1046,18334755.0
2019-03-29,112.1879,112.4254,111.1331,112.0643,25399752.0
2019-03-30,112.1879,112.4254,111.1331,112.0643,25399752.0
2019-03-31,112.1879,112.4254,111.1331,112.0643,25399752.0
2019-04-01,113.024,113.1746,112.2164,113.0905,22789103.0
2019-04-02,113.1285,113.5276,112.6154,113.2521,18142297.0
2019-04-03,113.8887,114.4303,113.214,113.9932,22860744.0
2019-04-04,114.1167,114.2402,112.4824,113.4136,20112848.0
2019-04-05,113.4421,114.2402,113.4231,113.9172,15826245.0
2019-04-06,113.4421,114.2402,113.4231,113.9172,15826245.0
2019-04-07,113.4421,114.2402,113.4231,113.9172,15826245.0
2019-04-08,113.8412,114.0407,112.7295,113.9552,15116186.0
2019-04-09,112.72,113.5846,112.6724,113.3376,17611981.0
2019-04-10,113.7937,114.3543,113.5846,114.2022,16477169.0
2019-04-11,114.5348,114.8294,113.9457,114.3353,14209121.0
2019-04-12,114.6298,114.9529,114.3733,114.9244,19745143.0
2019-04-13,114.6298,114.9529,114.3733,114.9244,19745143.0
2019-04-14,114.6298,114.9529,114.3733,114.9244,19745143.0
2019-04-15,114.9149,115.523,114.5633,115.0194,15792572.0
2019-04-16,115.58,115.5895,114.1167,114.7533,14071787.0
2019-04-17,115.1999,115.7795,114.5348,115.7035,19300938.0
2019-04-18,116.1026,117.3663,115.2586,117.2238,27990998.0
2019-04-19,116.1026,117.3663,115.2586,117.2238,27990998.0
2019-04-20,116.1026,117.3663,115.2586,117.2238,27990998.0
2019-04-21,116.1026,117.3663,115.2586,117.2238,27990998.0
2019-04-22,116.5112,117.8224,116.4637,117.5944,15648724.0
2019-04-23,117.9174,119.3237,117.6609,119.1907,24025521.0
2019-04-24,119.5232,119.5803,118.3165,118.7821,31256980.0
2019-04-25,123.5805,124.8253,122.4118,122.7159,38033892.0
2019-04-26,123.2385,124.013,122.5923,123.419,23654933.0
2019-04-27,123.2385,124.013,122.5923,123.419,23654933.0
2019-04-28,123.2385,124.013,122.5923,123.419,23654933.0
2019-04-29,123.4285,123.6945,122.9059,123.305,16324183.0
2019-04-30,123.343,124.1886,122.9484,124.0936,24166503.0
2019-05-01,124.0271,124.1411,121.3381,121.5091,26821692.0
2019-05-02,121.6041,121.6231,119.2667,119.9223,27350161.0
2019-05-03,121.015,122.9819,120.9105,122.4783,24911126.0
2019-05-04,121.015,122.9819,120.9105,122.4783,24911126.0
2019-05-05,121.015,122.9819,120.9105,122.4783,24911126.0
2019-05-06,120.0934,122.1552,119.8273,121.7657,24239464.0
2019-05-07,120.1599,120.844,118.0315,119.2667,36017661.0
2019-05-08,119.1907,120.0744,118.5351,119.2572,28418996.0
2019-05-09,118.098,119.5232,117.4138,119.2477,27235835.0
2019-05-10,118.6871,121.5566,117.6514,120.7965,30915084.0
2019-05-11,118.6871,121.5566,117.6514,120.7965,30915084.0
2019-05-12,118.6871,121.5566,117.6514,120.7965,30915084.0
2019-05-13,117.9269,119.2952,116.9102,117.2048,33944923.0
2019-05-14,117.6989,119.6088,117.5374,118.5161,25266315.0
2019-05-15,118.5065,120.8431,117.9725,120.185,24722708.0
2019-05-16,120.8812,123.3895,120.6047,122.9603,30112216.0
2019-05-17,122.3642,124.4194,121.9971,122.1401,25770539.0
2019-05-18,122.3642,124.4194,121.9971,122.1401,25770539.0
2019-05-19,122.3642,124.4194,121.9971,122.1401,25770539.0
2019-05-20,120.6619,121.6818,119.9377,120.3758,23706934.0
2019-05-21,121.5297,121.6225,120.7191,121.0243,15293260.0
2019-05-22,120.7572,122.3022,120.6619,121.7586,15396485.0
2019-05-23,120.3567,120.4425,118.9643,120.3376,23603810.0
2019-05-24,121.0338,121.5154,120.1373,120.3948,14123358.0
2019-05-25,121.0338,121.5154,120.1373,120.3948,14123358.0
2019-05-26,121.0338,121.5154,120.1373,120.3948,14123358.0
2019-05-27,121.0338,121.5154,120.1373,120.3948,14123358.0
2019-05-28,121.1006,122.0734,120.2136,120.3185,23128359.0
2019-05-29,119.5747,119.5842,118.2967,119.155,22763140.0
2019-05-30,119.4602,119.9371,119.0024,119.9085,16829613.0
2019-05-31,118.4779,118.8451,117.61,117.9534,26646769.0
2019-06-01,118.4779,118.8451,117.61,117.9534,26646769.0
2019-06-02,118.4779,118.8451,117.61,117.9534,26646769.0
2019-06-03,118.1155,118.6114,113.4996,114.2912,37983637.0
