,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,24.0384,24.6622,23.9394,24.5929,2826853.0
2020-01-02,24.5434,24.7414,23.8503,23.8899,4777924.0
2020-01-03,23.6919,24.1671,23.38,23.4741,9144314.0
2020-01-04,23.6919,24.1671,23.38,23.4741,9144314.0
2020-01-05,23.6919,24.1671,23.38,23.4741,9144314.0
2020-01-06,23.6721,23.8998,23.2216,23.7018,8110318.0
2020-01-07,23.4246,23.5236,22.989,23.0286,6264337.0
2020-01-08,23.1474,23.4444,22.4741,22.4939,6566135.0
2020-01-09,22.3949,22.5633,21.89,22.2167,6506325.0
2020-01-10,22.0286,22.1375,21.5534,22.0385,5657476.0
2020-01-11,22.0286,22.1375,21.5534,22.0385,5657476.0
2020-01-12,22.0286,22.1375,21.5534,22.0385,5657476.0
2020-01-13,22.0286,22.385,21.8108,22.0385,3847558.0
2020-01-14,22.1672,22.4939,21.9692,22.4246,4204874.0
2020-01-15,22.286,22.7749,22.1672,22.5336,3824077.0
2020-01-16,22.6029,23.5385,22.5633,23.3058,5657378.0
2020-01-17,23.3751,23.4246,23.0286,23.1969,3722346.0
2020-01-18,23.3751,23.4246,23.0286,23.1969,3722346.0
2020-01-19,23.3751,23.4246,23.0286,23.1969,3722346.0
2020-01-20,23.3751,23.4246,23.0286,23.1969,3722346.0
2020-01-21,23.1177,23.2266,22.6326,22.6524,4906584.0
2020-01-22,22.4246,22.4939,21.8356,22.0781,4769064.0
2020-01-23,21.8405,22.1771,21.494,22.1276,4285864.0
2020-01-24,21.8702,21.8702,21.1079,21.4544,3668130.0
2020-01-25,21.8702,21.8702,21.1079,21.4544,3668130.0
2020-01-26,21.8702,21.8702,21.1079,21.4544,3668130.0
2020-01-27,20.9297,21.1079,20.6426,20.7416,4273739.0
2020-01-28,20.9792,20.9792,20.6525,20.7515,4940730.0
2020-01-29,20.8109,21.0089,20.3158,20.395,4609802.0
2020-01-30,20.1178,20.3455,19.702,20.098,6612541.0
2020-01-31,19.801,19.9149,19.4644,19.5733,7392808.0
2020-02-01,19.801,19.9149,19.4644,19.5733,7392808.0
2020-02-02,19.801,19.9149,19.4644,19.5733,7392808.0
2020-02-03,19.6228,19.7614,19.3159,19.5337,4623005.0
2020-02-04,19.9099,20.1426,19.6179,19.6921,4739252.0
2020-02-05,20.2168,21.1722,20.1376,21.098,5624254.0
2020-02-06,21.1277,21.1821,20.5237,20.5237,5537306.0
2020-02-07,20.2648,20.4341,19.9113,19.9661,5882837.0
2020-02-08,20.2648,20.4341,19.9113,19.9661,5882837.0
2020-02-09,20.2648,20.4341,19.9113,19.9661,5882837.0
2020-02-10,19.7171,19.8864,19.3487,19.6176,4501297.0
2020-02-11,19.986,20.235,19.7869,19.8167,7113632.0
2020-02-12,19.6674,20.2848,18.8209,19.4084,13653461.0
2020-02-13,19.4981,20.0956,19.2292,19.518,10848013.0
2020-02-14,19.6076,19.6275,19.0002,19.0798,5936977.0
2020-02-15,19.6076,19.6275,19.0002,19.0798,5936977.0
2020-02-16,19.6076,19.6275,19.0002,19.0798,5936977.0
2020-02-17,19.6076,19.6275,19.0002,19.0798,5936977.0
2020-02-18,18.8707,19.0251,18.4425,18.8906,6335318.0
2020-02-19,19.0898,19.0898,18.6516,18.8408,6102587.0
2020-02-20,19.0101,19.045,18.4375,18.4724,6516629.0
2020-02-21,18.1637,18.2334,17.7853,17.8749,5280956.0
