,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,39.3687,39.9606,39.3086,39.9263,608392.0
2020-01-02,39.9778,40.0378,38.3564,38.4765,701111.0
2020-01-03,38.4336,38.9483,38.3221,38.7939,433694.0
2020-01-04,38.4336,38.9483,38.3221,38.7939,433694.0
2020-01-05,38.4336,38.9483,38.3221,38.7939,433694.0
2020-01-06,38.8711,39.4673,38.8454,39.2228,800592.0
2020-01-07,39.1714,39.2271,38.6395,39.0598,418817.0
2020-01-08,39.017,39.1628,38.3564,38.6223,355899.0
2020-01-09,38.5194,38.8454,38.2877,38.5623,435113.0
2020-01-10,38.5623,38.7338,38.3667,38.5451,412277.0
2020-01-11,38.5623,38.7338,38.3667,38.5451,412277.0
2020-01-12,38.5623,38.7338,38.3667,38.5451,412277.0
2020-01-13,38.588,38.7199,38.3392,38.4679,614297.0
2020-01-14,38.2706,38.5451,37.8717,38.4679,434334.0
2020-01-15,38.5022,38.8883,38.3907,38.8454,487935.0
2020-01-16,38.9312,39.24,38.7639,38.914,503783.0
2020-01-17,39.0341,39.1456,38.6058,39.0255,332718.0
2020-01-18,39.0341,39.1456,38.6058,39.0255,332718.0
2020-01-19,39.0341,39.1456,38.6058,39.0255,332718.0
2020-01-20,39.0341,39.1456,38.6058,39.0255,332718.0
2020-01-21,39.0513,39.0513,38.3564,38.4765,482783.0
2020-01-22,38.2963,38.3221,37.4899,37.8331,649068.0
2020-01-23,37.7473,38.1162,37.0695,38.0218,556457.0
2020-01-24,38.0132,38.0132,36.8808,37.1553,597003.0
2020-01-25,38.0132,38.0132,36.8808,37.1553,597003.0
2020-01-26,38.0132,38.0132,36.8808,37.1553,597003.0
2020-01-27,36.9065,37.2111,36.4947,36.5634,615542.0
2020-01-28,36.6663,37.121,36.5848,36.7092,580232.0
2020-01-29,36.7521,36.8722,36.2288,36.3146,563360.0
2020-01-30,36.1344,36.4433,35.4653,36.0229,867663.0
2020-01-31,36.1687,37.1639,35.6369,37.0524,1882974.0
2020-02-01,36.1687,37.1639,35.6369,37.0524,1882974.0
2020-02-02,36.1687,37.1639,35.6369,37.0524,1882974.0
2020-02-03,37.0781,37.1896,36.2545,36.4347,958534.0
2020-02-04,36.572,37.3784,36.4776,37.1124,889698.0
2020-02-05,37.2926,38.4507,37.2926,38.1848,766209.0
2020-02-06,38.3478,38.3478,37.0524,37.0781,552546.0
2020-02-07,37.0181,37.0781,36.4733,36.5805,291615.0
2020-02-08,37.0181,37.0781,36.4733,36.5805,291615.0
2020-02-09,37.0181,37.0781,36.4733,36.5805,291615.0
2020-02-10,36.5805,36.6878,35.9457,36.2717,439428.0
2020-02-11,36.4433,37.0481,36.4433,36.6149,552620.0
