,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,2422.0,2447.394,2386.22,2436.99,11905.0
2019-01-02,2387.35,2425.0,2285.0,2420.82,29827.0
2019-01-03,2425.0,2425.0,2358.42,2381.94,26609.0
2019-01-04,2384.05,2449.44,2364.52,2412.83,29132.0
2019-01-05,2384.05,2449.44,2364.52,2412.83,29132.0
2019-01-06,2384.05,2449.44,2364.52,2412.83,29132.0
2019-01-07,2406.81,2480.0,2394.0,2471.01,42747.0
2019-01-08,2452.2,2494.96,2425.0,2494.96,54729.0
2019-01-09,2485.0,2567.6,2466.46,2531.53,42356.0
2019-01-10,2500.27,2599.98,2500.27,2563.37,29334.0
2019-01-11,2565.0,2601.97,2545.03,2586.1,20086.0
2019-01-12,2565.0,2601.97,2545.03,2586.1,20086.0
2019-01-13,2565.0,2601.97,2545.03,2586.1,20086.0
2019-01-14,2579.8,2595.0,2535.286,2545.82,19636.0
2019-01-15,2526.05,2574.372,2524.86,2561.52,11871.0
2019-01-16,2575.0,2576.63,2519.0,2530.49,21349.0
2019-01-17,2518.8,2567.98,2500.03,2527.38,17392.0
2019-01-18,2535.95,2555.12,2480.56,2490.45,24436.0
2019-01-19,2535.95,2555.12,2480.56,2490.45,24436.0
2019-01-20,2535.95,2555.12,2480.56,2490.45,24436.0
2019-01-21,2535.95,2555.12,2480.56,2490.45,24436.0
2019-01-22,2497.89,2519.23,2452.42,2467.03,27544.0
2019-01-23,2492.0,2524.814,2470.0,2499.76,28214.0
2019-01-24,2500.0,2536.955,2485.3,2521.3,19016.0
2019-01-25,2598.0,2633.13,2495.3,2517.06,37762.0
2019-01-26,2598.0,2633.13,2495.3,2517.06,37762.0
2019-01-27,2598.0,2633.13,2495.3,2517.06,37762.0
2019-01-28,2470.0,2609.77,2470.0,2560.43,23889.0
2019-01-29,2550.0,2651.28,2488.805,2625.31,31404.0
2019-01-30,2637.1,2694.495,2619.95,2649.77,26948.0
2019-01-31,2651.1,2710.89,2640.0,2660.0,28923.0
2019-02-01,2653.55,2686.5,2618.38,2635.74,20544.0
2019-02-02,2653.55,2686.5,2618.38,2635.74,20544.0
2019-02-03,2653.55,2686.5,2618.38,2635.74,20544.0
2019-02-04,2649.7,2668.0,2598.0,2628.45,21032.0
2019-02-05,2631.61,2649.606,2604.58,2612.37,16857.0
2019-02-06,2645.8,2645.8,2522.6,2535.21,18197.0
2019-02-07,2513.82,2616.61,2513.82,2616.61,18826.0
2019-02-08,2613.0,2625.0,2565.09,2579.08,44168.0
2019-02-09,2613.0,2625.0,2565.09,2579.08,44168.0
2019-02-10,2613.0,2625.0,2565.09,2579.08,44168.0
2019-02-11,2598.2,2625.13,2577.2,2602.0,18432.0
2019-02-12,2613.68,2705.46,2613.68,2691.46,31338.0
2019-02-13,2700.45,2700.45,2598.61,2600.8,19847.0
2019-02-14,2579.33,2676.27,2579.33,2656.58,23682.0
2019-02-15,2669.1,2698.0,2650.1,2662.85,18339.0
2019-02-16,2669.1,2698.0,2650.1,2662.85,18339.0
2019-02-17,2669.1,2698.0,2650.1,2662.85,18339.0
