,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,16.9993,17.4921,16.9993,17.3986,915997.0
2020-01-02,17.4156,17.5515,17.1071,17.3561,1020123.0
2020-01-03,17.1523,17.4156,16.8761,17.3052,902712.0
2020-01-04,17.1523,17.4156,16.8761,17.3052,902712.0
2020-01-05,17.1523,17.4156,16.8761,17.3052,902712.0
2020-01-06,17.0588,17.7214,17.0248,17.6195,889615.0
2020-01-07,17.9678,18.6389,17.8574,18.4605,1450901.0
2020-01-08,18.3926,18.6644,18.1348,18.4775,1260635.0
2020-01-09,18.7011,19.0364,18.5463,18.6323,1193141.0
2020-01-10,18.6237,18.7699,18.4517,18.7527,810876.0
2020-01-11,18.6237,18.7699,18.4517,18.7527,810876.0
2020-01-12,18.6237,18.7699,18.4517,18.7527,810876.0
2020-01-13,18.8473,18.959,18.5635,18.7441,972450.0
2020-01-14,18.6839,19.4061,18.6495,19.3975,1126911.0
2020-01-15,19.303,19.922,19.2858,19.7759,1117956.0
2020-01-16,19.9478,20.4809,19.8103,20.3777,1284313.0
2020-01-17,20.3433,20.5497,19.8962,20.0166,897096.0
2020-01-18,20.3433,20.5497,19.8962,20.0166,897096.0
2020-01-19,20.3433,20.5497,19.8962,20.0166,897096.0
2020-01-20,20.3433,20.5497,19.8962,20.0166,897096.0
2020-01-21,20.0252,20.4551,19.7273,20.3777,1729019.0
2020-01-22,20.3777,20.5497,20.1671,20.4293,647958.0
2020-01-23,20.3777,20.4207,20.008,20.2402,710516.0
2020-01-24,20.3176,20.4293,19.6899,20.0768,762840.0
2020-01-25,20.3176,20.4293,19.6899,20.0768,762840.0
2020-01-26,20.3176,20.4293,19.6899,20.0768,762840.0
2020-01-27,19.7931,20.1112,19.6555,19.9521,817897.0
2020-01-28,20.1542,20.3605,19.9306,20.2402,592374.0
2020-01-29,20.3519,20.3691,19.7028,19.7673,942933.0
2020-01-30,19.6899,19.8704,19.3288,19.8618,687656.0
2020-01-31,19.7759,19.8447,18.8043,18.9246,1445957.0
2020-02-01,19.7759,19.8447,18.8043,18.9246,1445957.0
2020-02-02,19.7759,19.8447,18.8043,18.9246,1445957.0
2020-02-03,19.088,19.3116,18.9676,19.2084,795878.0
2020-02-04,19.4319,19.5867,19.002,19.0192,896955.0
2020-02-05,19.3717,19.965,19.2772,19.8962,1020983.0
2020-02-06,20.0252,20.3605,19.8361,20.0123,922324.0
2020-02-07,20.1026,20.309,19.5585,19.6899,569180.0
2020-02-08,20.1026,20.309,19.5585,19.6899,569180.0
2020-02-09,20.1026,20.309,19.5585,19.6899,569180.0
2020-02-10,19.6469,19.6985,19.4663,19.6297,416014.0
2020-02-11,19.7329,19.9822,19.6039,19.922,623417.0
2020-02-12,20.0252,20.2273,19.9392,20.2058,968051.0
2020-02-13,20.1456,20.223,19.8618,19.8704,470458.0
2020-02-14,19.9134,20.1026,19.3288,19.7845,391626.0
2020-02-15,19.9134,20.1026,19.3288,19.7845,391626.0
2020-02-16,19.9134,20.1026,19.3288,19.7845,391626.0
2020-02-17,19.9134,20.1026,19.3288,19.7845,391626.0
2020-02-18,19.7329,20.0252,19.6555,19.7931,487722.0
2020-02-19,19.8103,20.2015,19.8017,20.1456,545905.0
2020-02-20,20.1026,20.1714,19.1052,19.4405,639286.0
2020-02-21,19.3546,19.7845,19.2428,19.5437,673957.0
2020-02-22,19.3546,19.7845,19.2428,19.5437,673957.0
2020-02-23,19.3546,19.7845,19.2428,19.5437,673957.0
2020-02-24,18.8902,20.18,18.8473,20.1026,1432166.0
2020-02-25,20.1714,20.1714,19.4147,20.1198,1544314.0
2020-02-26,20.1972,20.7045,19.131,19.5007,1700747.0
2020-02-27,21.2977,22.0952,20.3347,20.6443,4727415.0
2020-02-28,20.8162,20.8162,19.3632,20.4551,2655136.0
2020-02-29,20.8162,20.8162,19.3632,20.4551,2655136.0
2020-03-01,20.8162,20.8162,19.3632,20.4551,2655136.0
2020-03-02,20.7389,21.4525,20.5755,21.4353,1588081.0
2020-03-03,21.3751,21.6434,20.3261,20.6959,1423130.0
2020-03-04,21.0656,21.517,20.8076,21.4869,929431.0
2020-03-05,21.1602,21.5815,20.3176,20.6701,1674487.0
2020-03-06,19.9908,20.6443,19.7845,20.5067,1496196.0
2020-03-07,19.9908,20.6443,19.7845,20.5067,1496196.0
2020-03-08,19.9908,20.6443,19.7845,20.5067,1496196.0
2020-03-09,19.3975,19.3975,18.0046,18.4259,1831176.0
2020-03-10,19.088,19.2084,18.4689,19.1654,1643287.0
2020-03-11,18.6581,18.7441,17.6005,17.9616,2026874.0
2020-03-12,16.5687,17.4543,14.9437,16.7837,1847719.0
2020-03-13,17.4543,17.9444,16.2077,17.9187,2123419.0
2020-03-14,17.4543,17.9444,16.2077,17.9187,2123419.0
2020-03-15,17.4543,17.9444,16.2077,17.9187,2123419.0
2020-03-16,16.285,16.5945,14.7975,16.199,2474745.0
