,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,68.4809,69.1463,67.8236,69.0581,2580624.0
2019-01-02,68.3928,70.8938,68.1362,70.6372,3147818.0
2019-01-03,70.6853,70.9098,68.2164,69.6593,3182049.0
2019-01-04,70.9018,73.0621,70.497,72.8176,3307308.0
2019-01-05,70.9018,73.0621,70.497,72.8176,3307308.0
2019-01-06,70.9018,73.0621,70.497,72.8176,3307308.0
2019-01-07,72.6332,74.1162,71.7915,73.3226,3474041.0
2019-01-08,73.9799,74.2044,72.2805,73.2585,2357255.0
2019-01-09,73.9879,74.2204,72.4016,73.7394,2588716.0
2019-01-10,73.5471,74.541,72.4408,74.501,2323660.0
2019-01-11,73.9479,75.1022,73.6432,74.3006,2102633.0
2019-01-12,73.9479,75.1022,73.6432,74.3006,2102633.0
2019-01-13,73.9479,75.1022,73.6432,74.3006,2102633.0
2019-01-14,73.5791,74.6693,73.2024,74.4128,2178577.0
2019-01-15,74.9178,75.1342,73.6994,74.1082,1953520.0
2019-01-16,73.8436,74.8457,73.6352,74.541,2316210.0
2019-01-17,74.1803,75.4549,73.9996,74.8857,3069160.0
2019-01-18,75.6072,76.7575,74.4689,76.3927,4014857.0
2019-01-19,75.6072,76.7575,74.4689,76.3927,4014857.0
2019-01-20,75.6072,76.7575,74.4689,76.3927,4014857.0
2019-01-21,75.6072,76.7575,74.4689,76.3927,4014857.0
2019-01-22,75.8396,76.4729,74.4048,74.5491,4733526.0
2019-01-23,74.7815,75.1823,73.9158,74.2525,2542409.0
2019-01-24,74.1483,74.5731,73.2104,73.2104,3194296.0
2019-01-25,73.9479,75.0461,73.4348,74.5651,2045409.0
2019-01-26,73.9479,75.0461,73.4348,74.5651,2045409.0
2019-01-27,73.9479,75.0461,73.4348,74.5651,2045409.0
2019-01-28,73.7475,74.5891,73.6753,74.1483,2349546.0
2019-01-29,74.3326,75.1022,73.6593,74.8296,2056493.0
2019-01-30,75.3827,76.3527,75.0661,75.7755,3093445.0
2019-01-31,77.034,77.4348,76.2084,76.4809,4044490.0
2019-02-01,76.6092,76.9138,74.8777,75.519,2618109.0
2019-02-02,76.6092,76.9138,74.8777,75.519,2618109.0
2019-02-03,76.6092,76.9138,74.8777,75.519,2618109.0
2019-02-04,75.1903,75.9599,74.7134,75.9599,2758451.0
2019-02-05,75.9599,76.5811,75.6713,76.2885,2849317.0
2019-02-06,75.8717,76.505,75.6232,75.6873,3127817.0
2019-02-07,75.6793,76.3206,73.2344,73.539,5291472.0
2019-02-08,76.0881,76.2885,73.523,74.9659,4248380.0
2019-02-09,76.0881,76.2885,73.523,74.9659,4248380.0
2019-02-10,76.0881,76.2885,73.523,74.9659,4248380.0
2019-02-11,74.541,76.4328,74.4449,75.535,4229453.0
2019-02-12,76.3527,76.5451,75.2785,75.3507,2485975.0
2019-02-13,75.5671,77.2144,75.4228,77.0501,2627153.0
2019-02-14,76.6092,77.1382,76.2244,76.6733,2701720.0
2019-02-15,77.6029,78.2092,76.9643,77.5949,2647295.0
2019-02-16,77.6029,78.2092,76.9643,77.5949,2647295.0
2019-02-17,77.6029,78.2092,76.9643,77.5949,2647295.0
2019-02-18,77.6029,78.2092,76.9643,77.5949,2647295.0
2019-02-19,77.1503,78.379,77.1098,78.2092,2107968.0
2019-02-20,78.2092,79.3248,77.6595,78.7751,3586874.0
2019-02-21,78.6376,79.4379,77.9263,78.2577,2054025.0
2019-02-22,79.0418,79.3005,78.4113,78.7023,2102522.0
2019-02-23,79.0418,79.3005,78.4113,78.7023,2102522.0
2019-02-24,79.0418,79.3005,78.4113,78.7023,2102522.0
2019-02-25,78.5326,78.9772,78.4194,78.6457,1661041.0
2019-02-26,78.6781,79.4541,78.5568,79.0903,2274421.0
2019-02-27,79.3005,79.8987,78.6781,78.9287,1881874.0
2019-02-28,79.1631,79.2682,77.5526,77.8939,2351185.0
2019-03-01,78.2658,79.1065,77.9748,78.7993,2878955.0
2019-03-02,78.2658,79.1065,77.9748,78.7993,2878955.0
2019-03-03,78.2658,79.1065,77.9748,78.7993,2878955.0
2019-03-04,79.5511,79.5511,77.32,78.6376,2386214.0
