,QCOM US Equity,QCOM US Equity,QCOM US Equity,QCOM US Equity,QCOM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,79.9052,80.6135,79.8053,80.1231,5173531.0
2020-01-02,80.8678,81.5579,79.9869,80.5408,8416991.0
2020-01-03,79.2422,79.5873,78.4976,79.0243,8340945.0
2020-01-04,79.2422,79.5873,78.4976,79.0243,8340945.0
2020-01-05,79.2422,79.5873,78.4976,79.0243,8340945.0
2020-01-06,78.0163,78.5975,77.6803,78.5611,8383247.0
2020-01-07,79.0424,81.2673,78.9244,80.7951,8477788.0
2020-01-08,80.7315,81.2492,79.8416,80.559,7621947.0
2020-01-09,81.4217,82.3843,80.668,81.6487,9182018.0
2020-01-10,82.1936,83.9009,81.6124,81.9666,9670161.0
2020-01-11,82.1936,83.9009,81.6124,81.9666,9670161.0
2020-01-12,82.1936,83.9009,81.6124,81.9666,9670161.0
2020-01-13,82.684,84.2096,82.2286,82.6113,10372103.0
2020-01-14,82.7566,83.1925,81.9938,82.239,7801839.0
2020-01-15,82.4116,82.802,81.0494,81.4308,7259093.0
2020-01-16,81.9303,83.7547,81.567,83.356,9295519.0
2020-01-17,84.4548,87.3335,84.4094,87.0974,23694368.0
2020-01-18,84.4548,87.3335,84.4094,87.0974,23694368.0
2020-01-19,84.4548,87.3335,84.4094,87.0974,23694368.0
2020-01-20,84.4548,87.3335,84.4094,87.0974,23694368.0
2020-01-21,86.5707,86.9248,84.8389,85.8533,10868537.0
2020-01-22,86.5072,86.6252,84.1915,84.4276,8342302.0
2020-01-23,84.3186,84.4094,83.0563,83.5467,11282020.0
2020-01-24,84.1642,84.6818,80.668,81.4126,9471659.0
2020-01-25,84.1642,84.6818,80.668,81.4126,9471659.0
2020-01-26,84.1642,84.6818,80.668,81.4126,9471659.0
2020-01-27,79.2817,80.114,78.5067,79.0515,9240203.0
2020-01-28,80.0504,81.3127,79.3567,80.9586,9186993.0
2020-01-29,80.5136,80.8405,79.324,80.1231,8167966.0
2020-01-30,79.2876,79.7871,78.2705,79.7144,8379356.0
2020-01-31,79.0515,79.1584,77.2262,77.4714,9503569.0
2020-02-01,79.0515,79.1584,77.2262,77.4714,9503569.0
2020-02-02,79.0515,79.1584,77.2262,77.4714,9503569.0
2020-02-03,77.6893,78.6247,77.3352,78.5339,7794550.0
2020-02-04,80.1413,80.7769,79.3421,80.7588,9236376.0
2020-02-05,82.6295,82.7657,81.0675,82.5569,14220868.0
2020-02-06,79.9687,82.4343,78.2705,82.2844,21059033.0
2020-02-07,81.3854,81.7577,79.3512,79.3875,10725091.0
2020-02-08,81.3854,81.7577,79.3512,79.3875,10725091.0
2020-02-09,81.3854,81.7577,79.3512,79.3875,10725091.0
