,RS US Equity,RS US Equity,RS US Equity,RS US Equity,RS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,110.9,111.7118,110.6133,110.7335,369153.0
2020-01-02,111.7414,111.7691,109.5223,110.262,345673.0
2020-01-03,108.7086,110.4654,108.7086,109.8551,292334.0
2020-01-04,108.7086,110.4654,108.7086,109.8551,292334.0
2020-01-05,108.7086,110.4654,108.7086,109.8551,292334.0
2020-01-06,109.4945,110.0678,108.9397,109.587,399059.0
2020-01-07,108.8565,110.8168,108.8565,109.8921,412233.0
2020-01-08,109.4575,111.0849,109.3651,109.7812,279167.0
2020-01-09,110.2157,110.789,109.5408,110.6688,397891.0
2020-01-10,110.6041,110.6873,109.0045,109.1247,327011.0
2020-01-11,110.6041,110.6873,109.0045,109.1247,327011.0
2020-01-12,110.6041,110.6873,109.0045,109.1247,327011.0
2020-01-13,110.3175,112.3701,109.8182,111.4363,503649.0
2020-01-14,111.2421,112.139,110.9092,112.102,416802.0
2020-01-15,111.4917,112.5366,111.3808,112.1945,424967.0
2020-01-16,112.7862,112.7862,111.1311,111.7321,343747.0
2020-01-17,112.4071,112.86,111.8061,112.3424,382437.0
2020-01-18,112.4071,112.86,111.8061,112.3424,382437.0
2020-01-19,112.4071,112.86,111.8061,112.3424,382437.0
2020-01-20,112.4071,112.86,111.8061,112.3424,382437.0
2020-01-21,110.6503,111.0756,107.3401,108.1353,752567.0
2020-01-22,108.5792,109.3558,108.2833,108.5607,394991.0
2020-01-23,107.821,109.5315,106.1659,109.1617,373352.0
2020-01-24,109.1247,109.1247,106.8686,107.9412,267613.0
2020-01-25,109.1247,109.1247,106.8686,107.9412,267613.0
2020-01-26,109.1247,109.1247,106.8686,107.9412,267613.0
2020-01-27,106.0734,107.4326,105.7036,106.3138,334309.0
2020-01-28,107.1922,108.0059,106.1104,107.0073,283203.0
2020-01-29,106.8131,107.6175,106.0642,106.1196,318583.0
2020-01-30,105.5556,108.8103,105.3707,108.7826,292709.0
2020-01-31,107.8025,108.0336,105.9578,106.1474,735393.0
2020-02-01,107.8025,108.0336,105.9578,106.1474,735393.0
2020-02-02,107.8025,108.0336,105.9578,106.1474,735393.0
2020-02-03,106.6374,107.9874,106.1844,107.3864,325918.0
2020-02-04,109.2264,109.2264,107.673,107.9134,280868.0
2020-02-05,108.9305,110.3406,108.348,110.0123,328961.0
2020-02-06,110.8168,110.9832,109.1848,109.6517,534081.0
2020-02-07,108.9675,109.2911,107.0165,107.3124,330050.0
2020-02-08,108.9675,109.2911,107.0165,107.3124,330050.0
2020-02-09,108.9675,109.2911,107.0165,107.3124,330050.0
2020-02-10,106.7946,108.3387,106.7946,107.7285,309979.0
2020-02-11,108.3572,110.114,108.3572,108.9398,452729.0
2020-02-12,109.9476,110.0216,107.8949,108.1538,278004.0
2020-02-13,107.6175,108.3942,107.3864,107.6083,195338.0
2020-02-14,107.5806,107.8579,106.6328,107.3032,405496.0
2020-02-15,107.5806,107.8579,106.6328,107.3032,405496.0
2020-02-16,107.5806,107.8579,106.6328,107.3032,405496.0
2020-02-17,107.5806,107.8579,106.6328,107.3032,405496.0
2020-02-18,107.0443,108.0983,106.582,107.2754,365519.0
2020-02-19,107.7285,108.9028,107.5528,108.3665,681734.0
2020-02-20,108.6624,109.9014,98.0199,101.1544,1423752.0
2020-02-21,100.2945,103.5307,99.6611,102.5876,887556.0
2020-02-22,100.2945,103.5307,99.6611,102.5876,887556.0
2020-02-23,100.2945,103.5307,99.6611,102.5876,887556.0
2020-02-24,99.037,101.3763,98.7319,100.5534,485579.0
2020-02-25,100.84,101.9912,98.6486,99.3606,574413.0
2020-02-26,100.0726,101.5705,99.712,100.4332,763517.0
2020-02-27,98.251,99.8322,96.4203,96.6145,653596.0
2020-02-28,93.2026,95.4309,91.8988,94.5803,940501.0
2020-02-29,93.2026,95.4309,91.8988,94.5803,940501.0
2020-03-01,93.2026,95.4309,91.8988,94.5803,940501.0
2020-03-02,95.0796,97.9182,93.7389,97.798,1159753.0
2020-03-03,97.798,101.1914,96.8734,97.4374,618209.0
2020-03-04,98.9168,100.7198,97.086,100.5164,501371.0
2020-03-05,97.7887,98.8521,96.7902,97.3449,512246.0
2020-03-06,94.4323,96.448,93.6926,94.9594,700705.0
2020-03-07,94.4323,96.448,93.6926,94.9594,700705.0
2020-03-08,94.4323,96.448,93.6926,94.9594,700705.0
2020-03-09,91.7232,91.7232,87.0076,87.1463,663986.0
2020-03-10,89.7075,91.8249,87.5993,91.529,762126.0
2020-03-11,89.0048,90.7047,87.0261,88.2836,639256.0
2020-03-12,82.6387,85.9335,74.5508,80.0886,774588.0
2020-03-13,85.0307,85.1271,79.2044,83.6905,1031410.0
2020-03-14,85.0307,85.1271,79.2044,83.6905,1031410.0
2020-03-15,85.0307,85.1271,79.2044,83.6905,1031410.0
2020-03-16,73.9923,80.9634,70.2974,74.9882,953579.0
2020-03-17,76.4867,79.4324,73.2664,77.6687,1023544.0
2020-03-18,72.8382,74.6997,69.8227,70.7162,961052.0
2020-03-19,69.9344,76.6914,67.952,72.8941,884594.0
2020-03-20,73.0337,74.9882,68.4918,69.255,1030331.0
2020-03-21,73.0337,74.9882,68.4918,69.255,1030331.0
2020-03-22,73.0337,74.9882,68.4918,69.255,1030331.0
2020-03-23,68.8454,70.0275,65.681,66.4721,875653.0
2020-03-24,69.1061,77.5756,68.7431,77.073,867713.0
2020-03-25,77.1661,83.3461,74.83,77.5942,1027687.0
2020-03-26,78.4598,85.7101,77.9386,85.2168,960590.0
2020-03-27,82.1455,82.8854,77.2871,77.6408,717224.0
2020-03-28,82.1455,82.8854,77.2871,77.6408,717224.0
2020-03-29,82.1455,82.8854,77.2871,77.6408,717224.0
2020-03-30,78.0782,83.0762,76.0958,82.5271,581380.0
2020-03-31,82.9273,84.9562,80.5446,81.5219,656733.0
2020-04-01,78.162,80.1816,75.9748,77.3709,632503.0
2020-04-02,77.7431,79.4184,74.467,77.7431,512110.0
2020-04-03,76.4494,78.1015,72.8057,74.2343,423490.0
2020-04-04,76.4494,78.1015,72.8057,74.2343,423490.0
2020-04-05,76.4494,78.1015,72.8057,74.2343,423490.0
2020-04-06,77.9386,79.1765,77.3522,78.4784,1102592.0
2020-04-07,81.1868,82.7597,79.2509,79.2788,383706.0
2020-04-08,80.3119,83.4764,78.4598,81.6336,347118.0
2020-04-09,83.7649,86.1848,82.8342,83.616,408085.0
2020-04-10,83.7649,86.1848,82.8342,83.616,408085.0
2020-04-11,83.7649,86.1848,82.8342,83.616,408085.0
2020-04-12,83.7649,86.1848,82.8342,83.616,408085.0
2020-04-13,83.0948,83.7649,80.8052,81.1589,343273.0
2020-04-14,83.2344,84.6119,81.3078,82.5736,303694.0
2020-04-15,79.1858,79.8559,76.4215,77.1754,581909.0
2020-04-16,77.4081,77.8628,74.5135,76.9706,1004105.0
2020-04-17,79.3998,82.3409,79.3998,81.9686,450966.0
2020-04-18,79.3998,82.3409,79.3998,81.9686,450966.0
2020-04-19,79.3998,82.3409,79.3998,81.9686,450966.0
2020-04-20,79.5394,81.7266,78.8135,79.1485,395928.0
2020-04-21,76.9241,78.8414,76.1888,77.7059,367818.0
2020-04-22,79.3719,80.042,76.9241,78.0224,523675.0
2020-04-23,79.2323,84.2023,79.1206,79.9583,535546.0
2020-04-24,82.8156,82.8156,79.7628,81.0844,522588.0
2020-04-25,82.8156,82.8156,79.7628,81.0844,522588.0
2020-04-26,82.8156,82.8156,79.7628,81.0844,522588.0
2020-04-27,81.6615,84.8445,80.4143,83.9697,369211.0
2020-04-28,84.8166,85.6264,82.0989,83.2623,442827.0
2020-04-29,84.8725,89.6133,84.8725,88.3627,406640.0
2020-04-30,86.9759,87.5436,83.0948,83.374,862386.0
2020-05-01,81.4009,84.1372,80.6945,81.6708,385893.0
2020-05-02,81.4009,84.1372,80.6945,81.6708,385893.0
2020-05-03,81.4009,84.1372,80.6945,81.6708,385893.0
2020-05-04,81.01,82.3037,80.2282,81.3357,398431.0
2020-05-05,82.7504,83.6718,80.9727,81.0472,397312.0
2020-05-06,81.6708,82.1175,79.7814,80.6191,358275.0
