,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,190.78,193.28,186.43,189.92,549958.0
2019-01-02,186.55,196.335,186.55,195.84,825411.0
2019-01-03,194.36,196.22,189.3,189.64,632864.0
2019-01-04,194.61,201.06,191.506,200.41,680337.0
2019-01-05,194.61,201.06,191.506,200.41,680337.0
2019-01-06,194.61,201.06,191.506,200.41,680337.0
2019-01-07,201.72,210.01,199.39,205.04,821820.0
2019-01-08,206.78,208.28,201.67,207.06,527239.0
2019-01-09,208.39,212.98,206.565,210.75,652692.0
2019-01-10,208.66,213.97,206.97,212.47,516715.0
2019-01-11,210.19,216.38,209.4,215.27,486066.0
2019-01-12,210.19,216.38,209.4,215.27,486066.0
2019-01-13,210.19,216.38,209.4,215.27,486066.0
2019-01-14,211.65,218.46,211.65,215.73,443209.0
2019-01-15,214.93,219.89,212.17,218.71,595858.0
2019-01-16,220.82,227.46,219.36,224.77,692626.0
2019-01-17,224.34,226.845,219.745,225.37,612098.0
2019-01-18,227.72,232.63,224.14,230.99,553105.0
2019-01-19,227.72,232.63,224.14,230.99,553105.0
2019-01-20,227.72,232.63,224.14,230.99,553105.0
2019-01-21,227.72,232.63,224.14,230.99,553105.0
2019-01-22,228.43,230.34,224.555,225.74,552055.0
2019-01-23,228.51,228.58,221.939,225.34,508833.0
2019-01-24,225.61,229.095,221.0,228.36,886405.0
2019-01-25,239.0,244.43,228.67,242.09,1257163.0
2019-01-26,239.0,244.43,228.67,242.09,1257163.0
2019-01-27,239.0,244.43,228.67,242.09,1257163.0
2019-01-28,239.39,244.02,235.01,243.64,776987.0
2019-01-29,242.34,244.31,239.145,240.68,706438.0
2019-01-30,242.62,244.98,238.74,240.0,566430.0
2019-01-31,238.44,241.33,229.01,233.38,786804.0
2019-02-01,234.83,239.76,234.44,238.28,449525.0
2019-02-02,234.83,239.76,234.44,238.28,449525.0
2019-02-03,234.83,239.76,234.44,238.28,449525.0
2019-02-04,238.63,240.0,237.28,239.56,401973.0
2019-02-05,239.52,239.54,234.49,235.83,442403.0
2019-02-06,235.1,237.475,234.35,236.83,394920.0
2019-02-07,237.39,241.81,232.885,236.13,395261.0
2019-02-08,234.89,236.89,229.1,233.22,401601.0
2019-02-09,234.89,236.89,229.1,233.22,401601.0
2019-02-10,234.89,236.89,229.1,233.22,401601.0
2019-02-11,234.55,239.11,234.315,238.75,461275.0
2019-02-12,240.67,245.825,240.67,242.13,456774.0
2019-02-13,243.84,245.35,241.47,244.12,528725.0
2019-02-14,240.7,242.91,238.72,240.39,430483.0
2019-02-15,242.61,247.85,241.08,246.95,510112.0
2019-02-16,242.61,247.85,241.08,246.95,510112.0
2019-02-17,242.61,247.85,241.08,246.95,510112.0
2019-02-18,242.61,247.85,241.08,246.95,510112.0
2019-02-19,244.43,249.88,243.01,248.85,482517.0
2019-02-20,249.0,250.89,247.34,250.81,258286.0
2019-02-21,250.47,250.47,245.0,245.65,459613.0
2019-02-22,246.43,246.9,243.63,245.82,457182.0
2019-02-23,246.43,246.9,243.63,245.82,457182.0
2019-02-24,246.43,246.9,243.63,245.82,457182.0
2019-02-25,248.19,250.56,245.82,247.78,360843.0
2019-02-26,246.19,248.58,245.0,245.09,279644.0
2019-02-27,245.29,251.0,244.0,250.51,377715.0
2019-02-28,253.15,254.98,246.91,247.16,373066.0
2019-03-01,249.82,252.725,246.97,249.67,316245.0
2019-03-02,249.82,252.725,246.97,249.67,316245.0
2019-03-03,249.82,252.725,246.97,249.67,316245.0
2019-03-04,250.95,254.47,246.61,249.09,348270.0
2019-03-05,249.44,253.74,244.77,248.01,326920.0
2019-03-06,247.0,249.23,241.8,242.75,247614.0
2019-03-07,241.69,241.69,236.385,239.2,377930.0
2019-03-08,236.79,239.88,235.495,239.69,323892.0
2019-03-09,236.79,239.88,235.495,239.69,323892.0
2019-03-10,236.79,239.88,235.495,239.69,323892.0
2019-03-11,240.64,242.46,238.88,242.19,397424.0
2019-03-12,242.99,243.31,238.72,240.94,423630.0
2019-03-13,243.15,244.755,240.34,244.01,457134.0
2019-03-14,245.79,246.32,242.65,245.48,364436.0
2019-03-15,245.95,248.54,245.51,246.21,553571.0
2019-03-16,245.95,248.54,245.51,246.21,553571.0
2019-03-17,245.95,248.54,245.51,246.21,553571.0
2019-03-18,246.73,251.28,246.73,250.27,353336.0
2019-03-19,252.69,253.6,244.65,245.53,304434.0
2019-03-20,245.18,245.66,236.43,236.71,492705.0
2019-03-21,233.68,234.93,227.6,228.31,880133.0
2019-03-22,223.94,225.23,207.7,212.19,1182303.0
2019-03-23,223.94,225.23,207.7,212.19,1182303.0
2019-03-24,223.94,225.23,207.7,212.19,1182303.0
2019-03-25,212.41,216.88,211.83,214.67,537040.0
2019-03-26,216.71,220.14,216.09,219.89,447559.0
2019-03-27,219.03,220.0,215.52,218.3,401633.0
2019-03-28,218.74,222.985,217.98,222.59,687128.0
2019-03-29,225.32,226.0,220.715,222.36,483765.0
2019-03-30,225.32,226.0,220.715,222.36,483765.0
2019-03-31,225.32,226.0,220.715,222.36,483765.0
2019-04-01,225.0,231.375,223.86,230.74,765939.0
2019-04-02,229.53,234.55,227.01,232.36,441221.0
2019-04-03,235.22,237.87,233.63,233.78,607591.0
2019-04-04,233.39,238.54,232.84,236.02,337775.0
2019-04-05,236.53,237.54,234.63,237.46,296557.0
2019-04-06,236.53,237.54,234.63,237.46,296557.0
2019-04-07,236.53,237.54,234.63,237.46,296557.0
2019-04-08,236.68,239.08,235.45,238.92,311871.0
2019-04-09,237.44,237.845,233.65,234.54,495853.0
2019-04-10,234.27,237.31,231.4,237.27,316553.0
2019-04-11,238.37,241.47,236.38,238.43,301715.0
2019-04-12,242.69,246.895,239.0,243.74,488282.0
2019-04-13,242.69,246.895,239.0,243.74,488282.0
2019-04-14,242.69,246.895,239.0,243.74,488282.0
2019-04-15,243.3,244.68,239.035,240.11,299500.0
2019-04-16,241.01,246.51,239.9,246.2,567851.0
2019-04-17,246.94,247.61,242.55,245.72,420091.0
2019-04-18,245.15,245.59,240.47,243.14,482195.0
2019-04-19,245.15,245.59,240.47,243.14,482195.0
2019-04-20,245.15,245.59,240.47,243.14,482195.0
2019-04-21,245.15,245.59,240.47,243.14,482195.0
2019-04-22,242.47,244.23,240.97,242.67,303981.0
2019-04-23,242.2,250.02,240.62,249.75,472811.0
2019-04-24,249.52,250.26,246.23,248.88,571608.0
2019-04-25,248.28,251.39,241.09,247.36,455127.0
2019-04-26,242.0,247.87,234.77,247.63,1142045.0
2019-04-27,242.0,247.87,234.77,247.63,1142045.0
2019-04-28,242.0,247.87,234.77,247.63,1142045.0
2019-04-29,248.33,255.345,247.75,252.69,530815.0
2019-04-30,252.25,254.59,249.1,251.72,385307.0
2019-05-01,247.8,256.46,247.8,250.43,622839.0
2019-05-02,249.57,255.61,249.57,255.42,407519.0
2019-05-03,256.01,259.95,256.01,258.61,363174.0
2019-05-04,256.01,259.95,256.01,258.61,363174.0
2019-05-05,256.01,259.95,256.01,258.61,363174.0
2019-05-06,251.76,259.55,251.76,257.66,362883.0
2019-05-07,253.83,253.89,248.71,251.35,404781.0
2019-05-08,250.41,253.33,247.815,250.57,322775.0
2019-05-09,246.83,251.57,245.18,250.15,346767.0
2019-05-10,248.21,251.42,242.995,247.89,351338.0
2019-05-11,248.21,251.42,242.995,247.89,351338.0
2019-05-12,248.21,251.42,242.995,247.89,351338.0
2019-05-13,239.55,242.74,231.0,232.08,618635.0
2019-05-14,233.77,238.95,232.72,236.34,467577.0
2019-05-15,232.54,232.68,226.06,229.48,537521.0
2019-05-16,231.0,236.1,231.0,232.3,391742.0
2019-05-17,229.97,233.98,228.135,229.77,366752.0
2019-05-18,229.97,233.98,228.135,229.77,366752.0
2019-05-19,229.97,233.98,228.135,229.77,366752.0
2019-05-20,227.92,233.235,227.92,232.85,386726.0
2019-05-21,234.42,237.545,233.54,236.85,265266.0
2019-05-22,235.02,235.75,231.17,231.17,259159.0
2019-05-23,228.04,228.04,219.58,221.0,603100.0
2019-05-24,222.0,225.21,219.555,224.6,407876.0
2019-05-25,222.0,225.21,219.555,224.6,407876.0
2019-05-26,222.0,225.21,219.555,224.6,407876.0
2019-05-27,222.0,225.21,219.555,224.6,407876.0
2019-05-28,223.58,223.58,218.93,219.65,438351.0
2019-05-29,216.72,218.6,212.94,217.89,484212.0
2019-05-30,218.0,220.0,209.24,211.64,419739.0
2019-05-31,210.19,210.19,201.295,201.4,662923.0
2019-06-01,210.19,210.19,201.295,201.4,662923.0
2019-06-02,210.19,210.19,201.295,201.4,662923.0
2019-06-03,200.42,204.68,197.34,202.78,1241685.0
2019-06-04,206.82,214.75,205.99,214.67,762180.0
2019-06-05,214.91,216.385,208.5,212.27,538021.0
2019-06-06,211.88,215.37,210.83,214.5,326098.0
2019-06-07,213.0,215.15,210.53,212.94,392445.0
2019-06-08,213.0,215.15,210.53,212.94,392445.0
2019-06-09,213.0,215.15,210.53,212.94,392445.0
2019-06-10,215.25,219.69,214.35,214.52,347302.0
2019-06-11,216.56,219.37,214.75,215.52,319817.0
2019-06-12,215.64,215.97,212.95,213.79,343944.0
2019-06-13,215.35,217.79,215.07,217.54,457519.0
2019-06-14,217.67,218.51,213.23,218.18,459576.0
2019-06-15,217.67,218.51,213.23,218.18,459576.0
2019-06-16,217.67,218.51,213.23,218.18,459576.0
2019-06-17,217.79,220.86,216.05,217.51,390024.0
2019-06-18,218.39,224.87,217.52,220.8,502367.0
2019-06-19,222.06,224.43,213.6,213.74,588103.0
