,TJX US Equity,TJX US Equity,TJX US Equity,TJX US Equity,TJX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,57.8231,57.9436,57.4019,57.7852,3631034.0
2020-01-02,58.0407,58.3909,57.7852,58.3909,5190651.0
2020-01-03,57.7758,58.2679,57.5108,57.9556,3229681.0
2020-01-04,57.7758,58.2679,57.5108,57.9556,3229681.0
2020-01-05,57.7758,58.2679,57.5108,57.9556,3229681.0
2020-01-06,57.9177,58.3341,57.6433,58.3246,5223004.0
2020-01-07,57.9461,58.3625,57.8609,58.2868,4609168.0
2020-01-08,58.4193,59.0439,58.4193,58.5991,3658125.0
2020-01-09,58.741,59.4707,58.6843,59.2805,5585373.0
2020-01-10,59.2994,59.6496,58.8641,58.9966,3853438.0
2020-01-11,59.2994,59.6496,58.8641,58.9966,3853438.0
2020-01-12,59.2994,59.6496,58.8641,58.9966,3853438.0
2020-01-13,58.9776,59.2994,58.7032,59.1669,3486875.0
2020-01-14,59.148,59.4272,58.7221,59.3562,5316757.0
2020-01-15,59.2142,59.4792,58.4004,58.4855,5020455.0
2020-01-16,58.8641,59.4556,58.8168,59.4414,4114686.0
2020-01-17,59.4508,59.6022,59.1149,59.3183,5382355.0
2020-01-18,59.4508,59.6022,59.1149,59.3183,5382355.0
2020-01-19,59.4508,59.6022,59.1149,59.3183,5382355.0
2020-01-20,59.4508,59.6022,59.1149,59.3183,5382355.0
2020-01-21,59.0912,59.394,58.7582,58.9587,5090646.0
2020-01-22,59.413,59.6306,59.0723,59.0817,2943092.0
2020-01-23,58.9966,59.1758,58.6086,59.1007,3529568.0
2020-01-24,59.1007,59.148,57.719,57.9082,3909467.0
2020-01-25,59.1007,59.148,57.719,57.9082,3909467.0
2020-01-26,59.1007,59.148,57.719,57.9082,3909467.0
2020-01-27,57.0281,57.9376,56.9429,57.6622,3795661.0
2020-01-28,57.6527,58.3294,57.5202,58.0123,3928486.0
2020-01-29,58.3814,58.4666,57.8041,57.8136,3449225.0
2020-01-30,57.4256,57.7332,56.7773,57.2553,5375612.0
2020-01-31,57.1417,57.2174,55.6843,55.8736,6151940.0
2020-02-01,57.1417,57.2174,55.6843,55.8736,6151940.0
2020-02-02,57.1417,57.2174,55.6843,55.8736,6151940.0
2020-02-03,56.4224,57.5108,56.271,57.0092,6331713.0
2020-02-04,57.9177,58.5518,57.8041,57.9934,4266676.0
2020-02-05,58.6748,59.1007,58.5423,58.883,4353206.0
2020-02-06,59.1196,59.148,58.495,58.5045,4588879.0
2020-02-07,58.2963,58.5328,57.8609,58.0881,3727244.0
2020-02-08,58.2963,58.5328,57.8609,58.0881,3727244.0
2020-02-09,58.2963,58.5328,57.8609,58.0881,3727244.0
2020-02-10,58.1543,58.5518,57.9082,58.3436,3449894.0
2020-02-11,58.9209,59.2,58.5234,59.1101,4490222.0
2020-02-12,59.642,60.193,59.2621,60.117,4304711.0
2020-02-13,59.889,60.3212,59.6515,60.1835,5195428.0
2020-02-14,60.4399,60.6869,59.9792,60.2025,5472301.0
2020-02-15,60.4399,60.6869,59.9792,60.2025,5472301.0
2020-02-16,60.4399,60.6869,59.9792,60.2025,5472301.0
2020-02-17,60.4399,60.6869,59.9792,60.2025,5472301.0
2020-02-18,60.1835,60.6584,59.889,60.2784,3498251.0
2020-02-19,60.3924,60.7154,60.212,60.6109,3384465.0
2020-02-20,60.7914,61.0763,59.9935,60.6679,3015244.0
2020-02-21,60.3354,60.7154,59.889,60.136,4681781.0
2020-02-22,60.3354,60.7154,59.889,60.136,4681781.0
2020-02-23,60.3354,60.7154,59.889,60.136,4681781.0
2020-02-24,58.5877,59.1101,58.2125,58.6542,5638519.0
2020-02-25,58.8631,59.0056,56.631,56.7259,8317616.0
2020-02-26,60.9054,61.6937,60.0505,60.7819,14678178.0
2020-02-27,58.6637,60.5064,57.0489,57.1059,12640131.0
2020-02-28,55.8901,57.6758,55.2252,56.8019,12936433.0
2020-02-29,55.8901,57.6758,55.2252,56.8019,12936433.0
2020-03-01,55.8901,57.6758,55.2252,56.8019,12936433.0
2020-03-02,57.2009,59.1956,56.3935,59.0721,10155066.0
2020-03-03,59.0721,60.4019,56.7924,57.5713,10093113.0
2020-03-04,58.0273,59.3096,57.1249,59.1481,6853630.0
2020-03-05,57.4668,58.4547,56.2225,56.5835,9162348.0
2020-03-06,54.3893,56.289,54.1613,55.6241,10401531.0
2020-03-07,54.3893,56.289,54.1613,55.6241,10401531.0
2020-03-08,54.3893,56.289,54.1613,55.6241,10401531.0
2020-03-09,52.5655,54.8299,52.0526,54.3323,11188700.0
2020-03-10,55.6241,56.1655,52.8885,55.0637,12575875.0
2020-03-11,53.8859,54.4748,52.5275,52.822,12107700.0
