,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,30.8005,31.0961,30.7019,30.9582,106829.0
2020-01-02,31.1454,31.2341,30.5836,30.7019,229838.0
2020-01-03,30.4654,31.3918,30.4259,31.3031,225940.0
2020-01-04,30.4654,31.3918,30.4259,31.3031,225940.0
2020-01-05,30.4654,31.3918,30.4259,31.3031,225940.0
2020-01-06,31.1553,31.2834,30.8202,31.1159,170472.0
2020-01-07,30.968,31.1257,30.7413,30.8645,155972.0
2020-01-08,30.8596,30.9877,30.6428,30.8892,154259.0
2020-01-09,30.9877,31.0666,30.7413,30.83,101606.0
2020-01-10,30.8596,30.899,30.5146,30.6033,109185.0
2020-01-11,30.8596,30.899,30.5146,30.6033,109185.0
2020-01-12,30.8596,30.899,30.5146,30.6033,109185.0
2020-01-13,30.5935,30.7709,30.4949,30.7512,89689.0
2020-01-14,30.6723,30.8596,30.4949,30.5639,121293.0
2020-01-15,30.4851,30.899,30.4555,30.8793,185780.0
2020-01-16,31.0567,31.3918,30.9976,31.3524,107826.0
2020-01-17,31.5495,31.5495,31.037,31.1159,98843.0
2020-01-18,31.5495,31.5495,31.037,31.1159,98843.0
2020-01-19,31.5495,31.5495,31.037,31.1159,98843.0
2020-01-20,31.5495,31.5495,31.037,31.1159,98843.0
2020-01-21,30.968,31.037,30.2682,30.2879,91989.0
2020-01-22,30.3964,30.5146,29.9972,30.1697,107098.0
2020-01-23,30.0415,30.2337,29.6769,30.1302,120088.0
2020-01-24,30.15,30.2091,29.6276,29.805,117475.0
2020-01-25,30.15,30.2091,29.6276,29.805,117475.0
2020-01-26,30.15,30.2091,29.6276,29.805,117475.0
2020-01-27,29.3713,29.6867,29.2728,29.4206,116932.0
2020-01-28,29.5093,29.6177,29.3023,29.4699,96674.0
2020-01-29,29.4206,29.6079,29.253,29.2925,81449.0
2020-01-30,28.9968,29.3615,28.9278,29.322,71618.0
2020-01-31,29.1545,29.1988,28.1097,28.3167,129426.0
2020-02-01,29.1545,29.1988,28.1097,28.3167,129426.0
2020-02-02,29.1545,29.1988,28.1097,28.3167,129426.0
2020-02-03,28.4251,28.7898,28.1196,28.4547,89677.0
2020-02-04,28.8292,29.2333,28.5631,29.0855,122724.0
2020-02-05,29.2826,29.2925,28.8095,28.8687,143112.0
2020-02-06,29.0461,29.0954,28.3167,28.4646,97114.0
2020-02-07,28.297,28.297,27.6662,28.0309,158057.0
2020-02-08,28.297,28.297,27.6662,28.0309,158057.0
2020-02-09,28.297,28.297,27.6662,28.0309,158057.0
2020-02-10,28.0112,28.159,27.7253,28.09,69347.0
2020-02-11,28.1984,28.5336,28.1492,28.2477,72249.0
2020-02-12,28.4744,28.504,28.3463,28.3561,52672.0
2020-02-13,28.297,28.4744,28.0013,28.3167,86963.0
2020-02-14,28.3167,28.3167,27.9816,28.0309,123110.0
2020-02-15,28.3167,28.3167,27.9816,28.0309,123110.0
2020-02-16,28.3167,28.3167,27.9816,28.0309,123110.0
2020-02-17,28.3167,28.3167,27.9816,28.0309,123110.0
2020-02-18,27.9323,28.3118,27.8042,28.228,143359.0
2020-02-19,28.3364,28.4843,28.1984,28.4054,75474.0
2020-02-20,28.3069,29.0658,28.3069,29.0264,167432.0
2020-02-21,29.0756,29.3578,28.8785,29.2235,91593.0
2020-02-22,29.0756,29.3578,28.8785,29.2235,91593.0
2020-02-23,29.0756,29.3578,28.8785,29.2235,91593.0
2020-02-24,28.4941,28.5828,28.2773,28.2773,77282.0
