,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,36.9073,37.5828,36.9073,37.436,558731.0
2020-01-02,37.622,37.7982,37.1015,37.201,479178.0
2020-01-03,36.7115,36.971,36.6038,36.6528,525309.0
2020-01-04,36.7115,36.971,36.6038,36.6528,525309.0
2020-01-05,36.7115,36.971,36.6038,36.6528,525309.0
2020-01-06,36.222,36.3101,35.5563,35.8207,578030.0
2020-01-07,35.6836,35.9283,35.3997,35.7815,431551.0
2020-01-08,35.8109,37.0737,35.7032,36.9856,893101.0
2020-01-09,37.0248,37.1129,36.4766,37.1129,523595.0
2020-01-10,37.1129,37.1619,36.4864,36.7703,739891.0
2020-01-11,37.1129,37.1619,36.4864,36.7703,739891.0
2020-01-12,37.1129,37.1619,36.4864,36.7703,739891.0
2020-01-13,36.9171,37.5534,36.8094,37.5339,630953.0
2020-01-14,37.2989,37.9352,37.2598,37.759,892510.0
2020-01-15,37.5926,38.0136,37.4555,37.8276,518755.0
2020-01-16,37.994,38.6205,37.994,38.503,867890.0
2020-01-17,38.6988,39.2079,38.3954,39.0317,658804.0
2020-01-18,38.6988,39.2079,38.3954,39.0317,658804.0
2020-01-19,38.6988,39.2079,38.3954,39.0317,658804.0
2020-01-20,38.6988,39.2079,38.3954,39.0317,658804.0
2020-01-21,38.5324,38.5324,37.6905,38.1604,826178.0
2020-01-22,38.4247,39.0709,38.2761,39.0415,1212722.0
2020-01-23,38.6597,38.9142,38.1115,38.7282,710964.0
2020-01-24,38.4149,38.552,36.5745,36.8388,2087941.0
2020-01-25,38.4149,38.552,36.5745,36.8388,2087941.0
2020-01-26,38.4149,38.552,36.5745,36.8388,2087941.0
2020-01-27,35.9283,36.222,35.3508,35.3605,1126579.0
2020-01-28,35.7228,36.0997,35.1158,35.9871,556186.0
2020-01-29,36.036,36.4864,35.5759,35.5857,549644.0
2020-01-30,35.2529,35.3703,34.2837,35.0179,796194.0
2020-01-31,34.6459,34.8221,33.7648,34.0879,1441116.0
2020-02-01,34.6459,34.8221,33.7648,34.0879,1441116.0
2020-02-02,34.6459,34.8221,33.7648,34.0879,1441116.0
2020-02-03,34.1075,34.8417,33.9508,34.3326,687479.0
2020-02-04,34.9983,35.2137,34.7242,34.7829,557173.0
2020-02-05,35.2333,36.1437,35.1745,35.9088,977474.0
2020-02-06,36.222,36.3787,35.3801,35.5465,975747.0
2020-02-07,34.8711,35.1843,32.8397,33.1187,2052738.0
2020-02-08,34.8711,35.1843,32.8397,33.1187,2052738.0
2020-02-09,34.8711,35.1843,32.8397,33.1187,2052738.0
2020-02-10,32.8544,34.8221,32.8544,33.8921,1484103.0
2020-02-11,34.2935,35.3018,34.2935,34.8319,888066.0
2020-02-12,35.2137,36.0067,35.1941,35.2822,560643.0
2020-02-13,35.0179,35.1354,33.6082,33.6963,819922.0
2020-02-14,33.9214,33.9214,33.2851,33.4809,862977.0
2020-02-15,33.9214,33.9214,33.2851,33.4809,862977.0
2020-02-16,33.9214,33.9214,33.2851,33.4809,862977.0
2020-02-17,33.9214,33.9214,33.2851,33.4809,862977.0
2020-02-18,33.3341,33.6669,32.7075,33.011,1262169.0
2020-02-19,33.0991,33.3243,32.497,32.5509,914925.0
2020-02-20,32.404,33.432,32.3551,32.4726,1291586.0
2020-02-21,32.218,33.0306,32.1691,32.7173,924803.0
2020-02-22,32.218,33.0306,32.1691,32.7173,924803.0
2020-02-23,32.218,33.0306,32.1691,32.7173,924803.0
2020-02-24,31.6453,31.7285,31.1901,31.4446,760974.0
2020-02-25,31.6796,31.6796,29.5846,29.937,1019648.0
2020-02-26,30.0349,30.3874,29.1534,29.3399,992610.0
2020-02-27,28.5273,29.1538,27.6952,27.7441,1422026.0
2020-02-28,27.2644,28.4294,26.7554,28.1651,1759531.0
2020-02-29,27.2644,28.4294,26.7554,28.1651,1759531.0
2020-03-01,27.2644,28.4294,26.7554,28.1651,1759531.0
2020-03-02,28.5665,29.6238,27.749,29.5944,1602268.0
2020-03-03,29.6335,29.8783,28.0084,28.5567,1117197.0
2020-03-04,29.1734,29.2615,28.3805,28.9972,900532.0
2020-03-05,27.7539,28.2532,27.3721,27.7148,1413674.0
2020-03-06,26.912,28.4392,26.6673,28.1259,1020856.0
2020-03-07,26.912,28.4392,26.6673,28.1259,1020856.0
2020-03-08,26.912,28.4392,26.6673,28.1259,1020856.0
2020-03-09,26.0994,26.9022,25.2771,26.1288,1415872.0
2020-03-10,27.3232,27.4553,25.8351,27.3917,1163533.0
2020-03-11,26.677,26.6966,23.9359,24.3667,1157000.0
2020-03-12,22.8688,23.1723,20.5585,22.5262,1157510.0
2020-03-13,23.5541,26.8728,23.5541,26.8141,1586602.0
2020-03-14,23.5541,26.8728,23.5541,26.8141,1586602.0
2020-03-15,23.5541,26.8728,23.5541,26.8141,1586602.0
2020-03-16,23.7303,26.4715,23.4856,24.3275,1392489.0
2020-03-17,25.1401,28.586,24.582,28.263,1358284.0
2020-03-18,26.3246,28.6448,22.7416,24.2198,2138671.0
2020-03-19,23.838,24.1807,21.3123,23.0157,1439404.0
2020-03-20,23.3975,24.1023,20.7249,20.9403,1082355.0
2020-03-21,23.3975,24.1023,20.7249,20.9403,1082355.0
2020-03-22,23.3975,24.1023,20.7249,20.9403,1082355.0
2020-03-23,20.9696,21.2242,18.0425,18.1893,1370983.0
