,UPBD US Equity,UPBD US Equity,UPBD US Equity,UPBD US Equity,UPBD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,12.9999,13.2031,12.8779,13.1625,1090615.0
2019-01-02,13.0812,13.3901,12.9105,13.3901,1212460.0
2019-01-03,12.9674,13.317,12.9105,13.2682,1654034.0
2019-01-04,13.2275,13.2275,12.9511,13.0975,2183359.0
2019-01-05,13.2275,13.2275,12.9511,13.0975,2183359.0
2019-01-06,13.2275,13.2275,12.9511,13.0975,2183359.0
2019-01-07,13.1381,13.3657,13.0893,13.1137,1952803.0
2019-01-08,13.3007,13.821,13.13,13.7479,3309916.0
2019-01-09,13.821,13.8617,13.4877,13.634,1820492.0
2019-01-10,13.6178,13.8617,13.3983,13.7479,1126783.0
2019-01-11,13.7153,14.0649,13.6991,13.943,1911414.0
2019-01-12,13.7153,14.0649,13.6991,13.943,1911414.0
2019-01-13,13.7153,14.0649,13.6991,13.943,1911414.0
2019-01-14,13.9186,14.0893,13.4877,13.5853,1476108.0
2019-01-15,13.6584,13.8129,13.2194,13.3332,1859464.0
2019-01-16,13.3414,13.5853,13.0893,13.5283,2203660.0
2019-01-17,13.5202,13.7885,13.382,13.5527,1825742.0
2019-01-18,13.6178,13.8942,13.5609,13.821,1225174.0
2019-01-19,13.6178,13.8942,13.5609,13.821,1225174.0
2019-01-20,13.6178,13.8942,13.5609,13.821,1225174.0
2019-01-21,13.6178,13.8942,13.5609,13.821,1225174.0
2019-01-22,13.7479,13.9023,13.3495,13.3983,1268069.0
2019-01-23,13.4714,14.0731,13.4714,14.008,2591734.0
2019-01-24,14.008,14.3657,13.9023,14.317,2005337.0
2019-01-25,14.3251,14.3495,13.756,14.1056,944924.0
2019-01-26,14.3251,14.3495,13.756,14.1056,944924.0
2019-01-27,14.3251,14.3495,13.756,14.1056,944924.0
2019-01-28,14.0405,14.1544,13.8779,13.9348,1536172.0
2019-01-29,13.943,14.3657,13.8617,14.2113,1057538.0
2019-01-30,14.2113,14.3576,13.9836,14.3332,1350288.0
2019-01-31,14.3332,14.5121,14.1462,14.2275,1208133.0
2019-02-01,14.2275,14.4226,13.9918,14.008,1475668.0
2019-02-02,14.2275,14.4226,13.9918,14.008,1475668.0
2019-02-03,14.2275,14.4226,13.9918,14.008,1475668.0
2019-02-04,13.9999,14.6096,13.9999,14.5446,1217824.0
2019-02-05,14.1462,14.5771,14.1381,14.4633,741373.0
2019-02-06,14.3657,14.5202,14.1625,14.2926,848533.0
2019-02-07,14.2357,14.3332,14.1056,14.3007,771715.0
2019-02-08,14.2519,14.3332,13.9105,14.1462,1083524.0
2019-02-09,14.2519,14.3332,13.9105,14.1462,1083524.0
2019-02-10,14.2519,14.3332,13.9105,14.1462,1083524.0
2019-02-11,14.0893,14.1787,13.9186,13.9674,856882.0
2019-02-12,14.0487,14.6503,14.0161,14.5852,1134699.0
2019-02-13,14.5202,14.6259,14.2763,14.5365,628885.0
2019-02-14,14.4714,15.0161,14.3088,14.4796,1122811.0
2019-02-15,14.5365,14.7235,14.4877,14.6015,692623.0
2019-02-16,14.5365,14.7235,14.4877,14.6015,692623.0
2019-02-17,14.5365,14.7235,14.4877,14.6015,692623.0
2019-02-18,14.5365,14.7235,14.4877,14.6015,692623.0
2019-02-19,14.5852,14.6665,14.4389,14.6096,642922.0
2019-02-20,14.6015,14.7316,14.5121,14.5852,646073.0
2019-02-21,14.5852,14.7885,14.5202,14.6503,547820.0
2019-02-22,14.6747,14.9267,14.6584,14.7804,589866.0
2019-02-23,14.6747,14.9267,14.6584,14.7804,589866.0
2019-02-24,14.6747,14.9267,14.6584,14.7804,589866.0
2019-02-25,14.8454,14.8617,14.5527,14.6178,975639.0
2019-02-26,15.13,15.5608,14.943,15.2682,1824472.0
2019-02-27,14.6503,15.4633,14.2031,15.0649,1586847.0
2019-02-28,15.0893,15.3088,14.8861,15.13,1574674.0
2019-03-01,15.1462,15.8698,15.1462,15.7641,2129833.0
2019-03-02,15.1462,15.8698,15.1462,15.7641,2129833.0
2019-03-03,15.1462,15.8698,15.1462,15.7641,2129833.0
2019-03-04,15.8373,15.9267,15.3088,15.569,1788014.0
2019-03-05,15.634,16.0649,15.5626,16.0161,2239143.0
2019-03-06,16.008,16.4064,15.8617,16.382,1478508.0
2019-03-07,16.3332,16.9023,16.2844,16.8535,4417715.0
2019-03-08,16.8291,17.2763,16.634,16.6503,3023142.0
2019-03-09,16.8291,17.2763,16.634,16.6503,3023142.0
2019-03-10,16.8291,17.2763,16.634,16.6503,3023142.0
2019-03-11,16.6096,17.3901,16.4389,17.382,2862714.0
2019-03-12,17.3982,17.6421,17.26,17.5283,1643337.0
2019-03-13,17.5283,17.5934,16.9511,17.1056,1234137.0
2019-03-14,17.0486,18.512,16.9273,17.3169,3285630.0
2019-03-15,17.8291,18.1137,17.0649,17.3495,3384798.0
2019-03-16,17.8291,18.1137,17.0649,17.3495,3384798.0
2019-03-17,17.8291,18.1137,17.0649,17.3495,3384798.0
2019-03-18,17.5121,17.6584,17.2112,17.2356,1241428.0
2019-03-19,17.2112,17.3413,15.9186,16.008,5171930.0
2019-03-20,16.0568,16.3251,15.4633,15.5365,2755839.0
2019-03-21,15.5608,16.3251,15.5608,16.1706,1520209.0
2019-03-22,16.073,16.3495,15.9755,15.9917,917905.0
2019-03-23,16.073,16.3495,15.9755,15.9917,917905.0
2019-03-24,16.073,16.3495,15.9755,15.9917,917905.0
2019-03-25,16.0486,16.5446,15.9348,16.3251,1184328.0
2019-03-26,16.4389,16.6828,16.2112,16.634,765451.0
2019-03-27,16.5852,17.0974,16.5852,17.0405,965061.0
2019-03-28,17.0486,17.3657,17.008,17.1706,727874.0
2019-03-29,17.1787,17.2519,16.8454,16.9673,684150.0
2019-03-30,17.1787,17.2519,16.8454,16.9673,684150.0
2019-03-31,17.1787,17.2519,16.8454,16.9673,684150.0
2019-04-01,16.9186,17.0974,16.7153,16.9836,1244654.0
2019-04-02,16.9836,16.9917,16.7478,16.9186,692117.0
2019-04-03,16.9186,17.2397,16.8616,17.1381,1753805.0
2019-04-04,17.1462,17.26,16.8291,17.1056,624657.0
2019-04-05,17.0974,17.1787,16.5893,16.6909,1155753.0
2019-04-06,17.0974,17.1787,16.5893,16.6909,1155753.0
2019-04-07,17.0974,17.1787,16.5893,16.6909,1155753.0
2019-04-08,16.6828,16.699,16.3657,16.4064,569353.0
2019-04-09,16.3495,16.821,16.3495,16.7356,744562.0
2019-04-10,16.756,16.9999,16.5852,16.7478,901233.0
2019-04-11,16.6909,16.8698,16.5446,16.7722,1051469.0
2019-04-12,16.821,16.8698,16.5202,16.6584,1685861.0
2019-04-13,16.821,16.8698,16.5202,16.6584,1685861.0
2019-04-14,16.821,16.8698,16.5202,16.6584,1685861.0
2019-04-15,16.699,16.7885,16.569,16.6584,648506.0
2019-04-16,16.6096,16.7153,16.2356,16.6665,870524.0
2019-04-17,16.6747,17.3251,16.4958,17.3169,1382471.0
2019-04-18,17.26,17.5771,17.0812,17.3738,1179064.0
2019-04-19,17.26,17.5771,17.0812,17.3738,1179064.0
2019-04-20,17.26,17.5771,17.0812,17.3738,1179064.0
2019-04-21,17.26,17.5771,17.0812,17.3738,1179064.0
2019-04-22,18.26,19.325,18.2112,18.6177,3866850.0
2019-04-23,18.6096,19.0242,18.3088,18.9755,1255868.0
2019-04-24,18.9998,19.9185,18.9673,19.8047,1439527.0
2019-04-25,19.9836,20.2844,19.6015,20.2193,961644.0
2019-04-26,19.821,20.2681,19.6746,19.8291,1004527.0
2019-04-27,19.821,20.2681,19.6746,19.8291,1004527.0
2019-04-28,19.821,20.2681,19.6746,19.8291,1004527.0
2019-04-29,19.9348,20.2844,19.7559,20.1868,1465553.0
2019-04-30,20.26,20.2925,20.0621,20.2681,881419.0
2019-05-01,20.325,20.3657,19.9023,19.9104,837249.0
2019-05-02,19.8372,20.1299,19.7072,20.0242,927494.0
2019-05-03,20.1218,20.2763,19.9673,20.1218,1872520.0
2019-05-04,20.1218,20.2763,19.9673,20.1218,1872520.0
2019-05-05,20.1218,20.2763,19.9673,20.1218,1872520.0
2019-05-06,19.9185,20.4876,19.7315,20.3657,1265906.0
2019-05-07,20.1624,21.5445,20.0811,21.5039,4016359.0
2019-05-08,21.5852,21.7478,20.6421,21.3413,1465157.0
2019-05-09,21.1502,21.3575,19.9592,20.3169,2262388.0
2019-05-10,20.3169,20.6502,19.9836,20.6096,885320.0
2019-05-11,20.3169,20.6502,19.9836,20.6096,885320.0
2019-05-12,20.3169,20.6502,19.9836,20.6096,885320.0
2019-05-13,20.3819,20.4876,19.26,19.4551,1227141.0
2019-05-14,19.4795,19.9917,19.2356,19.821,774171.0
2019-05-15,19.821,20.2031,19.5202,19.821,740801.0
2019-05-16,19.8698,20.2356,19.7397,19.821,587957.0
2019-05-17,19.8454,19.9592,19.6259,19.7803,652743.0
2019-05-18,19.8454,19.9592,19.6259,19.7803,652743.0
2019-05-19,19.8454,19.9592,19.6259,19.7803,652743.0
2019-05-20,19.6177,19.7397,19.1787,19.325,533576.0
2019-05-21,19.325,19.6665,19.2844,19.5202,706135.0
2019-05-22,19.4958,19.5771,19.012,19.0486,792587.0
2019-05-23,18.8779,19.1462,18.5852,18.9511,566355.0
2019-05-24,19.0974,19.382,18.8933,19.073,1152735.0
2019-05-25,19.0974,19.382,18.8933,19.073,1152735.0
2019-05-26,19.0974,19.382,18.8933,19.073,1152735.0
2019-05-27,19.0974,19.382,18.8933,19.073,1152735.0
2019-05-28,19.0405,19.5364,19.0242,19.3657,651683.0
2019-05-29,19.2275,19.5852,18.4145,19.3738,925247.0
2019-05-30,19.447,19.7072,19.3779,19.5933,480807.0
2019-05-31,19.2844,19.5771,19.1299,19.3982,803329.0
2019-06-01,19.2844,19.5771,19.1299,19.3982,803329.0
2019-06-02,19.2844,19.5771,19.1299,19.3982,803329.0
2019-06-03,19.3169,19.7397,19.3169,19.6096,686663.0
2019-06-04,19.7234,20.0811,19.3657,19.9348,889620.0
2019-06-05,20.0405,20.195,19.4876,19.5527,991011.0
2019-06-06,19.5527,19.7315,19.0242,19.4389,1025605.0
2019-06-07,19.5283,19.5283,19.0527,19.1868,1502819.0
2019-06-08,19.5283,19.5283,19.0527,19.1868,1502819.0
2019-06-09,19.5283,19.5283,19.0527,19.1868,1502819.0
