,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,69.0633,69.2972,67.0845,68.7862,60846.0
2019-01-02,67.3227,70.1545,60.6199,70.1545,61890.0
2019-01-03,69.7994,71.8778,69.6306,69.6955,45204.0
2019-01-04,69.6955,72.155,68.5524,71.0292,67836.0
2019-01-05,69.6955,72.155,68.5524,71.0292,67836.0
2019-01-06,69.6955,72.155,68.5524,71.0292,67836.0
2019-01-07,70.6741,72.1896,70.6741,71.5228,70800.0
2019-01-08,71.8259,72.5706,70.7217,71.8086,48758.0
2019-01-09,71.5834,73.5232,71.5834,72.3455,61161.0
2019-01-10,71.8259,73.3414,71.3236,71.4622,24357.0
2019-01-11,70.7434,71.3582,64.2744,69.5656,99602.0
2019-01-12,70.7434,71.3582,64.2744,69.5656,99602.0
2019-01-13,70.7434,71.3582,64.2744,69.5656,99602.0
2019-01-14,68.4052,69.6046,68.1541,68.613,62537.0
2019-01-15,68.6217,73.2894,68.6217,73.1422,127660.0
2019-01-16,73.5232,76.8746,73.5232,75.8614,166365.0
2019-01-17,75.3678,77.247,75.3678,77.247,97515.0
2019-01-18,77.4895,83.2484,77.4895,81.2912,163478.0
2019-01-19,77.4895,83.2484,77.4895,81.2912,163478.0
2019-01-20,77.4895,83.2484,77.4895,81.2912,163478.0
2019-01-21,77.4895,83.2484,77.4895,81.2912,163478.0
2019-01-22,80.6677,81.7935,77.9485,78.8231,124270.0
2019-01-23,79.386,81.0141,75.4977,75.7748,52505.0
2019-01-24,75.4198,77.1517,75.1167,76.3031,27048.0
2019-01-25,77.68,78.0004,76.0346,77.8705,53742.0
2019-01-26,77.68,78.0004,76.0346,77.8705,53742.0
2019-01-27,77.68,78.0004,76.0346,77.8705,53742.0
2019-01-28,77.0998,78.3988,76.1385,77.9918,41583.0
2019-01-29,77.6714,78.2602,76.7188,77.1951,46756.0
2019-01-30,77.5436,78.1405,73.8315,76.5589,72371.0
2019-01-31,76.376,78.3975,75.7311,78.3975,105182.0
2019-02-01,80.3669,80.3669,75.8096,78.5544,77222.0
2019-02-02,80.3669,80.3669,75.8096,78.5544,77222.0
2019-02-03,80.3669,80.3669,75.8096,78.5544,77222.0
2019-02-04,79.0162,79.9137,78.0664,79.6349,66820.0
2019-02-05,79.6349,82.0138,78.7635,81.8046,67691.0
2019-02-06,81.8133,82.7718,81.4299,82.7021,62469.0
2019-02-07,82.7021,83.2337,80.7764,82.6237,65944.0
2019-02-08,82.6586,84.3665,80.3233,80.881,94688.0
2019-02-09,82.6586,84.3665,80.3233,80.881,94688.0
2019-02-10,82.6586,84.3665,80.3233,80.881,94688.0
2019-02-11,80.9245,81.7001,79.6262,80.1664,89143.0
2019-02-12,80.2449,82.432,80.1926,82.1445,90569.0
2019-02-13,82.6673,85.1071,81.7523,85.02,78870.0
2019-02-14,84.3926,85.7084,83.2598,85.7084,93617.0
2019-02-15,86.0656,88.5665,85.7694,86.693,240687.0
2019-02-16,86.0656,88.5665,85.7694,86.693,240687.0
2019-02-17,86.0656,88.5665,85.7694,86.693,240687.0
2019-02-18,86.0656,88.5665,85.7694,86.693,240687.0
2019-02-19,86.8499,89.403,86.5449,88.6536,71593.0
2019-02-20,88.6623,90.5097,87.6603,89.3769,84474.0
2019-02-21,89.7428,90.4051,88.1395,89.7777,56868.0
2019-02-22,90.3354,91.2765,89.8126,91.259,48136.0
2019-02-23,90.3354,91.2765,89.8126,91.259,48136.0
2019-02-24,90.3354,91.2765,89.8126,91.259,48136.0
2019-02-25,91.4943,92.7665,91.3375,92.6532,59101.0
2019-02-26,92.1827,94.3611,92.0171,93.2806,71901.0
2019-02-27,92.6271,94.1084,92.0999,93.8296,52869.0
2019-02-28,93.4288,93.4288,88.6275,89.1503,167240.0
2019-03-01,90.2221,91.0238,88.6493,90.4051,93257.0
2019-03-02,90.2221,91.0238,88.6493,90.4051,93257.0
