,VSH US Equity,VSH US Equity,VSH US Equity,VSH US Equity,VSH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,19.6704,19.8549,19.5874,19.6335,939136.0
2020-01-02,19.8088,19.8272,19.4307,19.818,637827.0
2020-01-03,19.403,19.6889,19.3753,19.5321,882968.0
2020-01-04,19.403,19.6889,19.3753,19.5321,882968.0
2020-01-05,19.403,19.6889,19.3753,19.5321,882968.0
2020-01-06,19.2739,19.592,19.1171,19.3753,1167266.0
2020-01-07,19.3569,20.0024,18.9973,19.9379,1155671.0
2020-01-08,19.8549,20.0301,19.7811,19.8825,833102.0
2020-01-09,20.0578,20.15,19.9194,20.0116,527848.0
2020-01-10,19.984,20.0301,19.6612,19.7903,787706.0
2020-01-11,19.984,20.0301,19.6612,19.7903,787706.0
2020-01-12,19.984,20.0301,19.6612,19.7903,787706.0
2020-01-13,19.8549,20.2145,19.7995,20.2053,525166.0
2020-01-14,20.3344,21.0445,20.2883,20.8877,1936002.0
2020-01-15,20.7771,21.1091,20.6941,20.9984,2503886.0
2020-01-16,21.1921,21.441,21.0168,21.3212,1581933.0
2020-01-17,21.358,21.358,20.9799,21.2935,866985.0
2020-01-18,21.358,21.358,20.9799,21.2935,866985.0
2020-01-19,21.358,21.358,20.9799,21.2935,866985.0
2020-01-20,21.358,21.358,20.9799,21.2935,866985.0
2020-01-21,21.2751,21.2751,20.7771,21.0261,1111913.0
2020-01-22,21.0906,21.1321,20.731,20.8047,1060198.0
2020-01-23,20.731,20.9892,20.4082,20.7402,1249547.0
2020-01-24,20.8785,20.9154,20.0393,20.1223,1389112.0
2020-01-25,20.8785,20.9154,20.0393,20.1223,1389112.0
2020-01-26,20.8785,20.9154,20.0393,20.1223,1389112.0
2020-01-27,19.6059,19.8641,19.3477,19.3661,1413381.0
2020-01-28,19.5137,19.8918,19.4491,19.7534,627052.0
2020-01-29,19.7811,19.901,19.3477,19.3569,846504.0
2020-01-30,19.237,19.4214,18.8958,19.2093,760969.0
2020-01-31,19.0987,19.2001,18.656,18.7113,1096247.0
2020-02-01,19.0987,19.2001,18.656,18.7113,1096247.0
2020-02-02,19.0987,19.2001,18.656,18.7113,1096247.0
2020-02-03,18.8312,18.9788,18.6007,18.6837,1006609.0
2020-02-04,18.324,19.1817,18.1673,19.0802,1935855.0
2020-02-05,19.5505,19.5598,19.0618,19.4122,1038070.0
2020-02-06,19.4491,19.5598,19.0433,19.2647,1566691.0
2020-02-07,19.0894,19.2001,18.8958,18.9696,1687995.0
2020-02-08,19.0894,19.2001,18.8958,18.9696,1687995.0
2020-02-09,19.0894,19.2001,18.8958,18.9696,1687995.0
2020-02-10,18.8405,19.0894,18.6929,18.9235,852590.0
2020-02-11,19.0894,19.4214,19.0249,19.1448,686403.0
2020-02-12,19.3661,19.569,19.2923,19.5229,782830.0
2020-02-13,19.3477,19.5782,19.1448,19.3938,761960.0
2020-02-14,19.4307,19.4307,18.8958,18.9327,1218393.0
2020-02-15,19.4307,19.4307,18.8958,18.9327,1218393.0
2020-02-16,19.4307,19.4307,18.8958,18.9327,1218393.0
2020-02-17,19.4307,19.4307,18.8958,18.9327,1218393.0
2020-02-18,18.8128,18.9142,18.5822,18.7482,615506.0
2020-02-19,18.8036,19.1632,18.7113,19.0341,1338592.0
