,WERN US Equity,WERN US Equity,WERN US Equity,WERN US Equity,WERN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,34.3984,34.807,34.3984,34.5789,237300.0
2020-01-02,34.6454,34.826,34.0088,34.5219,437661.0
2020-01-03,34.1694,34.3314,33.7884,34.2933,398997.0
2020-01-04,34.1694,34.3314,33.7884,34.2933,398997.0
2020-01-05,34.1694,34.3314,33.7884,34.2933,398997.0
2020-01-06,33.8741,33.9408,33.2359,33.8075,413822.0
2020-01-07,33.6074,34.3981,33.474,34.2885,375684.0
2020-01-08,34.1885,34.5314,33.9789,34.2647,373951.0
2020-01-09,34.4743,34.8077,34.2742,34.7791,347143.0
2020-01-10,34.7315,35.2744,34.6076,35.2649,391712.0
2020-01-11,34.7315,35.2744,34.6076,35.2649,391712.0
2020-01-12,34.7315,35.2744,34.6076,35.2649,391712.0
2020-01-13,35.103,35.7126,34.9625,35.6841,513589.0
2020-01-14,36.1985,36.6462,35.846,36.389,690002.0
2020-01-15,37.151,37.151,36.3413,36.6462,638335.0
2020-01-16,36.7891,37.3416,36.4938,36.8367,493952.0
2020-01-17,36.6938,37.151,36.3128,36.8938,502139.0
2020-01-18,36.6938,37.151,36.3128,36.8938,502139.0
2020-01-19,36.6938,37.151,36.3128,36.8938,502139.0
2020-01-20,36.6938,37.151,36.3128,36.8938,502139.0
2020-01-21,36.8653,37.2082,36.4652,36.6557,471815.0
2020-01-22,36.9129,36.951,36.027,36.1699,365479.0
2020-01-23,36.0746,36.5414,35.7507,36.408,387511.0
2020-01-24,36.5223,36.77,36.0651,36.2842,248514.0
2020-01-25,36.5223,36.77,36.0651,36.2842,248514.0
2020-01-26,36.5223,36.77,36.0651,36.2842,248514.0
2020-01-27,35.7698,36.0841,35.646,35.8936,431003.0
2020-01-28,36.1127,36.1985,35.7412,35.9603,370370.0
2020-01-29,36.1318,36.7176,36.1032,36.1222,285311.0
2020-01-30,35.7603,36.2651,35.4745,36.2366,271687.0
2020-01-31,36.0841,36.3128,35.0744,35.1125,457533.0
2020-02-01,36.0841,36.3128,35.0744,35.1125,457533.0
2020-02-02,36.0841,36.3128,35.0744,35.1125,457533.0
2020-02-03,35.4173,35.8555,35.103,35.7507,327477.0
2020-02-04,36.1794,36.1794,34.6076,35.7317,338324.0
2020-02-05,36.046,36.4271,35.8079,36.2175,450945.0
2020-02-06,37.7607,38.137,36.4747,37.7131,874333.0
2020-02-07,37.4749,37.5797,36.751,36.8462,542753.0
2020-02-08,37.4749,37.5797,36.751,36.8462,542753.0
2020-02-09,37.4749,37.5797,36.751,36.8462,542753.0
2020-02-10,36.7414,36.87,36.3604,36.7033,475404.0
2020-02-11,36.9224,36.9653,35.2268,36.6176,417191.0
2020-02-12,36.7605,36.951,36.3223,36.6938,344652.0
2020-02-13,36.4747,36.9034,36.3699,36.8653,404517.0
2020-02-14,36.9034,36.951,36.2556,36.3794,305301.0
2020-02-15,36.9034,36.951,36.2556,36.3794,305301.0
2020-02-16,36.9034,36.951,36.2556,36.3794,305301.0
2020-02-17,36.9034,36.951,36.2556,36.3794,305301.0
2020-02-18,36.2651,36.6176,36.0746,36.3032,322326.0
2020-02-19,36.5223,36.8081,36.0413,36.6652,334130.0
2020-02-20,36.5414,36.7414,36.1604,36.5604,278588.0
2020-02-21,36.5033,36.5033,35.9032,36.1032,246374.0
2020-02-22,36.5033,36.5033,35.9032,36.1032,246374.0
2020-02-23,36.5033,36.5033,35.9032,36.1032,246374.0
2020-02-24,35.1697,35.4792,34.6553,35.2744,371098.0
2020-02-25,35.3411,35.4221,34.56,34.6553,550095.0
2020-02-26,34.7981,34.7981,33.1883,33.2264,416443.0
2020-02-27,32.6072,33.8075,32.0356,32.6072,622470.0
2020-02-28,31.8737,32.35,31.1878,32.0071,671936.0
2020-02-29,31.8737,32.35,31.1878,32.0071,671936.0
2020-03-01,31.8737,32.35,31.1878,32.0071,671936.0
2020-03-02,32.1309,32.1309,30.9449,31.8213,667981.0
2020-03-03,31.8546,32.7644,31.3783,31.5593,460636.0
2020-03-04,31.9594,32.8882,31.5689,32.8072,402318.0
2020-03-05,32.0356,32.6501,31.4069,31.626,397109.0
2020-03-06,30.7496,31.9404,30.1495,31.6546,401874.0
2020-03-07,30.7496,31.9404,30.1495,31.6546,401874.0
2020-03-08,30.7496,31.9404,30.1495,31.6546,401874.0
2020-03-09,30.1686,31.1211,29.7589,29.9018,702742.0
2020-03-10,30.6544,31.1402,29.9018,31.1307,893745.0
2020-03-11,30.3114,30.9687,30.1114,30.683,550438.0
2020-03-12,28.8921,30.4543,28.3967,28.4444,1126877.0
2020-03-13,29.5779,30.5877,28.8254,30.5305,1022840.0
2020-03-14,29.5779,30.5877,28.8254,30.5305,1022840.0
2020-03-15,29.5779,30.5877,28.8254,30.5305,1022840.0
2020-03-16,27.8728,28.4539,27.6156,28.0157,662555.0
