,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,86.327,86.818,83.241,85.464,817118.0
2019-01-02,83.337,87.527,83.017,86.303,726146.0
2019-01-03,85.688,86.991,84.464,86.016,694526.0
2019-01-04,87.535,90.878,87.531,90.222,792514.0
2019-01-05,87.535,90.878,87.531,90.222,792514.0
2019-01-06,87.535,90.878,87.531,90.222,792514.0
2019-01-07,90.878,94.388,89.542,92.853,757255.0
2019-01-08,93.789,95.276,93.149,94.94,742536.0
2019-01-09,95.124,97.963,94.788,97.155,791724.0
2019-01-10,96.668,98.299,95.996,97.971,719406.0
2019-01-11,97.163,98.899,96.74,98.435,536541.0
2019-01-12,97.163,98.899,96.74,98.435,536541.0
2019-01-13,97.163,98.899,96.74,98.435,536541.0
2019-01-14,98.003,99.866,97.435,99.107,886816.0
2019-01-15,98.923,99.914,97.751,99.043,606587.0
2019-01-16,99.251,99.682,98.123,98.507,466792.0
2019-01-17,97.635,100.986,97.387,100.378,451806.0
2019-01-18,101.234,102.345,100.29,101.61,779268.0
2019-01-19,101.234,102.345,100.29,101.61,779268.0
2019-01-20,101.234,102.345,100.29,101.61,779268.0
2019-01-21,101.234,102.345,100.29,101.61,779268.0
2019-01-22,101.746,101.746,99.882,100.938,933838.0
2019-01-23,100.386,101.17,94.916,95.828,1266059.0
2019-01-24,96.196,98.619,96.004,98.283,876171.0
2019-01-25,99.73,101.002,99.187,100.018,669551.0
2019-01-26,99.73,101.002,99.187,100.018,669551.0
2019-01-27,99.73,101.002,99.187,100.018,669551.0
2019-01-28,98.475,100.914,98.147,99.53,1265792.0
2019-01-29,94.316,109.807,93.381,109.151,7414937.0
2019-01-30,107.703,107.711,103.025,105.68,2201442.0
2019-01-31,105.672,107.879,105.001,106.368,1492530.0
2019-02-01,106.824,108.255,104.88,106.352,1027546.0
2019-02-02,106.824,108.255,104.88,106.352,1027546.0
2019-02-03,106.824,108.255,104.88,106.352,1027546.0
2019-02-04,106.416,108.519,106.192,108.359,763197.0
2019-02-05,108.183,110.015,107.487,108.335,822096.0
2019-02-06,107.887,108.759,107.336,107.408,607567.0
2019-02-07,107.423,108.271,106.16,107.232,544737.0
2019-02-08,107.088,107.443,105.144,106.592,541232.0
2019-02-09,107.088,107.443,105.144,106.592,541232.0
2019-02-10,107.088,107.443,105.144,106.592,541232.0
2019-02-11,106.808,107.024,105.296,106.288,705855.0
2019-02-12,107.0,110.086,106.616,109.111,820144.0
2019-02-13,109.335,110.734,108.935,110.318,694903.0
2019-02-14,109.807,111.278,109.079,110.015,759370.0
2019-02-15,110.806,112.718,110.007,111.446,897177.0
2019-02-16,110.806,112.718,110.007,111.446,897177.0
2019-02-17,110.806,112.718,110.007,111.446,897177.0
2019-02-18,110.806,112.718,110.007,111.446,897177.0
2019-02-19,110.734,113.725,110.342,113.197,658113.0
2019-02-20,113.213,115.508,112.602,114.117,752071.0
2019-02-21,113.421,115.373,112.925,114.197,601102.0
2019-02-22,114.925,116.516,114.365,116.42,650308.0
2019-02-23,114.925,116.516,114.365,116.42,650308.0
2019-02-24,114.925,116.516,114.365,116.42,650308.0
2019-02-25,116.876,117.396,115.564,115.692,789257.0
2019-02-26,115.157,116.356,114.165,114.581,632819.0
2019-02-27,114.773,115.736,112.853,114.309,640201.0
2019-02-28,114.067,114.51,112.205,114.083,929718.0
2019-03-01,114.607,115.055,113.309,113.922,517084.0
2019-03-02,114.607,115.055,113.309,113.922,517084.0
2019-03-03,114.607,115.055,113.309,113.922,517084.0
2019-03-04,114.212,115.284,113.857,115.244,662321.0
2019-03-05,115.284,115.913,114.301,114.406,574975.0
2019-03-06,114.027,114.607,111.818,111.987,593995.0
2019-03-07,111.858,112.471,110.383,110.818,590364.0
2019-03-08,110.52,111.245,109.407,110.891,420118.0
2019-03-09,110.52,111.245,109.407,110.891,420118.0
2019-03-10,110.52,111.245,109.407,110.891,420118.0
2019-03-11,110.721,112.277,109.794,110.125,541890.0
2019-03-12,110.834,113.865,110.488,113.68,985785.0
2019-03-13,114.091,116.228,113.422,113.753,1256230.0
2019-03-14,113.922,114.47,112.439,112.922,726172.0
2019-03-15,111.777,112.297,106.021,107.368,2006220.0
2019-03-16,111.777,112.297,106.021,107.368,2006220.0
2019-03-17,111.777,112.297,106.021,107.368,2006220.0
2019-03-18,107.295,109.665,107.223,107.472,958110.0
2019-03-19,108.279,109.569,106.263,106.586,869811.0
2019-03-20,106.392,107.327,104.721,105.207,893501.0
2019-03-21,105.392,108.383,105.392,108.037,1534668.0
2019-03-22,107.529,107.855,103.933,104.03,964033.0
2019-03-23,107.529,107.855,103.933,104.03,964033.0
2019-03-24,107.529,107.855,103.933,104.03,964033.0
2019-03-25,103.716,105.642,103.546,104.054,953562.0
2019-03-26,104.917,105.9,104.53,105.57,816112.0
2019-03-27,106.521,106.9,105.344,106.239,612025.0
2019-03-28,106.247,107.102,105.731,106.457,347730.0
2019-03-29,107.037,107.94,105.989,107.134,645213.0
2019-03-30,107.037,107.94,105.989,107.134,645213.0
2019-03-31,107.037,107.94,105.989,107.134,645213.0
2019-04-01,107.747,108.512,106.618,108.408,572211.0
2019-04-02,108.359,108.956,107.545,108.504,563691.0
2019-04-03,108.722,108.778,106.594,107.037,785393.0
2019-04-04,106.989,108.408,106.739,108.408,610081.0
2019-04-05,108.561,110.189,108.125,109.73,614822.0
2019-04-06,108.561,110.189,108.125,109.73,614822.0
2019-04-07,108.561,110.189,108.125,109.73,614822.0
2019-04-08,109.883,111.245,108.793,111.149,569037.0
2019-04-09,110.939,110.939,108.359,108.658,553216.0
2019-04-10,109.182,110.689,108.625,110.471,568190.0
2019-04-11,110.576,113.18,110.012,112.64,582118.0
2019-04-12,112.463,113.374,111.624,112.769,865313.0
2019-04-13,112.463,113.374,111.624,112.769,865313.0
2019-04-14,112.463,113.374,111.624,112.769,865313.0
2019-04-15,112.858,113.043,109.657,109.939,1141109.0
2019-04-16,109.077,110.915,109.028,110.729,749104.0
2019-04-17,110.762,112.116,109.552,110.35,562645.0
2019-04-18,110.125,112.725,110.084,112.108,674980.0
2019-04-19,110.125,112.725,110.084,112.108,674980.0
2019-04-20,110.125,112.725,110.084,112.108,674980.0
2019-04-21,110.125,112.725,110.084,112.108,674980.0
2019-04-22,112.366,113.874,111.987,112.35,1789485.0
2019-04-23,116.195,116.816,111.826,112.809,2971077.0
2019-04-24,113.366,113.366,109.238,112.229,1216275.0
2019-04-25,111.729,111.729,108.303,108.867,991621.0
2019-04-26,109.48,110.56,108.101,110.496,902764.0
2019-04-27,109.48,110.56,108.101,110.496,902764.0
2019-04-28,109.48,110.56,108.101,110.496,902764.0
2019-04-29,110.625,112.866,110.101,111.705,709609.0
2019-04-30,111.697,112.672,110.125,111.914,656252.0
2019-05-01,111.995,113.325,111.165,112.672,852106.0
2019-05-02,112.825,115.679,112.729,114.728,659060.0
2019-05-03,115.228,115.873,114.508,114.849,561628.0
2019-05-04,115.228,115.873,114.508,114.849,561628.0
2019-05-05,115.228,115.873,114.508,114.849,561628.0
2019-05-06,112.842,113.358,111.346,112.85,812325.0
2019-05-07,111.81,112.221,109.52,111.052,738010.0
2019-05-08,110.705,112.172,110.109,110.431,433202.0
2019-05-09,109.399,109.544,105.84,107.892,832956.0
2019-05-10,109.302,109.302,105.151,108.287,777658.0
2019-05-11,109.302,109.302,105.151,108.287,777658.0
2019-05-12,109.302,109.302,105.151,108.287,777658.0
2019-05-13,105.715,106.586,101.708,103.256,1091894.0
2019-05-14,103.595,104.691,102.305,104.062,761788.0
2019-05-15,103.917,106.142,103.111,105.352,796654.0
2019-05-16,105.466,107.215,105.108,105.71,705850.0
2019-05-17,104.791,105.816,102.993,104.661,531567.0
2019-05-18,104.791,105.816,102.993,104.661,531567.0
2019-05-19,104.791,105.816,102.993,104.661,531567.0
2019-05-20,103.863,105.775,103.334,105.385,544296.0
2019-05-21,105.271,107.964,105.271,107.809,668094.0
2019-05-22,106.548,107.801,106.019,106.589,683822.0
2019-05-23,105.108,105.108,101.219,102.561,933634.0
2019-05-24,103.18,103.787,101.373,101.618,630644.0
2019-05-25,103.18,103.787,101.373,101.618,630644.0
2019-05-26,103.18,103.787,101.373,101.618,630644.0
2019-05-27,103.18,103.787,101.373,101.618,630644.0
2019-05-28,101.674,102.488,99.632,99.673,612348.0
2019-05-29,99.445,99.966,97.028,97.883,650950.0
2019-05-30,97.899,98.745,96.39,97.468,486723.0
2019-05-31,95.727,96.239,92.757,93.473,884367.0
2019-06-01,95.727,96.239,92.757,93.473,884367.0
2019-06-02,95.727,96.239,92.757,93.473,884367.0
2019-06-03,93.562,96.719,93.107,95.45,706848.0
2019-06-04,96.695,102.569,96.483,102.366,1036689.0
2019-06-05,102.651,103.188,99.689,102.187,545641.0
2019-06-06,103.823,105.002,102.098,104.286,776589.0
2019-06-07,104.262,105.222,103.692,104.75,465639.0
2019-06-08,104.262,105.222,103.692,104.75,465639.0
2019-06-09,104.262,105.222,103.692,104.75,465639.0
2019-06-10,105.775,107.15,104.783,105.971,558368.0
2019-06-11,106.67,107.512,105.657,106.028,454798.0
2019-06-12,105.84,107.053,104.522,105.914,507170.0
2019-06-13,106.792,109.957,106.792,109.909,762343.0
2019-06-14,109.868,111.609,109.119,110.397,744077.0
2019-06-15,109.868,111.609,109.119,110.397,744077.0
2019-06-16,109.868,111.609,109.119,110.397,744077.0
2019-06-17,111.259,112.911,110.477,112.333,762912.0
2019-06-18,113.635,115.913,112.691,115.368,1063000.0
2019-06-19,115.466,115.922,113.651,115.523,831700.0
2019-06-20,116.931,117.256,114.579,114.921,645093.0
2019-06-21,114.994,115.637,113.188,115.271,834589.0
2019-06-22,114.994,115.637,113.188,115.271,834589.0
2019-06-23,114.994,115.637,113.188,115.271,834589.0
2019-06-24,115.271,115.734,113.717,113.993,562923.0
2019-06-25,114.294,114.864,111.707,111.959,617309.0
2019-06-26,112.26,114.929,112.21,113.7,805288.0
2019-06-27,114.367,116.223,114.367,115.791,559053.0
2019-06-28,115.946,117.476,115.547,115.832,671234.0
2019-06-29,115.946,117.476,115.547,115.832,671234.0
2019-06-30,115.946,117.476,115.547,115.832,671234.0
2019-07-01,117.614,120.307,117.459,118.452,780722.0
2019-07-02,117.98,117.98,116.369,117.85,404711.0
2019-07-03,118.444,119.046,117.256,118.981,191504.0
2019-07-04,118.444,119.046,117.256,118.981,191504.0
2019-07-05,117.858,118.749,116.898,117.703,379064.0
2019-07-06,117.858,118.749,116.898,117.703,379064.0
2019-07-07,117.858,118.749,116.898,117.703,379064.0
2019-07-08,117.541,117.842,116.385,117.598,381071.0
2019-07-09,116.784,117.093,115.193,116.19,610619.0
2019-07-10,116.955,117.492,114.693,115.604,546070.0
2019-07-11,115.539,116.141,114.302,116.052,452183.0
2019-07-12,116.67,119.485,116.206,119.136,852778.0
2019-07-13,116.67,119.485,116.206,119.136,852778.0
2019-07-14,116.67,119.485,116.206,119.136,852778.0
2019-07-15,118.542,119.136,116.605,117.085,659927.0
2019-07-16,117.126,120.983,116.556,120.885,992368.0
2019-07-17,121.031,122.618,120.193,121.397,979154.0
2019-07-18,120.95,123.188,120.909,122.358,859716.0
2019-07-19,122.659,123.188,120.559,120.576,612991.0
2019-07-20,122.659,123.188,120.559,120.576,612991.0
2019-07-21,122.659,123.188,120.559,120.576,612991.0
2019-07-22,121.21,121.731,120.266,120.706,1589167.0
2019-07-23,119.591,124.083,112.293,115.922,3045587.0
2019-07-24,115.816,119.917,115.38,119.258,1314648.0
2019-07-25,119.331,121.235,118.387,119.599,612572.0
2019-07-26,119.331,121.292,117.882,121.186,630607.0
2019-07-27,119.331,121.292,117.882,121.186,630607.0
2019-07-28,119.331,121.292,117.882,121.186,630607.0
2019-07-29,121.153,122.113,120.218,121.243,587441.0
2019-07-30,120.6,122.675,119.949,122.659,568759.0
2019-07-31,122.504,122.968,117.431,118.371,1157569.0
2019-08-01,118.346,119.461,113.83,113.847,906058.0
2019-08-02,113.424,113.424,109.608,110.315,900725.0
2019-08-03,113.424,113.424,109.608,110.315,900725.0
2019-08-04,113.424,113.424,109.608,110.315,900725.0
2019-08-05,108.224,108.647,106.15,108.346,910482.0
2019-08-06,109.437,111.056,108.729,110.909,787733.0
2019-08-07,110.096,113.058,108.241,112.716,617826.0
2019-08-08,113.603,115.694,113.131,115.531,580029.0
2019-08-09,114.905,115.246,111.072,111.145,640010.0
2019-08-10,114.905,115.246,111.072,111.145,640010.0
2019-08-11,114.905,115.246,111.072,111.145,640010.0
2019-08-12,110.429,111.821,109.201,109.852,391146.0
2019-08-13,110.055,114.522,109.258,110.413,580920.0
2019-08-14,108.9,109.477,105.051,105.629,754349.0
2019-08-15,106.215,106.288,104.408,105.1,434492.0
2019-08-16,105.914,107.557,104.384,107.215,467404.0
2019-08-17,105.914,107.557,104.384,107.215,467404.0
2019-08-18,105.914,107.557,104.384,107.215,467404.0
2019-08-19,108.338,110.991,108.338,110.104,488516.0
2019-08-20,109.608,112.162,109.03,111.609,657394.0
2019-08-21,112.797,115.246,112.431,114.042,889199.0
2019-08-22,114.294,114.636,112.734,113.334,407766.0
2019-08-23,111.707,112.496,108.867,109.477,650910.0
2019-08-24,111.707,112.496,108.867,109.477,650910.0
2019-08-25,111.707,112.496,108.867,109.477,650910.0
2019-08-26,111.333,111.438,109.811,110.543,471789.0
2019-08-27,111.194,112.488,109.103,109.111,577073.0
2019-08-28,108.859,111.829,108.208,111.731,491578.0
2019-08-29,112.872,114.523,112.203,112.88,419946.0
2019-08-30,113.89,115.203,113.697,114.169,556076.0
2019-08-31,113.89,115.203,113.697,114.169,556076.0
2019-09-01,113.89,115.203,113.697,114.169,556076.0
2019-09-02,113.89,115.203,113.697,114.169,556076.0
2019-09-03,112.454,113.66,109.22,110.377,574487.0
2019-09-04,111.69,113.636,111.374,113.012,550727.0
2019-09-05,115.195,117.797,114.58,117.346,696587.0
2019-09-06,117.74,119.201,117.379,118.101,542404.0
2019-09-07,117.74,119.201,117.379,118.101,542404.0
2019-09-08,117.74,119.201,117.379,118.101,542404.0
2019-09-09,118.708,121.942,118.167,121.376,803218.0
2019-09-10,120.769,123.978,119.923,123.633,1145776.0
2019-09-11,123.387,125.767,122.221,125.406,645136.0
2019-09-12,125.488,125.587,123.74,123.806,599700.0
2019-09-13,124.282,125.57,122.886,123.009,353832.0
2019-09-14,124.282,125.57,122.886,123.009,353832.0
2019-09-15,124.282,125.57,122.886,123.009,353832.0
2019-09-16,121.811,122.706,121.573,122.115,334373.0
2019-09-17,121.68,125.57,119.89,124.93,769304.0
2019-09-18,122.09,123.912,120.514,122.328,635411.0
2019-09-19,123.28,124.315,121.942,121.951,528583.0
2019-09-20,122.279,123.797,121.524,121.967,663710.0
2019-09-21,122.279,123.797,121.524,121.967,663710.0
2019-09-22,122.279,123.797,121.524,121.967,663710.0
2019-09-23,120.826,123.527,120.613,122.665,399475.0
2019-09-24,123.945,124.118,121.803,122.451,458983.0
2019-09-25,122.057,124.06,121.425,123.42,518476.0
2019-09-26,126.867,130.684,125.012,127.097,1395354.0
2019-09-27,127.073,128.517,125.792,127.639,972625.0
2019-09-28,127.073,128.517,125.792,127.639,972625.0
2019-09-29,127.073,128.517,125.792,127.639,972625.0
2019-09-30,128.542,130.512,127.762,129.987,758517.0
2019-10-01,130.011,130.799,126.334,127.056,583210.0
2019-10-02,126.096,126.72,123.732,125.529,558118.0
2019-10-03,125.152,125.956,122.435,125.694,617926.0
2019-10-04,125.546,128.049,125.529,127.499,629362.0
2019-10-05,125.546,128.049,125.529,127.499,629362.0
2019-10-06,125.546,128.049,125.529,127.499,629362.0
2019-10-07,126.473,130.028,125.997,128.829,786481.0
2019-10-08,127.04,128.887,124.979,127.27,677027.0
2019-10-09,128.452,128.452,126.285,128.115,570716.0
2019-10-10,127.861,129.839,127.213,129.133,337330.0
2019-10-11,130.101,132.154,129.798,129.872,614136.0
