,CLX US Equity
,BEST_DIV_YLD
2020-01-01,3.777
2020-01-02,3.8
2020-01-03,3.792
2020-01-04,3.792
2020-01-05,3.792
2020-01-06,3.781
2020-01-07,3.827
2020-01-08,3.816
2020-01-09,3.795
2020-01-10,3.774
2020-01-11,3.774
2020-01-12,3.774
2020-01-13,3.713
2020-01-14,3.711
2020-01-15,3.701
2020-01-16,3.691
2020-01-17,3.677
2020-01-18,3.677
2020-01-19,3.677
2020-01-20,3.677
2020-01-21,3.645
2020-01-22,3.633
2020-01-23,3.646
2020-01-24,3.664
2020-01-25,3.664
2020-01-26,3.664
2020-01-27,3.625
2020-01-28,3.691
2020-01-29,3.712
2020-01-30,3.696
2020-01-31,3.662
2020-02-01,3.662
2020-02-02,3.662
2020-02-03,3.696
2020-02-04,3.521
2020-02-05,3.484
2020-02-06,3.49
2020-02-07,3.465
2020-02-08,3.465
2020-02-09,3.465
2020-02-10,3.436
2020-02-11,3.496
2020-02-12,3.508
2020-02-13,3.496
2020-02-14,3.495
2020-02-15,3.495
2020-02-16,3.495
2020-02-17,3.495
2020-02-18,3.495
2020-02-19,3.495
2020-02-20,3.509
2020-02-21,3.499
2020-02-22,3.499
2020-02-23,3.499
2020-02-24,3.446
2020-02-25,3.432
2020-02-26,3.428
2020-02-27,3.415
2020-02-28,3.613
2020-02-29,3.613
2020-03-01,3.613
2020-03-02,3.349
2020-03-03,3.432
2020-03-04,3.339
2020-03-05,3.276
2020-03-06,3.325
2020-03-07,3.325
2020-03-08,3.325
2020-03-09,3.294
2020-03-10,3.292
2020-03-11,3.401
2020-03-12,3.63
2020-03-13,3.434
2020-03-14,3.434
2020-03-15,3.434
2020-03-16,3.298
2020-03-17,2.911
2020-03-18,3.017
2020-03-19,3.004
2020-03-20,3.247
2020-03-21,3.247
2020-03-22,3.247
2020-03-23,3.386
2020-03-24,3.422
2020-03-25,3.477
2020-03-26,3.328
2020-03-27,3.326
2020-03-28,3.326
2020-03-29,3.326
2020-03-30,3.302
2020-03-31,3.325
2020-04-01,3.298
2020-04-02,3.206
2020-04-03,3.245
2020-04-04,3.245
2020-04-05,3.245
2020-04-06,3.176
2020-04-07,3.174
2020-04-08,3.182
2020-04-09,3.127
2020-04-10,3.127
2020-04-11,3.127
2020-04-12,3.127
2020-04-13,3.106
2020-04-14,2.964
2020-04-15,2.945
2020-04-16,2.932
2020-04-17,2.977
2020-04-18,2.977
2020-04-19,2.977
2020-04-20,2.994
2020-04-21,3.003
2020-04-22,2.985
2020-04-23,3.016
2020-04-24,3.005
2020-04-25,3.005
2020-04-26,3.005
2020-04-27,3.03
2020-04-28,3.065
2020-04-29,3.115
2020-04-30,3.073
2020-05-01,2.973
2020-05-02,2.973
2020-05-03,2.973
2020-05-04,2.875
2020-05-05,2.815
2020-05-06,2.867
2020-05-07,2.836
2020-05-08,2.808
2020-05-09,2.808
2020-05-10,2.808
2020-05-11,2.784
2020-05-12,2.785
2020-05-13,2.771
2020-05-14,2.778
2020-05-15,2.73
2020-05-16,2.73
2020-05-17,2.73
2020-05-18,2.809
2020-05-19,2.84
2020-05-20,2.805
2020-05-21,2.873
2020-05-22,2.885
2020-05-23,2.885
2020-05-24,2.885
2020-05-25,2.885
2020-05-26,2.906
2020-05-27,2.864
2020-05-28,2.795
2020-05-29,2.778
2020-05-30,2.778
2020-05-31,2.778
2020-06-01,2.805
2020-06-02,2.771
2020-06-03,2.781
2020-06-04,2.805
2020-06-05,2.9
2020-06-06,2.9
2020-06-07,2.9
2020-06-08,2.882
2020-06-09,2.835
2020-06-10,2.764
2020-06-11,2.796
2020-06-12,2.793
2020-06-13,2.793
2020-06-14,2.793
2020-06-15,2.754
2020-06-16,2.745
2020-06-17,2.702
2020-06-18,2.67
2020-06-19,2.632
2020-06-20,2.632
2020-06-21,2.632
2020-06-22,2.641
2020-06-23,2.685
2020-06-24,2.702
2020-06-25,2.666
2020-06-26,2.661
2020-06-27,2.661
2020-06-28,2.661
2020-06-29,2.633
2020-06-30,2.612
2020-07-01,2.609
2020-07-02,2.579
2020-07-03,2.579
2020-07-04,2.579
2020-07-05,2.579
2020-07-06,2.587
2020-07-07,2.56
2020-07-08,2.54
2020-07-09,2.496
2020-07-10,2.493
2020-07-11,2.493
2020-07-12,2.493
2020-07-13,2.538
2020-07-14,2.485
2020-07-15,2.541
2020-07-16,2.514
2020-07-17,2.508
2020-07-18,2.508
