,EFX US Equity
,BEST_DIV_YLD
2020-01-01,1.151
2020-01-02,1.133
2020-01-03,1.129
2020-01-04,1.129
2020-01-05,1.129
2020-01-06,1.124
2020-01-07,1.126
2020-01-08,1.103
2020-01-09,1.09
2020-01-10,1.099
2020-01-11,1.099
2020-01-12,1.099
2020-01-13,1.086
2020-01-14,1.096
2020-01-15,1.077
2020-01-16,1.068
2020-01-17,1.054
2020-01-18,1.054
2020-01-19,1.054
2020-01-20,1.054
2020-01-21,1.045
2020-01-22,1.042
2020-01-23,1.041
2020-01-24,1.047
2020-01-25,1.047
2020-01-26,1.047
2020-01-27,1.054
2020-01-28,1.043
2020-01-29,1.045
2020-01-30,1.056
2020-01-31,1.076
2020-02-01,1.076
2020-02-02,1.076
2020-02-03,1.059
2020-02-04,1.038
2020-02-05,1.035
2020-02-06,1.034
2020-02-07,1.037
2020-02-08,1.037
2020-02-09,1.037
2020-02-10,1.043
2020-02-11,1.052
2020-02-12,1.044
2020-02-13,0.994
2020-02-14,0.99
2020-02-15,0.99
2020-02-16,0.99
2020-02-17,0.99
2020-02-18,1.01
2020-02-19,0.996
2020-02-20,0.999
2020-02-21,1.011
2020-02-22,1.011
2020-02-23,1.011
2020-02-24,1.036
2020-02-25,1.06
2020-02-26,1.052
2020-02-27,1.112
2020-02-28,1.136
2020-02-29,1.136
2020-03-01,1.136
2020-03-02,1.069
2020-03-03,1.064
2020-03-04,0.988
2020-03-05,1.017
2020-03-06,1.043
2020-03-07,1.043
2020-03-08,1.043
2020-03-09,1.135
2020-03-10,1.052
2020-03-11,1.106
2020-03-12,1.188
2020-03-13,1.143
2020-03-14,1.143
2020-03-15,1.143
2020-03-16,1.248
2020-03-17,1.201
2020-03-18,1.296
2020-03-19,1.394
2020-03-20,1.523
2020-03-21,1.523
2020-03-22,1.523
2020-03-23,1.538
2020-03-24,1.415
2020-03-25,1.39
2020-03-26,1.322
2020-03-27,1.346
2020-03-28,1.346
2020-03-29,1.346
2020-03-30,1.318
2020-03-31,1.347
2020-04-01,1.418
2020-04-02,1.472
2020-04-03,1.509
2020-04-04,1.509
2020-04-05,1.509
2020-04-06,1.413
2020-04-07,1.384
2020-04-08,1.311
2020-04-09,1.295
2020-04-10,1.295
2020-04-11,1.295
2020-04-12,1.295
2020-04-13,1.325
2020-04-14,1.24
2020-04-15,1.295
2020-04-16,1.319
2020-04-17,1.257
2020-04-18,1.257
2020-04-19,1.257
2020-04-20,1.279
2020-04-21,1.237
2020-04-22,1.214
2020-04-23,1.575
2020-04-24,1.573
2020-04-25,1.573
2020-04-26,1.573
2020-04-27,1.497
2020-04-28,1.47
2020-04-29,1.441
2020-04-30,1.489
2020-05-01,1.5
2020-05-02,1.5
2020-05-03,1.5
2020-05-04,1.459
2020-05-05,1.41
2020-05-06,1.414
2020-05-07,1.394
2020-05-08,1.384
2020-05-09,1.384
2020-05-10,1.384
2020-05-11,1.401
2020-05-12,1.421
2020-05-13,1.447
2020-05-14,1.426
2020-05-15,1.432
2020-05-16,1.432
2020-05-17,1.432
2020-05-18,1.415
2020-05-19,1.414
2020-05-20,1.383
2020-05-21,1.406
2020-05-22,1.403
2020-05-23,1.403
2020-05-24,1.403
2020-05-25,1.403
2020-05-26,1.364
2020-05-27,1.367
2020-05-28,1.339
2020-05-29,1.343
2020-05-30,1.343
2020-05-31,1.343
2020-06-01,1.33
2020-06-02,1.234
2020-06-03,1.185
2020-06-04,1.168
2020-06-05,1.165
2020-06-06,1.165
2020-06-07,1.165
2020-06-08,1.149
2020-06-09,1.178
2020-06-10,1.178
2020-06-11,1.223
2020-06-12,1.228
2020-06-13,1.228
2020-06-14,1.228
2020-06-15,1.221
2020-06-16,1.215
2020-06-17,1.21
2020-06-18,1.207
2020-06-19,1.228
2020-06-20,1.228
2020-06-21,1.228
2020-06-22,1.203
2020-06-23,1.202
2020-06-24,1.241
2020-06-25,1.228
2020-06-26,1.231
2020-06-27,1.231
2020-06-28,1.231
2020-06-29,1.23
2020-06-30,1.2
2020-07-01,1.188
2020-07-02,1.2
2020-07-03,1.2
2020-07-04,1.2
2020-07-05,1.2
2020-07-06,1.202
2020-07-07,1.222
2020-07-08,1.22
2020-07-09,1.275
2020-07-10,1.264
2020-07-11,1.264
2020-07-12,1.264
2020-07-13,1.26
2020-07-14,1.262
2020-07-15,1.25
2020-07-16,1.248
2020-07-17,1.236
2020-07-18,1.236
2020-07-19,1.236
2020-07-20,1.229
2020-07-21,1.24
2020-07-22,1.228
2020-07-23,1.168
2020-07-24,0.96
2020-07-25,0.96
2020-07-26,0.96
2020-07-27,0.97
2020-07-28,0.988
2020-07-29,0.969
2020-07-30,0.982
2020-07-31,0.987
2020-08-01,0.987
2020-08-02,0.987
2020-08-03,0.985
2020-08-04,0.998
2020-08-05,0.987
2020-08-06,0.986
2020-08-07,0.963
2020-08-08,0.963
2020-08-09,0.963
2020-08-10,0.974
2020-08-11,0.975
2020-08-12,0.962
2020-08-13,0.962
2020-08-14,0.974
2020-08-15,0.974
2020-08-16,0.974
2020-08-17,0.976
2020-08-18,0.974
2020-08-19,0.992
2020-08-20,0.994
2020-08-21,1.007
2020-08-22,1.007
2020-08-23,1.007
2020-08-24,1.004
2020-08-25,0.999
2020-08-26,0.993
2020-08-27,0.963
2020-08-28,0.951
2020-08-29,0.951
2020-08-30,0.951
2020-08-31,0.951
2020-09-01,0.949
2020-09-02,0.919
2020-09-03,0.948
2020-09-04,0.962
2020-09-05,0.962
2020-09-06,0.962
2020-09-07,0.962
2020-09-08,0.977
2020-09-09,0.954
2020-09-10,0.99
2020-09-11,0.985
2020-09-12,0.985
2020-09-13,0.985
2020-09-14,0.98
2020-09-15,0.999
2020-09-16,1.006
2020-09-17,1.006
2020-09-18,1.027
2020-09-19,1.027
2020-09-20,1.027
2020-09-21,1.032
2020-09-22,1.025
2020-09-23,1.052
2020-09-24,1.053
2020-09-25,1.023
2020-09-26,1.023
2020-09-27,1.023
2020-09-28,1.012
2020-09-29,1.014
2020-09-30,1.02
2020-10-01,1.013
2020-10-02,1.007
2020-10-03,1.007
2020-10-04,1.007
2020-10-05,1.001
2020-10-06,1.018
2020-10-07,0.994
2020-10-08,0.989
2020-10-09,0.974
2020-10-10,0.974
2020-10-11,0.974
2020-10-12,0.973
2020-10-13,0.971
2020-10-14,0.975
2020-10-15,0.986
2020-10-16,0.98
2020-10-17,0.98
2020-10-18,0.98
2020-10-19,1.009
2020-10-20,1.002
2020-10-21,0.986
2020-10-22,1.027
2020-10-23,1.047
2020-10-24,1.047
2020-10-25,1.047
2020-10-26,1.061
2020-10-27,1.083
2020-10-28,1.136
2020-10-29,1.147
2020-10-30,1.172
2020-10-31,1.172
2020-11-01,1.172
2020-11-02,1.128
2020-11-03,1.067
2020-11-04,1.053
2020-11-05,1.056
2020-11-06,1.067
2020-11-07,1.067
2020-11-08,1.067
2020-11-09,1.054
2020-11-10,1.035
2020-11-11,1.006
2020-11-12,0.985
2020-11-13,0.97
2020-11-14,0.97
2020-11-15,0.97
2020-11-16,0.933
2020-11-17,0.931
2020-11-18,0.931
2020-11-19,0.922
2020-11-20,0.933
2020-11-21,0.933
2020-11-22,0.933
2020-11-23,0.925
2020-11-24,0.963
2020-11-25,0.962
2020-11-26,0.962
2020-11-27,0.969
