,ITW US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,3.478
2020-05-07,3.519
2020-05-08,3.43
2020-05-09,3.43
2020-05-10,3.43
2020-05-11,3.411
2020-05-12,3.569
2020-05-13,3.621
2020-05-14,3.566
2020-05-15,3.547
2020-05-16,3.547
2020-05-17,3.547
2020-05-18,3.632
2020-05-19,3.709
2020-05-20,3.626
2020-05-21,3.646
2020-05-22,3.653
2020-05-23,3.653
2020-05-24,3.653
2020-05-25,3.653
2020-05-26,3.456
2020-05-27,3.395
2020-05-28,3.46
2020-05-29,3.469
2020-05-30,3.469
2020-05-31,3.469
2020-06-01,3.494
2020-06-02,3.473
2020-06-03,3.353
2020-06-04,3.347
2020-06-05,3.271
2020-06-06,3.271
2020-06-07,3.271
2020-06-08,3.319
2020-06-09,3.36
2020-06-10,3.428
2020-06-11,3.622
2020-06-12,3.627
2020-06-13,3.627
2020-06-14,3.627
2020-06-15,3.627
2020-06-16,3.532
2020-06-17,3.47
2020-06-18,3.509
2020-06-19,3.501
2020-06-20,3.501
2020-06-21,3.501
2020-06-22,3.485
2020-06-23,3.467
2020-06-24,3.539
2020-06-25,3.499
2020-06-26,3.565
2020-06-27,3.565
2020-06-28,3.565
2020-06-29,3.489
2020-06-30,3.4
2020-07-01,3.447
2020-07-02,3.405
2020-07-03,3.405
2020-07-04,3.405
2020-07-05,3.405
2020-07-06,3.346
2020-07-07,3.39
2020-07-08,3.41
2020-07-09,3.43
2020-07-10,3.415
2020-07-11,3.415
2020-07-12,3.415
2020-07-13,3.401
2020-07-14,3.313
2020-07-15,3.332
2020-07-16,3.343
2020-07-17,3.335
2020-07-18,3.335
2020-07-19,3.335
2020-07-20,3.405
2020-07-21,3.337
2020-07-22,3.325
2020-07-23,3.303
2020-07-24,3.286
2020-07-25,3.286
2020-07-26,3.286
2020-07-27,3.234
2020-07-28,3.28
2020-07-29,3.238
2020-07-30,3.27
2020-07-31,3.282
2020-08-01,3.282
2020-08-02,3.282
2020-08-03,3.423
2020-08-04,3.438
2020-08-05,3.375
2020-08-06,3.386
2020-08-07,3.34
2020-08-08,3.34
2020-08-09,3.34
2020-08-10,3.25
2020-08-11,3.241
2020-08-12,3.205
2020-08-13,3.222
2020-08-14,3.245
2020-08-15,3.245
2020-08-16,3.245
2020-08-17,3.237
2020-08-18,3.242
2020-08-19,3.251
2020-08-20,3.285
2020-08-21,3.242
2020-08-22,3.242
2020-08-23,3.242
2020-08-24,3.207
2020-08-25,3.094
2020-08-26,3.071
2020-08-27,3.074
2020-08-28,3.044
2020-08-29,3.044
2020-08-30,3.044
2020-08-31,3.092
2020-09-01,3.038
2020-09-02,3.024
2020-09-03,3.138
2020-09-04,3.15
2020-09-05,3.15
2020-09-06,3.15
2020-09-07,3.15
2020-09-08,3.2
2020-09-09,3.13
2020-09-10,3.182
2020-09-11,3.125
2020-09-12,3.125
2020-09-13,3.125
