,M US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,13.981
2020-03-25,11.972
2020-03-26,13.322
2020-03-27,14.31
2020-03-28,14.31
2020-03-29,14.31
2020-03-30,14.736
2020-03-31,16.117
2020-04-01,17.863
2020-04-02,17.783
2020-04-03,16.452
2020-04-04,16.452
2020-04-05,16.452
2020-04-06,14.056
2020-04-07,13.39
2020-04-08,13.167
2020-04-09,11.882
2020-04-10,11.882
2020-04-11,11.882
2020-04-12,11.882
2020-04-13,12.846
2020-04-14,12.763
2020-04-15,13.81
2020-04-16,13.738
2020-04-17,13.367
2020-04-18,13.367
2020-04-19,13.367
2020-04-20,14.903
2020-04-21,15.159
2020-04-22,16.418
2020-04-23,16.183
2020-04-24,15.763
2020-04-25,15.763
2020-04-26,15.763
2020-04-27,14.388
2020-04-28,13.211
2020-04-29,13.037
2020-04-30,13.504
2020-05-01,14.764
2020-05-02,14.764
2020-05-03,14.764
2020-05-04,15.016
2020-05-05,15.336
2020-05-06,15.858
2020-05-07,15.577
2020-05-08,14.736
2020-05-09,14.736
2020-05-10,14.736
2020-05-11,15.016
2020-05-12,15.858
2020-05-13,15.763
2020-05-14,15.795
2020-05-15,14.903
2020-05-16,14.903
2020-05-17,14.903
2020-05-18,14.6
2020-05-19,15.608
2020-05-20,15.608
2020-05-21,14.736
2020-05-22,15.189
2020-05-23,15.189
2020-05-24,15.189
2020-05-25,15.189
2020-05-26,12.825
2020-05-27,10.723
2020-05-28,11.586
2020-05-29,12.442
2020-05-30,12.442
2020-05-31,12.442
2020-06-01,12.423
2020-06-02,11.37
2020-06-03,10.068
2020-06-04,9.639
2020-06-05,9.023
2020-06-06,9.023
2020-06-07,9.023
2020-06-08,8.286
2020-06-09,8.921
2020-06-10,9.966
2020-06-11,11.706
2020-06-12,10.84
2020-06-13,10.84
2020-06-14,10.84
2020-06-15,11.006
2020-06-16,10.358
2020-06-17,11.067
2020-06-18,10.855
2020-06-19,11.502
2020-06-20,11.502
2020-06-21,11.502
2020-06-22,11.177
2020-06-23,11.067
2020-06-24,11.671
2020-06-25,12.174
2020-06-26,13.145
2020-06-27,13.145
2020-06-28,13.145
2020-06-29,11.954
2020-06-30,11.502
2020-07-01,12.026
2020-07-02,11.637
2020-07-03,11.637
2020-07-04,11.637
2020-07-05,11.637
2020-07-06,11.972
2020-07-07,12.063
2020-07-08,11.535
2020-07-09,11.936
2020-07-10,11.689
2020-07-11,11.689
2020-07-12,11.689
2020-07-13,12.045
2020-07-14,11.758
2020-07-15,10.975
2020-07-16,11.485
2020-07-17,11.9
2020-07-18,11.9
2020-07-19,11.9
2020-07-20,12.345
2020-07-21,11.637
2020-07-22,12.25
2020-07-23,11.864
2020-07-24,12.269
2020-07-25,12.269
2020-07-26,12.269
2020-07-27,12.743
2020-07-28,12.307
2020-07-29,12.193
2020-07-30,12.722
2020-07-31,13.058
2020-08-01,13.058
2020-08-02,13.058
2020-08-03,12.973
2020-08-04,12.909
2020-08-05,12.364
2020-08-06,12.681
2020-08-07,11.954
2020-08-08,11.954
2020-08-09,11.954
2020-08-10,11.083
2020-08-11,11.256
2020-08-12,11.114
2020-08-13,11.353
2020-08-14,11.006
2020-08-15,11.006
2020-08-16,11.006
2020-08-17,11.067
2020-08-18,12.081
2020-08-19,12.137
2020-08-20,12.601
2020-08-21,12.641
2020-08-22,12.641
2020-08-23,12.641
2020-08-24,11.972
2020-08-25,12.045
2020-08-26,12.156
2020-08-27,11.954
2020-08-28,11.386
2020-08-29,11.386
2020-08-30,11.386
2020-08-31,11.353
2020-09-01,11.289
2020-09-02,11.224
