,POOL US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,1.48
2020-05-05,1.433
2020-05-06,1.43
2020-05-07,1.454
2020-05-08,1.415
2020-05-09,1.415
2020-05-10,1.415
2020-05-11,1.396
2020-05-12,1.435
2020-05-13,1.47
2020-05-14,1.457
2020-05-15,1.422
2020-05-16,1.422
2020-05-17,1.422
2020-05-18,1.381
2020-05-19,1.385
2020-05-20,1.374
2020-05-21,1.33
2020-05-22,1.331
2020-05-23,1.331
2020-05-24,1.331
2020-05-25,1.331
2020-05-26,1.306
2020-05-27,1.246
2020-05-28,1.224
2020-05-29,1.179
2020-05-30,1.179
2020-05-31,1.179
2020-06-01,1.184
2020-06-02,1.193
2020-06-03,1.177
2020-06-04,1.207
2020-06-05,1.225
2020-06-06,1.225
2020-06-07,1.225
2020-06-08,1.242
2020-06-09,1.208
2020-06-10,1.209
2020-06-11,1.26
2020-06-12,1.255
2020-06-13,1.255
2020-06-14,1.255
2020-06-15,1.243
2020-06-16,1.204
2020-06-17,1.195
2020-06-18,1.196
2020-06-19,1.189
2020-06-20,1.189
2020-06-21,1.189
2020-06-22,1.171
2020-06-23,1.192
2020-06-24,1.214
2020-06-25,1.202
2020-06-26,1.215
2020-06-27,1.215
2020-06-28,1.215
2020-06-29,1.193
2020-06-30,1.166
2020-07-01,1.162
2020-07-02,1.174
2020-07-03,1.174
2020-07-04,1.174
2020-07-05,1.174
2020-07-06,1.178
2020-07-07,1.166
2020-07-08,1.171
2020-07-09,1.136
2020-07-10,1.139
2020-07-11,1.139
2020-07-12,1.139
2020-07-13,1.148
2020-07-14,1.127
2020-07-15,1.103
2020-07-16,1.118
2020-07-17,1.077
2020-07-18,1.077
2020-07-19,1.077
2020-07-20,1.052
2020-07-21,1.07
2020-07-22,1.05
2020-07-23,1.055
2020-07-24,1.042
2020-07-25,1.042
2020-07-26,1.042
2020-07-27,1.022
2020-07-28,1.034
2020-07-29,1.172
2020-07-30,1.168
2020-07-31,1.162
2020-08-01,1.162
2020-08-02,1.162
2020-08-03,1.142
2020-08-04,1.133
2020-08-05,1.122
2020-08-06,1.12
2020-08-07,1.12
2020-08-08,1.12
2020-08-09,1.12
2020-08-10,1.13
2020-08-11,1.164
2020-08-12,1.132
2020-08-13,1.147
2020-08-14,1.15
2020-08-15,1.15
2020-08-16,1.15
2020-08-17,1.126
2020-08-18,1.119
2020-08-19,1.128
2020-08-20,1.128
2020-08-21,1.102
2020-08-22,1.102
2020-08-23,1.102
2020-08-24,1.097
2020-08-25,1.095
2020-08-26,1.093
2020-08-27,1.091
2020-08-28,1.11
2020-08-29,1.11
2020-08-30,1.11
2020-08-31,1.12
2020-09-01,1.113
2020-09-02,1.113
2020-09-03,1.186
2020-09-04,1.245
2020-09-05,1.245
2020-09-06,1.245
2020-09-07,1.245
2020-09-08,1.253
2020-09-09,1.214
2020-09-10,1.223
2020-09-11,1.223
2020-09-12,1.223
2020-09-13,1.223
