,QCOM US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,4.388
2020-05-01,4.564
2020-05-02,4.564
2020-05-03,4.564
2020-05-04,4.562
2020-05-05,4.447
2020-05-06,4.377
2020-05-07,4.379
2020-05-08,4.285
2020-05-09,4.285
2020-05-10,4.285
2020-05-11,4.29
2020-05-12,4.402
2020-05-13,4.426
2020-05-14,4.322
2020-05-15,4.556
2020-05-16,4.556
2020-05-17,4.556
2020-05-18,4.319
2020-05-19,4.421
2020-05-20,4.282
2020-05-21,4.426
2020-05-22,4.387
2020-05-23,4.387
2020-05-24,4.387
2020-05-25,4.387
2020-05-26,4.425
2020-05-27,4.354
2020-05-28,4.42
2020-05-29,4.268
2020-05-30,4.268
2020-05-31,4.268
2020-06-01,4.33
2020-06-02,4.079
2020-06-03,4.073
2020-06-04,3.982
2020-06-05,3.869
2020-06-06,3.869
2020-06-07,3.869
2020-06-08,3.749
2020-06-09,3.817
2020-06-10,3.764
2020-06-11,4.077
2020-06-12,4.019
2020-06-13,4.019
2020-06-14,4.019
2020-06-15,3.965
2020-06-16,3.827
2020-06-17,3.809
2020-06-18,3.81
2020-06-19,3.857
2020-06-20,3.857
2020-06-21,3.857
2020-06-22,3.844
2020-06-23,3.834
2020-06-24,3.843
2020-06-25,3.851
2020-06-26,3.892
2020-06-27,3.892
2020-06-28,3.892
2020-06-29,3.849
2020-06-30,3.756
2020-07-01,3.816
2020-07-02,3.729
2020-07-03,3.729
2020-07-04,3.729
2020-07-05,3.729
2020-07-06,3.687
2020-07-07,3.718
2020-07-08,3.663
2020-07-09,3.674
2020-07-10,3.703
2020-07-11,3.703
2020-07-12,3.703
2020-07-13,3.751
2020-07-14,3.708
2020-07-15,3.702
2020-07-16,3.756
2020-07-17,3.714
2020-07-18,3.714
2020-07-19,3.714
2020-07-20,3.677
2020-07-21,3.711
2020-07-22,3.7
2020-07-23,3.82
2020-07-24,3.854
2020-07-25,3.854
2020-07-26,3.854
2020-07-27,3.696
2020-07-28,3.746
2020-07-29,3.682
2020-07-30,3.196
2020-07-31,3.244
2020-08-01,3.244
2020-08-02,3.244
2020-08-03,3.126
2020-08-04,3.088
2020-08-05,3.075
2020-08-06,3.085
2020-08-07,3.165
2020-08-08,3.165
2020-08-09,3.165
2020-08-10,3.221
2020-08-11,3.148
2020-08-12,2.959
2020-08-13,3.021
2020-08-14,3.012
2020-08-15,3.012
2020-08-16,3.012
2020-08-17,3.054
2020-08-18,3.058
2020-08-19,3.085
2020-08-20,3.096
2020-08-21,3.032
2020-08-22,3.032
2020-08-23,3.032
2020-08-24,2.956
2020-08-25,2.955
2020-08-26,2.952
2020-08-27,2.953
2020-08-28,2.898
2020-08-29,2.898
2020-08-30,2.898
2020-08-31,2.876
2020-09-01,2.808
2020-09-02,2.766
2020-09-03,2.927
2020-09-04,2.938
2020-09-05,2.938
2020-09-06,2.938
2020-09-07,2.938
2020-09-08,3.104
2020-09-09,2.989
2020-09-10,3.031
2020-09-11,3.004
2020-09-12,3.004
