,TRGP US Equity
,BEST_DIV_YLD
2020-01-01,9.904
2020-01-02,9.958
2020-01-03,9.803
2020-01-04,9.803
2020-01-05,9.803
2020-01-06,9.66
2020-01-07,9.635
2020-01-08,10.214
2020-01-09,10.019
2020-01-10,10.199
2020-01-11,10.199
2020-01-12,10.199
2020-01-13,10.069
2020-01-14,9.89
2020-01-15,9.904
2020-01-16,9.801
2020-01-17,9.796
2020-01-18,9.796
2020-01-19,9.796
2020-01-20,9.796
2020-01-21,10.054
2020-01-22,10.277
2020-01-23,10.271
2020-01-24,10.455
2020-01-25,10.455
2020-01-26,10.455
2020-01-27,10.769
2020-01-28,10.569
2020-01-29,10.628
2020-01-30,10.662
2020-01-31,10.814
2020-02-01,10.814
2020-02-02,10.814
2020-02-03,10.796
2020-02-04,10.503
2020-02-05,10.292
2020-02-06,10.412
2020-02-07,10.588
2020-02-08,10.588
2020-02-09,10.588
2020-02-10,11.163
2020-02-11,10.895
2020-02-12,10.703
2020-02-13,10.811
2020-02-14,10.7
2020-02-15,10.7
2020-02-16,10.7
2020-02-17,10.7
2020-02-18,10.708
2020-02-19,10.682
2020-02-20,10.005
2020-02-21,10.085
2020-02-22,10.085
2020-02-23,10.085
2020-02-24,10.453
2020-02-25,11.066
2020-02-26,11.362
2020-02-27,12.232
2020-02-28,12.183
2020-02-29,12.183
2020-03-01,12.183
2020-03-02,11.64
2020-03-03,11.936
2020-03-04,11.623
2020-03-05,12.145
2020-03-06,14.168
2020-03-07,14.168
2020-03-08,14.168
2020-03-09,30.085
2020-03-10,27.895
2020-03-11,27.316
2020-03-12,35.496
2020-03-13,31.628
2020-03-14,31.628
2020-03-15,31.628
2020-03-16,40.154
2020-03-17,13.686
2020-03-18,20.862
2020-03-19,6.788
2020-03-20,5.942
2020-03-21,5.942
2020-03-22,5.942
2020-03-23,6.109
2020-03-24,5.408
2020-03-25,5.303
2020-03-26,5.67
2020-03-27,6.205
2020-03-28,6.205
2020-03-29,6.205
2020-03-30,6.694
2020-03-31,6.277
2020-04-01,7.364
2020-04-02,6.863
2020-04-03,6.852
2020-04-04,6.852
2020-04-05,6.852
2020-04-06,6.016
2020-04-07,5.518
2020-04-08,5.429
2020-04-09,5.038
2020-04-10,5.038
2020-04-11,5.038
2020-04-12,5.038
2020-04-13,5.073
2020-04-14,4.997
2020-04-15,5.429
2020-04-16,5.648
2020-04-17,5.47
2020-04-18,5.47
2020-04-19,5.47
2020-04-20,5.504
2020-04-21,5.533
2020-04-22,5.226
2020-04-23,4.684
2020-04-24,4.462
2020-04-25,4.462
2020-04-26,4.462
2020-04-27,4.32
2020-04-28,4.104
2020-04-29,3.55
2020-04-30,3.319
2020-05-01,3.643
2020-05-02,3.643
2020-05-03,3.643
2020-05-04,3.597
2020-05-05,3.455
2020-05-06,3.69
2020-05-07,3.206
