,WMT US Equity
,BEST_DIV_YLD
2020-01-01,2.104
2020-01-02,2.103
2020-01-03,2.121
2020-01-04,2.121
2020-01-05,2.121
2020-01-06,2.126
2020-01-07,2.146
2020-01-08,2.153
2020-01-09,2.131
2020-01-10,2.149
2020-01-11,2.149
2020-01-12,2.149
2020-01-13,2.158
2020-01-14,2.153
2020-01-15,2.169
2020-01-16,2.158
2020-01-17,2.175
2020-01-18,2.175
2020-01-19,2.175
2020-01-20,2.175
2020-01-21,2.164
2020-01-22,2.154
2020-01-23,2.159
2020-01-24,2.187
2020-01-25,2.187
2020-01-26,2.187
2020-01-27,2.158
2020-01-28,2.145
2020-01-29,2.158
2020-01-30,2.145
2020-01-31,2.184
2020-02-01,2.184
2020-02-02,2.184
2020-02-03,2.188
2020-02-04,2.17
2020-02-05,2.141
2020-02-06,2.15
2020-02-07,2.148
2020-02-08,2.148
2020-02-09,2.148
2020-02-10,2.17
2020-02-11,2.167
2020-02-12,2.159
2020-02-13,2.129
2020-02-14,2.121
2020-02-15,2.121
2020-02-16,2.121
2020-02-17,2.121
2020-02-18,2.09
2020-02-19,2.357
2020-02-20,2.356
2020-02-21,2.339
2020-02-22,2.339
2020-02-23,2.339
2020-02-24,2.384
2020-02-25,2.424
2020-02-26,2.437
2020-02-27,2.512
2020-02-28,2.576
2020-02-29,2.576
2020-03-01,2.576
2020-03-02,2.393
2020-03-03,2.456
2020-03-04,2.375
2020-03-05,2.392
2020-03-06,2.366
2020-03-07,2.366
2020-03-08,2.366
2020-03-09,2.367
2020-03-10,2.315
2020-03-11,2.424
2020-03-12,2.665
2020-03-13,2.431
2020-03-14,2.431
2020-03-15,2.431
2020-03-16,2.598
2020-03-17,2.325
2020-03-18,2.262
2020-03-19,2.312
2020-03-20,2.423
2020-03-21,2.423
2020-03-22,2.423
2020-03-23,2.416
2020-03-24,2.4
2020-03-25,2.524
2020-03-26,2.514
2020-03-27,2.52
2020-03-28,2.52
2020-03-29,2.52
2020-03-30,2.397
2020-03-31,2.43
2020-04-01,2.419
2020-04-02,2.327
2020-04-03,2.311
2020-04-04,2.311
2020-04-05,2.311
2020-04-06,2.19
2020-04-07,2.263
2020-04-08,2.266
2020-04-09,2.267
2020-04-10,2.267
2020-04-11,2.267
2020-04-12,2.267
2020-04-13,2.204
2020-04-14,2.14
2020-04-15,2.144
2020-04-16,2.087
2020-04-17,2.09
2020-04-18,2.09
2020-04-19,2.09
2020-04-20,2.126
2020-04-21,2.137
2020-04-22,2.098
2020-04-23,2.148
2020-04-24,2.133
2020-04-25,2.133
2020-04-26,2.133
2020-04-27,2.152
2020-04-28,2.157
2020-04-29,2.234
2020-04-30,2.272
2020-05-01,2.246
2020-05-02,2.246
2020-05-03,2.246
2020-05-04,2.232
2020-05-05,2.214
2020-05-06,2.239
2020-05-07,2.255
2020-05-08,2.236
2020-05-09,2.236
2020-05-10,2.236
2020-05-11,2.223
2020-05-12,2.221
2020-05-13,2.222
2020-05-14,2.227
2020-05-15,2.183
2020-05-16,2.183
2020-05-17,2.183
2020-05-18,2.153
2020-05-19,2.175
2020-05-20,2.103
