tick,dw_score,dw_date
DEC,5,2014-05-30
DEC,4,2014-06-20
DEC,3,2014-07-31
DEC,4,2015-01-30
DEC,5,2015-07-07
DEC,4,2015-08-05
DEC,5,2016-01-21
DEC,3,2016-06-27
DEC,2,2016-10-10
DEC,1,2016-10-27
DEC,3,2017-11-08
DEC,4,2017-11-09
DEC,3,2018-03-23
DEC,2,2018-05-16
DEC,1,2018-05-24
DEC,2,2018-09-27
DEC,1,2018-12-19
DEC,0,2019-05-21
DEC,1,2020-05-12
DEC,2,2020-05-18
DEC,1,2020-05-20
DEC,0,2020-06-22
DEC,3,2020-11-09
DEC,2,2020-11-27
DEC,1,2021-01-08
DEC,2,2021-02-24
DEC,3,2021-03-01
DEC,4,2021-07-12
DEC,3,2021-08-19
DEC,2,2021-09-17
DEC,3,2021-11-05
DEC,4,2022-02-08
DEC,5,2022-02-15
DEC,4,2022-04-01
DEC,3,2022-04-06
DEC,2,2022-04-07
DEC,1,2022-05-06
DEC,0,2022-06-13
DEC,1,2022-11-04
DEC,2,2022-11-09
DEC,3,2023-01-04
DEC,2,2023-05-12
DEC,1,2023-07-05
DEC,2,2024-05-03
