tick,dw_score,dw_date
AL,0,2011-04-19
AL,1,2012-01-11
AL,2,2012-01-13
AL,1,2012-05-25
AL,2,2012-11-14
AL,1,2013-01-09
AL,2,2013-02-20
AL,4,2014-06-02
AL,3,2014-07-31
AL,2,2014-09-19
AL,1,2015-08-21
AL,0,2016-01-19
AL,1,2016-02-29
AL,2,2016-03-18
AL,1,2016-06-24
AL,2,2016-11-14
AL,3,2017-02-14
AL,2,2018-10-23
AL,1,2018-11-16
AL,2,2019-06-11
AL,3,2019-09-11
AL,4,2019-12-06
AL,3,2020-02-25
AL,2,2020-03-05
AL,0,2020-03-12
AL,2,2020-03-19
AL,0,2020-03-27
AL,2,2020-05-08
AL,3,2020-05-28
AL,2,2020-07-21
AL,3,2020-09-16
AL,4,2020-12-04
AL,3,2021-05-07
AL,2,2021-06-17
AL,1,2021-06-29
AL,3,2021-11-05
AL,2,2022-01-26
AL,3,2022-02-18
AL,1,2022-03-04
AL,0,2022-03-07
AL,1,2022-03-24
AL,2,2022-04-21
AL,1,2022-05-09
AL,0,2022-06-23
AL,1,2022-12-01
AL,2,2023-01-04
AL,3,2023-01-09
AL,4,2023-01-19
AL,2,2023-10-18
AL,1,2024-03-01
AL,2,2024-03-07
AL,3,2024-03-26
AL,4,2024-04-24
