tick,dw_score,dw_date
ALB,0,3/5/24
ALB,2,3/1/24
ALB,0,1/19/24
ALB,1,12/14/23
ALB,0,10/19/23
ALB,1,8/14/23
ALB,2,8/11/23
ALB,3,8/10/23
ALB,4,6/13/23
ALB,3,5/23/23
ALB,1,4/5/23
ALB,2,3/17/23
ALB,3,3/9/23
ALB,4,2/1/23
ALB,3,1/26/23
ALB,2,12/21/22
ALB,3,11/28/22
ALB,5,10/25/22
ALB,4,10/13/22
ALB,5,8/4/22
ALB,4,6/16/22
ALB,5,5/5/22
ALB,3,5/4/22
ALB,2,5/2/22
ALB,3,3/23/22
ALB,2,2/17/22
ALB,3,2/9/22
ALB,2,1/19/22
ALB,3,12/20/21
ALB,4,12/15/21
ALB,5,7/22/21
ALB,4,7/12/21
ALB,3,7/9/21
ALB,2,6/17/21
ALB,3,5/27/21
ALB,2,5/6/21
ALB,3,3/11/21
ALB,2,3/4/21
ALB,3,2/18/21
ALB,5,10/6/20
ALB,4,9/23/20
ALB,5,7/13/20
ALB,4,6/2/20
ALB,3,5/27/20
ALB,2,3/20/20
ALB,4,3/9/20
ALB,5,3/5/20
ALB,4,1/17/20
ALB,3,1/15/20
ALB,2,12/19/19
ALB,1,12/3/19
ALB,2,11/7/19
ALB,1,3/27/19
ALB,2,2/21/19
ALB,1,1/24/19
ALB,2,1/9/19
ALB,3,12/4/18
ALB,4,12/3/18
ALB,3,11/20/18
ALB,4,10/31/18
ALB,2,10/23/18
ALB,3,9/11/18
ALB,2,8/23/18
ALB,3,8/8/18
ALB,2,3/2/18
ALB,3,1/19/18
ALB,4,1/18/18
ALB,5,3/30/16
ALB,4,2/18/16
ALB,3,1/14/16
ALB,4,12/28/15
ALB,3,12/22/15
ALB,2,12/17/15
ALB,1,10/16/15
ALB,0,8/25/15
ALB,1,8/21/15
ALB,2,7/24/15
ALB,3,5/7/15
ALB,0,7/31/14
ALB,1,3/4/14
ALB,0,2/4/14
ALB,1,12/18/13
ALB,2,5/10/13
ALB,1,4/19/13
ALB,2,11/23/12
ALB,1,9/13/12
ALB,2,9/12/12
ALB,3,9/5/12
ALB,4,5/17/12
ALB,5,2/1/12
ALB,4,1/12/12
ALB,3,10/27/11
ALB,2,9/6/11
ALB,3,8/22/11
ALB,4,8/8/11
ALB,5,5/18/10
ALB,4,4/7/10
ALB,3,7/9/09
ALB,4,4/9/09
ALB,3,2/3/09
ALB,2,1/15/09
ALB,1,11/25/08
ALB,2,10/1/08
ALB,3,7/21/08
ALB,4,5/13/08
ALB,3,1/23/08
ALB,4,1/22/08
ALB,5,10/10/07
ALB,4,6/19/07
ALB,5,1/27/06
ALB,4,8/30/04
ALB,3,2/12/04
ALB,4,3/5/03
ALB,5,4/25/02
ALB,4,3/11/02
ALB,3,12/18/01
ALB,2,8/7/01
ALB,3,8/3/01
ALB,4,7/16/01
ALB,5,12/28/00
ALB,4,9/19/00
ALB,5,7/28/00
ALB,4,5/3/00
ALB,3,3/31/00
ALB,2,3/20/00
ALB,1,3/1/00
ALB,2,9/30/99
ALB,0,8/3/99
ALB,1,7/16/99
ALB,2,3/30/99
ALB,4,1/4/99
ALB,3,12/30/98
ALB,2,12/21/98
ALB,1,11/20/98
ALB,3,10/14/98
ALB,2,10/1/98
ALB,0,7/31/98
ALB,1,7/24/98
ALB,2,1/14/98
ALB,3,9/3/97
ALB,2,7/2/97
ALB,1,3/13/97
ALB,0,7/23/96
ALB,1,6/28/96
ALB,2,9/12/95
ALB,1,7/14/94
ALB,0,7/13/94
