tick,dw_score,dw_date
AMCX,0,2011-06-16
AMCX,1,2011-06-17
AMCX,0,2011-08-05
AMCX,1,2011-11-10
AMCX,2,2012-01-27
AMCX,3,2012-01-31
AMCX,2,2012-05-22
AMCX,1,2012-06-28
AMCX,2,2012-07-25
AMCX,3,2012-11-08
AMCX,2,2013-11-18
AMCX,1,2013-12-18
AMCX,2,2014-02-26
AMCX,1,2014-04-15
AMCX,0,2014-05-08
AMCX,1,2015-01-22
AMCX,2,2015-03-19
AMCX,3,2015-03-27
AMCX,2,2015-08-21
AMCX,3,2015-10-07
AMCX,2,2015-10-21
AMCX,3,2015-11-11
AMCX,2,2015-12-31
AMCX,3,2016-01-13
AMCX,2,2016-01-20
AMCX,1,2016-03-02
AMCX,0,2016-04-04
AMCX,1,2016-05-05
AMCX,0,2016-05-24
AMCX,1,2017-01-04
AMCX,0,2017-05-17
AMCX,1,2017-07-19
AMCX,0,2017-10-12
AMCX,1,2018-02-21
AMCX,2,2018-05-10
AMCX,3,2018-06-11
AMCX,2,2018-10-24
AMCX,3,2019-01-10
AMCX,2,2019-03-22
AMCX,0,2019-05-03
AMCX,2,2020-03-16
AMCX,1,2020-03-31
AMCX,0,2020-04-02
AMCX,2,2020-05-12
AMCX,0,2020-06-17
AMCX,2,2020-11-16
AMCX,3,2020-11-17
AMCX,5,2021-01-22
AMCX,3,2021-02-02
AMCX,5,2021-02-26
AMCX,4,2021-03-24
AMCX,3,2021-03-26
AMCX,2,2021-05-03
AMCX,1,2021-05-05
AMCX,3,2021-06-04
AMCX,2,2021-07-14
AMCX,1,2021-07-15
AMCX,0,2021-07-30
AMCX,1,2022-01-28
AMCX,2,2022-01-31
AMCX,1,2022-04-26
AMCX,3,2022-05-18
AMCX,4,2022-05-19
AMCX,3,2022-06-06
AMCX,1,2022-06-13
AMCX,0,2022-06-16
AMCX,1,2023-02-15
AMCX,3,2023-02-17
AMCX,2,2023-03-06
AMCX,1,2023-03-09
AMCX,0,2023-03-24
AMCX,1,2023-07-19
AMCX,0,2023-09-07
AMCX,2,2023-09-21
AMCX,4,2023-11-03
AMCX,2,2024-02-07
AMCX,1,2024-02-09
AMCX,0,2024-04-15
AMCX,1,2024-05-08
AMCX,2,2024-05-13
