tick,dw_score,dw_date
APO,0,2011-03-30
APO,1,2011-03-31
APO,0,2011-08-04
APO,1,2011-11-01
APO,2,2011-11-09
APO,3,2012-01-19
APO,2,2012-04-20
APO,1,2012-05-02
APO,0,2012-05-17
APO,1,2012-07-20
APO,2,2012-08-01
APO,3,2012-11-27
APO,4,2012-12-19
APO,5,2012-12-27
APO,4,2013-06-03
APO,5,2013-08-14
APO,3,2014-04-08
APO,2,2014-05-12
APO,3,2015-01-28
APO,2,2015-03-06
APO,1,2015-08-19
APO,0,2015-11-17
APO,1,2016-02-18
APO,2,2016-11-14
APO,3,2017-02-07
APO,4,2018-09-25
APO,2,2018-11-19
APO,1,2018-12-20
APO,2,2019-04-22
APO,3,2019-06-14
APO,4,2019-07-01
APO,5,2019-08-28
APO,4,2020-03-12
APO,3,2020-03-23
APO,4,2020-03-25
APO,5,2020-04-27
APO,4,2020-08-14
APO,3,2020-10-12
APO,2,2020-10-13
APO,3,2020-12-03
APO,4,2021-05-11
APO,5,2021-06-25
APO,4,2022-01-21
APO,3,2022-03-07
APO,4,2022-07-28
APO,3,2022-09-22
APO,4,2022-11-01
APO,5,2022-11-02
APO,4,2023-03-10
APO,5,2023-05-30
