tick,dw_score,dw_date
BKE,0,1995-06-09
BKE,1,1995-07-07
BKE,2,1996-05-22
BKE,0,1996-07-08
BKE,1,1996-08-07
BKE,2,1996-08-29
BKE,1,1996-09-27
BKE,0,1996-10-08
BKE,2,1997-04-04
BKE,3,1997-05-12
BKE,4,1997-10-06
BKE,5,1997-11-20
BKE,4,1997-12-18
BKE,5,1998-01-08
BKE,4,1998-06-26
BKE,3,1998-06-29
BKE,2,1998-09-23
BKE,1,1998-10-08
BKE,3,1998-10-20
BKE,2,1998-12-08
BKE,3,1999-01-06
BKE,4,1999-01-07
BKE,3,1999-02-23
BKE,2,1999-03-08
BKE,1,1999-04-06
BKE,2,1999-04-15
BKE,3,1999-04-16
BKE,1,1999-05-07
BKE,2,1999-05-18
BKE,3,1999-05-20
BKE,5,1999-05-28
BKE,0,1999-08-05
BKE,1,1999-09-23
BKE,0,1999-11-04
BKE,1,2000-01-24
BKE,2,2000-01-28
BKE,1,2000-02-16
BKE,2,2000-03-17
BKE,1,2000-04-07
BKE,0,2000-04-10
BKE,1,2000-05-24
BKE,2,2000-05-30
BKE,1,2000-06-30
BKE,0,2000-09-26
BKE,1,2000-10-06
BKE,2,2000-10-10
BKE,3,2000-10-11
BKE,4,2000-10-12
BKE,3,2000-12-07
BKE,2,2000-12-18
BKE,3,2001-04-06
BKE,4,2001-04-11
BKE,2,2001-05-11
BKE,1,2001-06-20
BKE,2,2001-08-30
BKE,3,2001-12-21
BKE,4,2001-12-31
BKE,5,2002-02-21
BKE,4,2002-05-07
BKE,5,2002-06-25
BKE,4,2002-08-08
BKE,2,2002-10-03
BKE,3,2003-10-15
BKE,4,2004-02-03
BKE,5,2004-03-12
BKE,3,2005-08-04
BKE,4,2006-04-03
BKE,5,2006-04-19
BKE,3,2006-08-17
BKE,4,2006-11-16
BKE,5,2006-11-29
BKE,4,2008-01-02
BKE,5,2008-01-14
BKE,4,2008-10-22
BKE,3,2008-11-04
BKE,2,2008-11-05
BKE,3,2008-12-04
BKE,4,2008-12-10
BKE,3,2009-01-07
BKE,4,2009-02-05
BKE,5,2009-03-12
BKE,4,2009-04-16
BKE,3,2009-06-05
BKE,2,2009-07-21
BKE,1,2009-08-06
BKE,2,2009-09-25
BKE,3,2009-10-01
BKE,4,2009-10-05
BKE,3,2009-11-12
BKE,2,2009-11-17
BKE,1,2009-12-03
BKE,2,2010-03-19
BKE,1,2010-06-07
BKE,0,2010-07-13
BKE,1,2010-11-04
BKE,2,2010-11-10
BKE,3,2010-11-18
BKE,4,2011-05-18
BKE,3,2011-08-18
BKE,4,2011-09-27
BKE,3,2011-11-18
BKE,4,2012-01-19
BKE,3,2012-05-03
BKE,2,2012-05-31
BKE,1,2012-06-01
BKE,2,2012-08-30
BKE,3,2012-11-07
BKE,4,2012-11-09
BKE,3,2013-02-15
BKE,2,2013-03-06
BKE,1,2013-10-10
BKE,0,2013-10-17
BKE,1,2014-08-21
BKE,2,2015-01-05
BKE,1,2015-04-09
BKE,0,2015-04-29
BKE,1,2017-09-27
BKE,2,2017-11-02
BKE,3,2017-11-29
BKE,2,2018-01-09
BKE,1,2018-01-17
BKE,3,2018-03-28
BKE,4,2018-05-15
BKE,3,2018-09-07
BKE,2,2018-09-13
BKE,1,2018-10-17
BKE,2,2018-12-26
BKE,1,2019-01-23
BKE,0,2019-04-22
BKE,1,2019-07-12
BKE,2,2019-07-17
BKE,3,2019-07-22
BKE,4,2019-08-07
BKE,2,2020-03-10
BKE,1,2020-03-12
BKE,2,2020-03-19
BKE,3,2020-03-24
BKE,2,2020-03-30
BKE,1,2020-03-31
BKE,0,2020-04-01
BKE,1,2020-05-21
BKE,0,2020-07-20
BKE,1,2020-08-05
BKE,2,2020-09-03
BKE,3,2020-09-04
BKE,4,2020-11-03
BKE,3,2020-11-27
BKE,4,2021-06-30
BKE,3,2021-08-20
BKE,1,2021-08-26
BKE,2,2021-09-23
BKE,3,2021-11-16
BKE,4,2021-11-18
BKE,5,2021-12-09
BKE,4,2021-12-17
BKE,3,2021-12-20
BKE,1,2022-01-10
BKE,2,2022-09-16
BKE,3,2022-09-23
BKE,4,2022-10-25
BKE,2,2023-03-02
BKE,1,2023-05-26
BKE,3,2023-12-06
BKE,4,2023-12-19
BKE,2,2024-01-16
