tick,dw_score,dw_date
BOOM,0,2004-06-30
BOOM,1,2004-07-01
BOOM,2,2004-10-18
BOOM,3,2004-10-19
BOOM,1,2004-12-03
BOOM,3,2005-01-31
BOOM,5,2005-02-25
BOOM,4,2005-04-11
BOOM,3,2005-04-12
BOOM,5,2005-04-21
BOOM,4,2005-08-24
BOOM,3,2005-08-26
BOOM,4,2005-09-30
BOOM,5,2005-10-03
BOOM,4,2005-11-15
BOOM,5,2005-12-05
BOOM,3,2006-02-08
BOOM,4,2006-03-24
BOOM,5,2006-04-06
BOOM,4,2006-05-09
BOOM,3,2006-05-12
BOOM,2,2006-05-19
BOOM,3,2006-06-02
BOOM,4,2006-07-03
BOOM,2,2006-10-03
BOOM,1,2006-10-04
BOOM,0,2006-11-29
BOOM,2,2007-02-23
BOOM,3,2007-07-23
BOOM,4,2007-08-08
BOOM,5,2007-08-09
BOOM,4,2008-01-09
BOOM,2,2008-01-16
BOOM,3,2008-02-01
BOOM,4,2008-02-14
BOOM,1,2008-03-07
BOOM,2,2008-05-23
BOOM,3,2008-05-28
BOOM,1,2008-07-02
BOOM,0,2008-07-08
BOOM,2,2008-10-31
BOOM,1,2008-11-19
BOOM,0,2008-11-20
BOOM,2,2008-12-16
BOOM,3,2008-12-26
BOOM,1,2009-01-21
BOOM,0,2009-01-23
BOOM,2,2009-03-12
BOOM,3,2009-05-08
BOOM,1,2009-07-06
BOOM,0,2010-01-26
BOOM,1,2010-12-07
BOOM,3,2010-12-17
BOOM,2,2011-01-31
BOOM,3,2011-02-25
BOOM,4,2011-02-28
BOOM,2,2011-05-11
BOOM,3,2011-08-03
BOOM,2,2011-08-19
BOOM,1,2011-09-15
BOOM,0,2011-09-22
BOOM,1,2011-10-05
BOOM,2,2011-10-06
BOOM,3,2011-10-10
BOOM,2,2012-04-03
BOOM,1,2012-04-04
BOOM,0,2012-05-23
BOOM,1,2013-02-01
BOOM,2,2013-07-31
BOOM,3,2013-08-08
BOOM,2,2014-01-06
BOOM,1,2014-02-26
BOOM,0,2014-12-01
BOOM,1,2015-07-29
BOOM,0,2015-08-26
BOOM,1,2015-08-31
BOOM,2,2015-09-01
BOOM,0,2015-09-11
BOOM,1,2016-02-08
BOOM,0,2016-02-25
BOOM,1,2016-03-08
BOOM,3,2016-04-18
BOOM,4,2016-07-12
BOOM,3,2016-09-14
BOOM,4,2016-11-04
BOOM,5,2016-11-11
BOOM,3,2017-03-08
BOOM,4,2017-04-20
BOOM,3,2017-05-30
BOOM,5,2017-09-21
BOOM,4,2018-07-27
BOOM,3,2018-08-30
BOOM,4,2018-10-29
BOOM,5,2019-02-22
BOOM,4,2019-06-14
BOOM,3,2019-06-25
BOOM,2,2019-07-26
BOOM,3,2019-12-12
BOOM,4,2019-12-13
BOOM,3,2019-12-17
BOOM,2,2020-01-08
BOOM,1,2020-02-03
BOOM,0,2020-03-09
BOOM,2,2020-03-18
BOOM,0,2020-03-30
BOOM,2,2020-04-07
BOOM,0,2020-04-27
BOOM,1,2020-06-02
BOOM,2,2020-06-05
BOOM,1,2020-06-29
BOOM,0,2020-07-07
BOOM,1,2020-08-05
BOOM,2,2020-08-11
BOOM,3,2020-08-20
BOOM,2,2020-09-23
BOOM,3,2020-10-06
BOOM,4,2020-11-16
BOOM,5,2021-01-29
BOOM,3,2021-03-18
BOOM,2,2021-04-07
BOOM,3,2021-05-03
BOOM,4,2021-06-14
BOOM,3,2021-06-28
BOOM,2,2021-07-19
BOOM,1,2021-07-22
BOOM,0,2021-08-13
BOOM,1,2021-11-08
BOOM,0,2021-11-19
BOOM,1,2022-01-03
BOOM,3,2022-01-14
BOOM,2,2022-02-03
BOOM,1,2022-02-09
BOOM,0,2022-02-25
BOOM,2,2022-03-10
BOOM,1,2022-04-07
BOOM,0,2022-04-11
BOOM,2,2022-05-06
BOOM,1,2022-06-14
BOOM,0,2022-06-16
BOOM,1,2022-07-29
BOOM,2,2022-08-17
BOOM,0,2022-09-06
BOOM,1,2022-10-19
BOOM,2,2022-10-28
BOOM,3,2022-10-31
BOOM,2,2022-11-22
BOOM,1,2022-11-23
BOOM,0,2022-12-22
BOOM,1,2022-12-29
BOOM,3,2023-01-12
BOOM,4,2023-02-02
BOOM,5,2023-02-07
BOOM,3,2023-03-23
BOOM,2,2023-05-03
BOOM,1,2023-06-12
BOOM,0,2023-06-16
BOOM,1,2023-07-18
BOOM,3,2023-08-09
BOOM,2,2023-10-16
BOOM,1,2023-10-26
BOOM,0,2023-11-03
