tick,dw_score,dw_date
CLX,0,1993-10-01
CLX,1,1993-10-04
CLX,2,1996-01-23
CLX,3,1996-09-11
CLX,2,1997-09-11
CLX,3,1997-11-26
CLX,4,1997-12-15
CLX,2,1998-09-21
CLX,3,1998-10-05
CLX,4,1998-10-19
CLX,3,1999-01-13
CLX,4,1999-01-28
CLX,5,1999-02-10
CLX,4,1999-04-13
CLX,3,1999-04-23
CLX,2,1999-04-28
CLX,1,1999-06-16
CLX,0,1999-08-12
CLX,2,1999-11-17
CLX,3,1999-12-17
CLX,2,2000-01-25
CLX,1,2000-02-07
CLX,0,2000-02-10
CLX,2,2000-04-12
CLX,3,2000-05-11
CLX,4,2000-06-15
CLX,2,2000-08-04
CLX,1,2000-08-07
CLX,2,2000-10-03
CLX,3,2000-10-05
CLX,4,2000-11-02
CLX,3,2000-12-06
CLX,1,2000-12-14
CLX,2,2001-08-23
CLX,3,2001-09-17
CLX,2,2001-12-06
CLX,3,2002-02-04
CLX,2,2002-07-19
CLX,3,2002-08-13
CLX,4,2002-08-28
CLX,5,2002-10-30
CLX,4,2003-01-09
CLX,5,2003-03-11
CLX,4,2003-05-12
CLX,3,2003-06-10
CLX,2,2003-06-18
CLX,3,2004-10-07
CLX,4,2005-04-13
CLX,3,2005-07-06
CLX,2,2005-07-11
CLX,1,2005-10-04
CLX,2,2006-02-02
CLX,1,2006-08-02
CLX,2,2006-09-26
CLX,1,2007-07-31
CLX,2,2007-11-07
CLX,3,2007-11-20
CLX,2,2008-04-17
CLX,3,2008-07-09
CLX,4,2008-08-08
CLX,5,2008-10-07
CLX,4,2008-10-10
CLX,5,2008-10-31
CLX,3,2008-12-05
CLX,2,2008-12-08
CLX,3,2009-02-18
CLX,4,2009-03-02
CLX,3,2009-03-26
CLX,4,2009-04-17
CLX,3,2009-04-29
CLX,2,2009-05-04
CLX,1,2009-05-06
CLX,2,2010-07-01
CLX,1,2010-11-03
CLX,0,2011-08-04
CLX,1,2011-08-08
CLX,2,2011-09-23
CLX,3,2011-10-21
CLX,2,2012-02-08
CLX,1,2012-02-17
CLX,2,2012-06-06
CLX,1,2013-05-06
CLX,0,2014-07-29
CLX,1,2014-09-22
CLX,2,2015-08-03
CLX,3,2015-12-14
CLX,4,2016-01-08
CLX,5,2016-01-19
CLX,4,2016-04-20
CLX,3,2016-04-21
CLX,2,2016-12-05
CLX,1,2018-03-26
CLX,2,2018-08-02
CLX,4,2018-10-09
CLX,3,2019-04-16
CLX,2,2019-05-01
CLX,3,2019-06-07
CLX,2,2019-09-16
CLX,1,2019-10-22
CLX,2,2020-01-22
CLX,3,2020-02-25
CLX,4,2020-02-27
CLX,5,2020-03-05
CLX,4,2020-03-12
CLX,5,2020-03-17
CLX,4,2020-03-24
CLX,3,2020-04-28
CLX,5,2020-07-09
CLX,4,2020-09-16
CLX,3,2020-11-05
CLX,0,2020-11-09
CLX,1,2021-01-25
CLX,0,2021-02-04
CLX,1,2021-07-19
CLX,0,2021-08-03
CLX,1,2021-11-16
CLX,0,2021-11-30
CLX,1,2021-12-15
CLX,0,2022-01-25
CLX,2,2022-05-06
CLX,1,2022-06-07
CLX,2,2022-08-16
CLX,1,2022-09-29
CLX,2,2022-11-14
CLX,1,2023-01-25
CLX,0,2023-02-02
CLX,1,2023-02-03
CLX,3,2023-03-15
CLX,4,2023-04-25
CLX,5,2023-05-03
CLX,4,2023-07-20
CLX,3,2023-07-31
CLX,2,2023-09-27
CLX,1,2023-10-11
CLX,2,2024-02-02
