tick,dw_score,dw_date
CNP,2,9/28/23
CNP,3,2/9/23
CNP,4,5/11/22
CNP,3,1/26/22
CNP,2,12/21/20
CNP,3,7/2/20
CNP,2,5/7/20
CNP,1,3/27/20
CNP,0,3/11/20
CNP,1,2/19/20
CNP,2,11/14/19
CNP,3,7/24/19
CNP,4,12/11/18
CNP,3,1/29/18
CNP,4,11/10/16
CNP,3,2/3/16
CNP,2,12/5/14
CNP,3,10/14/14
CNP,4,1/19/12
CNP,5,6/1/11
CNP,4,2/16/11
CNP,5,10/26/10
CNP,4,8/24/10
CNP,3,8/9/10
CNP,2,11/30/09
CNP,1,6/1/09
CNP,2,5/11/09
CNP,3,3/10/09
CNP,4,12/4/08
CNP,3,10/10/08
CNP,5,4/2/07
CNP,4,2/6/07
CNP,3,1/24/07
CNP,2,8/9/06
CNP,1,3/15/06
CNP,2,8/29/05
CNP,1,9/24/04
CNP,2,9/22/04
CNP,3,7/21/04
CNP,2,4/1/04
CNP,1,6/27/03
CNP,2,3/3/03
CNP,0,2/13/03
CNP,1,2/7/03
CNP,2,1/27/03
CNP,3,12/20/02
CNP,1,12/16/02
CNP,0,11/6/02
CNP,1,11/5/02
CNP,2,11/4/02
CNP,0,9/24/02
CNP,2,7/25/02
CNP,0,7/23/02
CNP,2,6/11/02
CNP,1,5/24/02
CNP,0,5/13/02
CNP,1,5/3/02
CNP,0,6/21/01
CNP,1,6/14/01
CNP,2,6/13/01
CNP,3,6/5/01
CNP,4,4/3/01
CNP,3,2/20/01
CNP,2,12/6/00
CNP,3,11/6/00
CNP,4,10/2/00
CNP,3,7/17/00
CNP,2,4/24/00
CNP,1,4/13/00
CNP,0,11/22/99
CNP,1,5/21/99
CNP,0,2/25/99
CNP,1,11/27/98
CNP,2,8/31/98
CNP,1,7/16/98
CNP,0,7/15/98
