tick,dw_score,dw_date
COLB,0,3/1/24
COLB,1,2/1/24
COLB,2,1/25/24
COLB,3,12/14/23
COLB,2,12/1/23
COLB,1,11/14/23
COLB,0,8/22/23
COLB,1,6/6/23
COLB,0,1/19/23
COLB,1,1/4/23
COLB,2,10/28/22
COLB,1,10/13/22
COLB,0,10/28/21
COLB,1,10/7/21
COLB,0,9/16/21
COLB,1,7/6/21
COLB,2,6/24/21
COLB,3,5/25/21
COLB,4,5/12/21
COLB,5,1/6/21
COLB,4,11/9/20
COLB,2,9/17/20
COLB,3,9/8/20
COLB,4,7/21/20
COLB,2,6/5/20
COLB,1,5/1/20
COLB,2,3/17/20
COLB,1,3/5/20
COLB,2,10/28/19
COLB,1,3/21/19
COLB,2,5/1/18
COLB,3,4/30/18
COLB,4,5/31/17
COLB,5,11/7/16
COLB,4,5/9/16
COLB,5,10/28/15
COLB,4,8/17/15
COLB,3,6/25/15
COLB,2,5/14/14
COLB,3,7/5/13
COLB,2,7/2/13
COLB,1,1/24/13
COLB,0,12/17/12
COLB,1,11/8/12
COLB,2,8/13/12
COLB,3,8/6/12
COLB,4,1/5/12
COLB,3,10/21/11
COLB,1,5/9/11
COLB,2,4/20/11
COLB,3,10/13/10
COLB,2,8/11/10
COLB,3,7/9/10
COLB,4,7/6/10
COLB,5,1/8/10
COLB,4,10/21/09
COLB,5,8/10/09
COLB,4,7/6/09
COLB,2,6/15/09
COLB,4,4/24/09
COLB,3,4/23/09
COLB,2,3/17/09
COLB,1,2/25/09
COLB,2,2/12/09
COLB,1,1/20/09
COLB,2,12/30/08
COLB,1,12/26/08
COLB,0,11/24/08
COLB,1,11/19/08
COLB,2,10/15/08
COLB,1,10/9/08
COLB,3,10/8/08
COLB,4,10/7/08
COLB,3,9/29/08
COLB,2,9/19/08
COLB,1,9/2/08
COLB,2,8/14/08
COLB,1,7/23/08
COLB,0,7/10/08
COLB,2,6/24/08
COLB,3,5/7/08
COLB,2,5/1/08
COLB,1,1/29/08
COLB,3,1/18/08
COLB,4,8/17/07
COLB,2,5/21/07
COLB,3,4/26/07
COLB,4,10/26/06
COLB,5,2/1/06
COLB,4,10/28/05
COLB,3,5/19/04
COLB,4,4/28/04
COLB,5,2/26/03
COLB,4,7/19/02
COLB,3,7/2/02
COLB,2,6/26/02
COLB,1,1/25/02
COLB,2,10/22/01
COLB,3,9/17/01
COLB,2,8/15/01
COLB,1,6/8/01
COLB,3,5/15/01
COLB,2,5/10/01
COLB,1,3/22/01
COLB,4,12/29/00
COLB,3,12/5/00
COLB,4,10/19/00
COLB,3,7/26/00
COLB,2,6/30/00
COLB,1,5/24/00
COLB,2,5/10/00
COLB,0,3/16/00
COLB,2,3/2/00
COLB,3,2/23/00
COLB,2,12/29/99
COLB,3,11/29/99
COLB,0,3/25/99
COLB,1,3/5/99
COLB,0,12/23/98
COLB,1,10/19/98
COLB,0,8/13/98
COLB,1,6/30/98
COLB,2,5/29/98
COLB,1,5/27/98
COLB,0,5/26/98
