tick,dw_score,dw_date
DE,0,1993-10-01
DE,1,1994-01-31
DE,2,1994-02-28
DE,1,1994-05-25
DE,0,1994-08-08
DE,1,1995-04-20
DE,2,1995-12-20
DE,3,1996-03-08
DE,4,1996-11-22
DE,3,1997-10-03
DE,2,1998-05-21
DE,0,1998-07-23
DE,1,1999-03-25
DE,2,1999-04-09
DE,3,1999-04-14
DE,2,1999-06-07
DE,1,1999-07-13
DE,0,1999-07-15
DE,2,1999-08-16
DE,3,1999-11-24
DE,4,1999-11-30
DE,5,2000-01-05
DE,4,2000-02-11
DE,3,2000-03-03
DE,4,2000-04-04
DE,5,2000-05-12
DE,4,2000-06-02
DE,3,2000-08-04
DE,2,2000-08-14
DE,1,2000-08-15
DE,2,2000-11-06
DE,3,2000-11-21
DE,4,2000-11-22
DE,3,2001-01-12
DE,2,2001-03-21
DE,1,2001-03-30
DE,2,2001-07-12
DE,3,2001-08-15
DE,4,2001-08-21
DE,3,2001-09-19
DE,4,2001-10-10
DE,5,2002-02-22
DE,4,2002-07-18
DE,5,2002-11-19
DE,4,2003-03-04
DE,3,2003-03-26
DE,2,2003-06-10
DE,3,2003-08-12
DE,4,2003-08-21
DE,3,2004-10-18
DE,2,2005-05-12
DE,1,2005-09-29
DE,2,2006-02-01
DE,3,2006-04-03
DE,4,2006-10-04
DE,5,2007-02-14
DE,4,2008-01-18
DE,5,2008-02-01
DE,4,2008-03-07
DE,3,2008-04-02
DE,4,2008-04-04
DE,3,2008-05-14
DE,2,2008-06-25
DE,3,2008-11-04
DE,4,2008-12-17
DE,5,2009-01-05
DE,4,2009-01-23
DE,3,2009-02-18
DE,2,2009-02-23
DE,3,2009-04-14
DE,4,2009-05-01
DE,3,2009-07-07
DE,4,2009-08-03
DE,3,2009-09-10
DE,4,2009-12-03
DE,3,2010-05-25
DE,4,2010-06-02
DE,5,2010-07-16
DE,4,2011-06-08
DE,5,2011-10-24
DE,4,2012-04-10
DE,3,2012-06-04
DE,4,2012-06-29
DE,3,2012-08-15
DE,2,2012-08-16
DE,3,2012-09-13
DE,2,2013-04-02
DE,3,2013-05-03
DE,2,2013-06-24
DE,1,2013-07-05
DE,2,2013-12-09
DE,1,2014-07-25
DE,0,2014-08-20
DE,1,2014-12-03
DE,0,2015-01-06
DE,1,2015-02-13
DE,2,2015-06-30
DE,1,2015-08-21
DE,0,2015-11-23
DE,1,2016-02-17
DE,0,2016-04-01
DE,1,2016-06-03
DE,0,2016-07-25
DE,1,2016-08-19
DE,2,2016-11-02
DE,3,2016-11-23
DE,4,2017-08-09
DE,3,2018-07-13
DE,2,2018-10-24
DE,3,2018-11-26
DE,2,2018-12-24
DE,3,2018-12-31
DE,4,2019-01-08
DE,3,2019-05-09
DE,2,2019-05-17
DE,3,2019-07-26
DE,2,2019-08-14
DE,3,2019-09-10
DE,2,2020-01-29
DE,3,2020-02-21
DE,2,2020-02-27
DE,3,2020-03-30
DE,4,2020-04-29
DE,3,2020-05-12
DE,2,2020-05-15
DE,3,2020-05-20
DE,4,2020-08-11
DE,5,2020-09-01
DE,4,2021-06-14
DE,5,2022-03-21
DE,4,2022-05-02
DE,2,2022-05-20
DE,3,2022-08-08
DE,4,2022-10-07
DE,5,2022-10-21
DE,4,2023-02-02
DE,3,2023-04-05
DE,4,2023-05-19
DE,3,2023-05-22
DE,2,2023-05-30
DE,3,2023-06-13
DE,2,2023-10-20
DE,3,2023-12-13
DE,2,2024-02-09
DE,1,2024-02-15
DE,2,2024-03-22
