tick,dw_score,dw_date
ENPH,0,2012-04-02
ENPH,1,2012-05-01
ENPH,2,2012-05-03
ENPH,0,2012-06-01
ENPH,2,2012-06-06
ENPH,1,2012-06-27
ENPH,0,2012-07-12
ENPH,1,2012-11-20
ENPH,2,2012-11-21
ENPH,1,2013-04-15
ENPH,2,2013-04-25
ENPH,3,2013-04-26
ENPH,4,2013-04-29
ENPH,5,2013-05-14
ENPH,4,2013-05-30
ENPH,3,2013-06-03
ENPH,4,2013-06-27
ENPH,5,2013-06-28
ENPH,2,2013-07-24
ENPH,1,2013-08-01
ENPH,3,2013-09-10
ENPH,4,2013-09-20
ENPH,3,2013-11-19
ENPH,2,2013-11-20
ENPH,1,2013-12-06
ENPH,3,2013-12-30
ENPH,5,2014-07-21
ENPH,3,2014-10-02
ENPH,5,2014-10-21
ENPH,3,2014-11-05
ENPH,2,2014-11-06
ENPH,1,2014-11-11
ENPH,2,2014-12-16
ENPH,3,2014-12-17
ENPH,2,2015-01-07
ENPH,1,2015-01-12
ENPH,2,2015-01-29
ENPH,3,2015-02-03
ENPH,1,2015-03-25
ENPH,0,2015-05-06
ENPH,2,2015-08-05
ENPH,0,2015-08-12
ENPH,2,2015-10-06
ENPH,0,2015-10-20
ENPH,2,2015-12-03
ENPH,0,2016-01-13
ENPH,1,2016-03-01
ENPH,2,2016-03-02
ENPH,1,2016-03-15
ENPH,0,2016-03-16
ENPH,2,2016-12-06
ENPH,0,2016-12-27
ENPH,4,2017-01-11
ENPH,2,2017-01-30
ENPH,4,2017-02-24
ENPH,2,2017-03-03
ENPH,0,2017-03-06
ENPH,1,2017-03-17
ENPH,0,2017-05-04
ENPH,2,2017-07-25
ENPH,0,2017-08-15
ENPH,1,2017-09-01
ENPH,4,2017-09-05
ENPH,2,2017-10-18
ENPH,4,2017-11-08
ENPH,3,2017-12-18
ENPH,2,2018-01-05
ENPH,4,2018-02-05
ENPH,5,2018-03-27
ENPH,3,2018-04-10
ENPH,5,2018-04-20
ENPH,3,2018-06-11
ENPH,5,2018-06-13
ENPH,3,2018-07-27
ENPH,1,2018-09-06
ENPH,3,2018-09-27
ENPH,4,2019-01-29
ENPH,5,2019-02-07
ENPH,4,2019-09-04
ENPH,3,2019-09-05
ENPH,4,2019-09-19
ENPH,2,2019-10-30
ENPH,4,2019-11-27
ENPH,5,2020-01-08
ENPH,3,2020-03-12
ENPH,4,2020-03-23
ENPH,5,2020-03-25
ENPH,4,2020-05-27
ENPH,3,2020-05-28
ENPH,2,2020-06-17
ENPH,4,2020-06-24
ENPH,5,2020-07-13
ENPH,3,2021-02-22
ENPH,4,2021-03-15
ENPH,3,2021-04-15
ENPH,2,2021-04-19
ENPH,3,2021-04-22
ENPH,2,2021-04-30
ENPH,1,2021-05-03
ENPH,3,2021-06-16
ENPH,4,2021-06-17
ENPH,5,2021-08-04
ENPH,3,2021-09-09
ENPH,2,2021-09-15
ENPH,3,2021-10-12
ENPH,4,2021-10-19
ENPH,5,2021-10-27
ENPH,4,2021-12-14
ENPH,3,2021-12-15
ENPH,2,2021-12-20
ENPH,0,2022-01-07
ENPH,2,2022-02-09
ENPH,3,2022-03-11
ENPH,1,2022-04-21
ENPH,0,2022-04-22
ENPH,1,2022-05-04
ENPH,0,2022-05-09
ENPH,1,2022-05-20
ENPH,2,2022-05-26
ENPH,3,2022-06-02
ENPH,4,2022-06-21
ENPH,5,2022-06-22
ENPH,4,2022-10-05
ENPH,3,2022-10-17
ENPH,4,2022-10-26
ENPH,3,2022-12-20
ENPH,2,2023-01-03
ENPH,1,2023-06-23
ENPH,2,2023-07-10
ENPH,1,2023-07-26
ENPH,0,2023-08-07
ENPH,2,2023-11-20
ENPH,3,2023-12-19
ENPH,2,2024-01-12
ENPH,1,2024-01-19
ENPH,2,2024-02-09
ENPH,3,2024-02-14
ENPH,2,2024-03-15
ENPH,1,2024-04-15
ENPH,0,2024-05-01
ENPH,1,2024-05-03
