tick,dw_score,dw_date
ENSG,5,11/2/23
ENSG,4,9/13/23
ENSG,5,7/31/23
ENSG,4,7/6/23
ENSG,5,6/29/23
ENSG,4,5/17/23
ENSG,5,3/21/23
ENSG,4,1/18/23
ENSG,5,10/11/22
ENSG,4,9/23/22
ENSG,5,7/21/22
ENSG,4,4/28/22
ENSG,5,3/4/22
ENSG,4,2/25/22
ENSG,3,1/27/22
ENSG,2,1/18/22
ENSG,3,11/5/21
ENSG,2,8/18/21
ENSG,3,7/22/21
ENSG,4,6/15/21
ENSG,3,5/10/21
ENSG,4,4/19/21
ENSG,5,8/6/20
ENSG,4,7/15/20
ENSG,3,6/26/20
ENSG,4,5/27/20
ENSG,3,4/29/20
ENSG,2,4/1/20
ENSG,4,3/19/20
ENSG,2,10/1/19
ENSG,5,5/22/18
ENSG,4,5/18/18
ENSG,3,11/14/17
ENSG,2,7/25/17
ENSG,1,2/9/17
ENSG,3,11/29/16
ENSG,2,5/26/16
ENSG,3,5/19/16
ENSG,4,2/17/16
ENSG,5,12/8/15
ENSG,4,10/22/15
ENSG,5,6/3/14
ENSG,3,6/2/14
ENSG,2,2/18/14
ENSG,4,9/23/13
ENSG,3,11/27/12
ENSG,4,6/13/12
ENSG,3,2/23/12
ENSG,2,8/1/11
ENSG,3,6/16/11
ENSG,2,4/29/11
ENSG,4,4/5/11
ENSG,3,5/20/10
ENSG,2,2/5/10
ENSG,1,1/15/10
ENSG,0,5/4/09
ENSG,1,4/24/09
ENSG,2,3/20/09
ENSG,3,2/27/09
ENSG,4,2/26/09
ENSG,5,1/6/09
ENSG,4,12/29/08
ENSG,2,12/18/08
ENSG,4,12/1/08
ENSG,3,11/13/08
ENSG,4,11/6/08
ENSG,5,6/16/08
ENSG,4,6/10/08
ENSG,3,6/6/08
ENSG,2,6/2/08
ENSG,1,3/27/08
ENSG,2,3/24/08
ENSG,3,3/11/08
ENSG,2,3/10/08
ENSG,1,11/12/07
ENSG,0,11/9/07
