tick,dw_score,dw_date
FICO,0,1988-08-29
FICO,1,1990-08-06
FICO,2,1990-09-27
FICO,1,1990-12-06
FICO,2,1991-02-05
FICO,1,1992-04-15
FICO,2,1992-11-12
FICO,3,1993-03-15
FICO,2,1993-04-27
FICO,3,1993-08-23
FICO,2,1994-08-15
FICO,3,1994-09-23
FICO,2,1995-01-19
FICO,3,1995-03-09
FICO,2,1995-08-31
FICO,3,1996-03-08
FICO,2,1996-09-18
FICO,3,1997-06-04
FICO,2,1997-12-15
FICO,1,1997-12-17
FICO,2,1998-04-28
FICO,1,1998-10-09
FICO,3,1998-10-21
FICO,2,1998-11-06
FICO,3,1999-01-27
FICO,1,1999-03-09
FICO,2,1999-04-19
FICO,1,1999-05-12
FICO,2,1999-07-19
FICO,3,1999-07-20
FICO,1,1999-07-28
FICO,0,1999-08-10
FICO,1,1999-10-12
FICO,2,1999-10-13
FICO,4,1999-11-18
FICO,3,1999-12-03
FICO,2,2000-03-13
FICO,1,2000-04-04
FICO,2,2000-04-12
FICO,3,2000-07-18
FICO,2,2000-08-28
FICO,1,2000-09-11
FICO,2,2000-11-29
FICO,3,2000-12-27
FICO,5,2000-12-29
FICO,4,2001-01-10
FICO,5,2001-02-05
FICO,4,2001-04-19
FICO,5,2001-05-30
FICO,4,2001-09-28
FICO,2,2001-10-03
FICO,3,2001-10-09
FICO,4,2001-10-10
FICO,5,2001-12-05
FICO,2,2002-01-03
FICO,3,2002-01-30
FICO,4,2002-02-01
FICO,5,2002-04-04
FICO,4,2002-10-11
FICO,5,2003-01-31
FICO,4,2003-06-04
FICO,3,2003-07-21
FICO,2,2003-11-04
FICO,3,2004-02-04
FICO,2,2004-06-08
FICO,0,2004-07-13
FICO,1,2004-08-03
FICO,2,2004-09-22
FICO,3,2005-06-16
FICO,1,2006-03-14
FICO,0,2006-07-27
FICO,2,2008-08-12
FICO,1,2008-10-08
FICO,0,2008-10-16
FICO,2,2008-12-31
FICO,1,2009-01-29
FICO,0,2009-02-09
FICO,1,2009-04-06
FICO,3,2009-04-09
FICO,4,2009-04-17
FICO,3,2009-06-15
FICO,2,2009-06-16
FICO,1,2009-07-15
FICO,2,2009-07-28
FICO,3,2009-08-03
FICO,5,2009-08-20
FICO,4,2009-11-02
FICO,3,2009-11-04
FICO,4,2010-03-01
FICO,5,2010-03-17
FICO,4,2010-04-29
FICO,3,2010-04-30
FICO,4,2010-06-17
FICO,3,2010-12-16
FICO,2,2011-01-04
FICO,3,2011-02-25
FICO,4,2011-03-18
FICO,3,2011-09-21
FICO,2,2011-09-22
FICO,5,2011-11-03
FICO,4,2013-04-02
FICO,3,2013-04-05
FICO,4,2013-10-08
FICO,3,2014-10-07
FICO,4,2014-11-03
FICO,5,2014-11-11
FICO,4,2015-11-06
FICO,5,2015-11-27
FICO,4,2016-01-21
FICO,5,2016-01-29
FICO,4,2017-09-15
FICO,5,2018-07-30
FICO,4,2018-11-19
FICO,3,2018-11-20
FICO,4,2019-01-07
FICO,5,2019-01-31
FICO,4,2019-09-13
FICO,5,2019-11-26
FICO,4,2020-03-12
FICO,2,2020-03-18
FICO,3,2020-03-26
FICO,4,2020-04-29
FICO,5,2020-06-05
FICO,4,2021-01-14
FICO,3,2021-01-29
FICO,2,2021-02-16
FICO,3,2021-04-19
FICO,2,2021-08-10
FICO,1,2021-09-20
FICO,0,2021-09-28
FICO,1,2021-12-13
FICO,2,2021-12-20
FICO,4,2022-01-28
FICO,3,2022-04-01
FICO,2,2022-04-08
FICO,1,2022-04-22
FICO,2,2022-06-01
FICO,3,2022-06-13
FICO,4,2022-07-06
FICO,3,2022-10-07
FICO,4,2022-10-27
FICO,5,2022-10-28
