tick,dw_score,dw_date
KFRC,0,1997-06-10
KFRC,2,1997-06-23
KFRC,3,1997-07-22
KFRC,1,1997-10-27
KFRC,2,1997-11-04
KFRC,3,1997-12-22
KFRC,4,1997-12-31
KFRC,2,1998-04-07
KFRC,3,1998-05-29
KFRC,4,1998-06-05
KFRC,5,1998-06-22
KFRC,4,1998-07-27
KFRC,3,1998-08-26
KFRC,2,1998-08-27
KFRC,1,1998-09-29
KFRC,0,1998-09-30
KFRC,2,1998-11-03
KFRC,1,1998-11-12
KFRC,0,1998-11-16
KFRC,1,1998-12-08
KFRC,2,1998-12-09
KFRC,4,1998-12-22
KFRC,5,1999-01-08
KFRC,3,1999-01-21
KFRC,2,1999-01-28
KFRC,1,1999-02-04
KFRC,0,1999-02-08
KFRC,1,1999-04-05
KFRC,2,1999-04-09
KFRC,0,1999-04-21
KFRC,2,1999-04-29
KFRC,5,1999-05-13
KFRC,3,1999-06-08
KFRC,2,1999-06-15
KFRC,0,1999-06-18
KFRC,1,1999-06-30
KFRC,2,1999-09-10
KFRC,0,1999-10-22
KFRC,1,1999-11-05
KFRC,2,1999-11-09
KFRC,4,1999-11-18
KFRC,5,1999-12-07
KFRC,4,2000-01-10
KFRC,3,2000-01-11
KFRC,5,2000-01-26
KFRC,4,2000-02-08
KFRC,2,2000-02-09
KFRC,4,2000-02-17
KFRC,3,2000-03-02
KFRC,4,2000-03-09
KFRC,3,2000-03-20
KFRC,2,2000-03-21
KFRC,1,2000-03-24
KFRC,0,2000-03-30
KFRC,1,2000-05-02
KFRC,2,2000-05-04
KFRC,3,2000-05-08
KFRC,1,2000-06-05
KFRC,0,2000-06-06
KFRC,2,2000-06-28
KFRC,0,2000-07-26
KFRC,1,2000-08-11
KFRC,2,2000-08-14
KFRC,1,2000-08-22
KFRC,0,2000-08-23
KFRC,1,2000-10-25
KFRC,2,2000-10-26
KFRC,3,2000-11-01
KFRC,1,2000-12-06
KFRC,0,2000-12-26
KFRC,1,2000-12-28
KFRC,2,2000-12-29
KFRC,1,2001-02-12
KFRC,2,2001-03-12
KFRC,3,2001-03-20
KFRC,4,2001-03-30
KFRC,3,2001-04-05
KFRC,2,2001-04-09
KFRC,4,2001-05-01
KFRC,5,2001-05-03
KFRC,3,2001-06-21
KFRC,4,2001-07-02
KFRC,5,2001-07-05
KFRC,3,2001-07-26
KFRC,2,2001-07-31
KFRC,3,2001-09-21
KFRC,2,2001-09-27
KFRC,0,2001-10-02
KFRC,1,2001-10-31
KFRC,3,2001-11-01
KFRC,2,2001-11-09
KFRC,1,2001-11-19
KFRC,5,2001-12-12
KFRC,3,2002-01-25
KFRC,2,2002-02-04
KFRC,3,2002-04-19
KFRC,4,2002-05-01
KFRC,1,2002-06-25
KFRC,3,2002-06-28
KFRC,2,2002-07-15
KFRC,0,2002-07-17
KFRC,1,2002-07-29
KFRC,0,2002-08-02
KFRC,2,2002-08-07
KFRC,3,2002-08-08
KFRC,4,2002-08-15
KFRC,3,2002-08-26
KFRC,2,2002-08-27
KFRC,1,2002-09-19
KFRC,0,2002-09-23
KFRC,1,2002-10-11
KFRC,0,2002-10-22
KFRC,2,2002-10-25
KFRC,3,2002-11-11
KFRC,4,2002-11-13
KFRC,5,2002-12-17
KFRC,3,2003-01-02
KFRC,2,2003-01-28
KFRC,0,2003-03-14
KFRC,2,2003-03-17
KFRC,1,2003-05-09
KFRC,0,2003-06-04
KFRC,2,2003-06-16
KFRC,3,2003-06-17
KFRC,4,2003-06-18
KFRC,5,2003-06-19
KFRC,4,2003-12-04
KFRC,5,2004-01-02
KFRC,4,2004-03-26
KFRC,5,2004-04-26
KFRC,3,2004-05-24
KFRC,2,2004-07-14
KFRC,1,2004-08-06
KFRC,3,2004-09-09
KFRC,4,2004-11-17
KFRC,3,2005-04-14
KFRC,2,2005-04-15
KFRC,4,2005-08-03
KFRC,5,2006-05-03
KFRC,4,2006-07-21
KFRC,2,2006-07-27
KFRC,3,2006-10-04
KFRC,4,2006-10-12
KFRC,3,2006-12-18
KFRC,2,2006-12-19
KFRC,3,2007-05-02
KFRC,4,2007-05-29
KFRC,3,2007-09-07
KFRC,2,2007-10-10
KFRC,1,2007-10-31
KFRC,0,2007-12-03
KFRC,1,2008-06-16
KFRC,2,2008-07-25
KFRC,1,2008-10-28
KFRC,0,2008-10-29
KFRC,1,2009-02-11
KFRC,2,2009-02-12
KFRC,3,2009-04-02
KFRC,4,2009-04-13
KFRC,5,2009-04-24
KFRC,4,2009-05-22
KFRC,3,2009-06-05
KFRC,4,2009-08-05
KFRC,5,2009-08-13
KFRC,4,2009-10-14
KFRC,5,2009-11-13
KFRC,4,2009-12-23
KFRC,3,2009-12-24
KFRC,4,2010-01-14
KFRC,5,2010-01-15
KFRC,4,2010-06-09
KFRC,3,2010-07-02
KFRC,2,2010-08-23
KFRC,1,2010-08-24
KFRC,4,2010-10-18
KFRC,3,2011-04-21
KFRC,2,2011-05-02
KFRC,1,2011-05-13
KFRC,0,2011-08-03
KFRC,2,2011-08-29
KFRC,3,2012-01-10
KFRC,2,2012-07-25
KFRC,1,2012-07-31
KFRC,0,2012-08-01
KFRC,1,2012-11-30
KFRC,2,2012-12-12
KFRC,3,2012-12-24
KFRC,1,2013-05-01
KFRC,2,2013-08-16
KFRC,3,2013-11-12
KFRC,4,2014-02-12
KFRC,5,2014-04-30
KFRC,3,2014-08-05
KFRC,4,2014-10-30
KFRC,5,2015-08-05
KFRC,3,2016-02-01
KFRC,2,2016-02-08
KFRC,0,2016-02-10
KFRC,1,2016-10-03
KFRC,0,2016-11-08
KFRC,1,2016-11-23
KFRC,2,2016-11-25
KFRC,3,2016-12-01
KFRC,4,2016-12-06
KFRC,2,2017-05-03
KFRC,1,2017-08-02
KFRC,0,2017-08-29
KFRC,3,2017-11-01
KFRC,4,2018-05-02
KFRC,5,2018-05-07
KFRC,4,2018-10-02
KFRC,3,2018-10-31
KFRC,4,2019-11-05
KFRC,3,2020-02-05
KFRC,2,2020-02-14
KFRC,1,2020-02-26
KFRC,4,2020-08-11
KFRC,5,2021-10-05
KFRC,4,2022-01-20
KFRC,5,2022-02-08
KFRC,4,2022-03-08
KFRC,5,2022-03-18
KFRC,4,2022-04-26
KFRC,5,2022-05-03
KFRC,4,2022-05-19
KFRC,3,2022-06-23
KFRC,4,2022-07-29
KFRC,2,2022-08-04
KFRC,3,2022-09-29
KFRC,4,2022-09-30
KFRC,5,2022-10-13
KFRC,4,2022-11-01
KFRC,3,2022-12-07
KFRC,1,2022-12-08
KFRC,2,2023-01-11
KFRC,3,2023-03-10
KFRC,4,2023-03-22
KFRC,3,2023-04-26
KFRC,4,2023-06-30
KFRC,3,2023-08-01
KFRC,4,2023-10-31
KFRC,3,2024-04-10
