tick,dw_score,dw_date
LAUR,1,2017-02-01
LAUR,0,2017-04-04
LAUR,2,2017-05-12
LAUR,3,2017-05-30
LAUR,2,2017-08-16
LAUR,1,2017-08-17
LAUR,0,2017-11-09
LAUR,1,2017-11-28
LAUR,2,2018-01-02
LAUR,3,2018-05-31
LAUR,2,2018-11-14
LAUR,3,2019-01-25
LAUR,2,2019-02-19
LAUR,3,2019-08-28
LAUR,4,2020-01-29
LAUR,3,2020-03-09
LAUR,2,2020-03-16
LAUR,1,2020-03-17
LAUR,0,2020-03-18
LAUR,2,2020-03-19
LAUR,1,2020-04-08
LAUR,0,2020-04-15
LAUR,2,2020-07-29
LAUR,3,2020-11-09
LAUR,2,2021-01-12
LAUR,1,2021-03-01
LAUR,2,2021-06-01
LAUR,3,2021-06-02
LAUR,0,2021-11-01
LAUR,2,2021-11-08
LAUR,1,2022-11-16
LAUR,0,2022-11-17
LAUR,1,2023-03-13
LAUR,2,2023-04-25
LAUR,3,2023-08-01
LAUR,4,2023-08-15
LAUR,5,2023-10-19
LAUR,4,2023-12-04
LAUR,3,2024-01-02
