tick,dw_score,dw_date
LVS,0,2004-12-15
LVS,2,2004-12-17
LVS,1,2005-01-13
LVS,2,2005-02-07
LVS,1,2005-03-29
LVS,0,2005-04-18
LVS,1,2005-11-10
LVS,2,2005-11-11
LVS,3,2005-11-21
LVS,4,2006-04-12
LVS,5,2006-05-31
LVS,4,2006-07-26
LVS,3,2006-07-27
LVS,4,2006-08-17
LVS,3,2006-09-25
LVS,4,2006-10-02
LVS,5,2006-11-10
LVS,4,2007-02-22
LVS,2,2007-02-26
LVS,3,2007-07-16
LVS,4,2007-07-31
LVS,5,2007-08-02
LVS,4,2007-11-05
LVS,3,2007-11-06
LVS,2,2007-12-31
LVS,3,2008-05-15
LVS,2,2008-05-21
LVS,1,2008-06-03
LVS,2,2008-07-22
LVS,3,2008-07-23
LVS,4,2008-08-15
LVS,3,2008-08-19
LVS,2,2008-08-22
LVS,0,2008-09-10
LVS,1,2008-09-19
LVS,0,2008-09-23
LVS,2,2008-10-29
LVS,0,2008-11-06
LVS,2,2008-11-17
LVS,0,2008-11-20
LVS,1,2008-11-25
LVS,2,2008-12-05
LVS,3,2008-12-17
LVS,2,2008-12-22
LVS,1,2008-12-31
LVS,3,2009-01-05
LVS,2,2009-01-12
LVS,0,2009-02-02
LVS,2,2009-02-26
LVS,1,2009-03-05
LVS,0,2009-03-06
LVS,1,2009-03-13
LVS,2,2009-03-17
LVS,3,2009-03-24
LVS,4,2009-04-01
LVS,3,2009-05-07
LVS,2,2009-06-11
LVS,3,2009-07-20
LVS,4,2009-07-22
LVS,5,2009-08-24
LVS,4,2009-10-01
LVS,5,2009-11-11
LVS,4,2009-12-30
LVS,3,2010-02-05
LVS,4,2010-03-08
LVS,5,2010-03-10
LVS,3,2010-12-15
LVS,4,2011-07-27
LVS,5,2011-08-12
LVS,4,2011-09-26
LVS,3,2011-10-03
LVS,4,2011-10-28
LVS,3,2011-11-23
LVS,2,2011-12-15
LVS,3,2012-01-23
LVS,4,2012-03-01
LVS,2,2012-05-31
LVS,1,2012-07-03
LVS,2,2013-01-04
LVS,3,2013-01-08
LVS,2,2013-06-21
LVS,1,2013-06-24
LVS,2,2013-08-01
LVS,3,2013-12-05
LVS,2,2014-04-15
LVS,3,2014-05-02
LVS,2,2014-05-15
LVS,1,2014-06-06
LVS,2,2014-07-01
LVS,1,2014-08-06
LVS,0,2014-09-08
LVS,1,2015-02-13
LVS,0,2015-03-09
LVS,1,2015-04-09
LVS,0,2015-04-29
LVS,1,2015-07-13
LVS,0,2015-08-12
LVS,1,2015-10-15
LVS,2,2015-11-02
LVS,1,2015-12-14
LVS,2,2016-01-29
LVS,3,2016-02-17
LVS,2,2016-04-26
LVS,1,2016-06-20
LVS,0,2016-06-27
LVS,1,2016-07-29
LVS,2,2016-09-09
LVS,3,2016-09-14
LVS,4,2016-10-11
LVS,2,2017-01-26
LVS,1,2017-02-02
LVS,2,2017-04-26
LVS,3,2018-01-22
LVS,2,2018-04-04
LVS,3,2018-04-18
LVS,2,2018-07-02
LVS,1,2018-08-15
LVS,0,2018-10-02
LVS,1,2019-04-03
LVS,2,2019-04-16
LVS,1,2019-08-07
LVS,0,2019-08-14
LVS,1,2019-11-01
LVS,0,2020-02-27
LVS,1,2020-03-09
LVS,2,2020-03-17
LVS,1,2020-04-03
LVS,0,2020-06-03
LVS,1,2020-06-04
LVS,0,2020-06-22
LVS,1,2020-08-11
LVS,0,2020-09-23
LVS,1,2020-10-22
LVS,2,2020-11-10
LVS,1,2020-12-10
LVS,0,2021-01-13
LVS,1,2021-02-22
LVS,2,2021-02-23
LVS,1,2021-05-07
LVS,0,2021-05-11
LVS,1,2022-01-12
LVS,2,2022-01-19
LVS,3,2022-02-08
LVS,1,2022-03-07
LVS,0,2022-03-14
LVS,1,2022-05-18
LVS,2,2022-05-31
LVS,3,2022-06-30
LVS,2,2022-07-11
LVS,4,2022-07-20
LVS,3,2022-09-22
LVS,4,2022-10-04
LVS,5,2022-10-05
LVS,3,2022-10-24
LVS,4,2022-11-07
LVS,5,2022-12-02
LVS,4,2023-07-21
LVS,3,2023-08-16
LVS,2,2023-09-05
LVS,3,2024-04-01
LVS,2,2024-04-18
